class,n_labels,n_high_conf,mean_prob,n_files
1161364,100,100,0.9994247889518738,70
116570,100,100,0.9991926091909409,50
1176823,100,100,0.9995336562395096,33
1491113,100,100,0.9988878810405731,30
1595929,100,100,0.9880240541696549,38
209233,100,100,0.9994284099340439,77
22930,100,100,0.9995263975858688,48
22956,100,100,0.9995187878608703,22
22961,100,100,0.997218227982521,39
22967,100,100,0.9991943049430847,23
22973,100,100,0.9972691267728806,57
22983,100,100,0.9994397753477097,19
22985,100,100,0.9985597389936447,50
23150,100,100,0.9877125996351243,43
23154,100,100,0.9934822642803192,55
23158,100,100,0.9986059033870697,42
23176,100,100,0.9995205187797547,65
23724,100,100,0.9911208730936051,48
24279,100,100,0.9990049052238464,45
24285,100,100,0.9993618702888489,29
24287,100,100,0.9994690632820129,46
24321,100,100,0.9941098004579544,49
244024,100,100,0.9995058119297028,36
25073,100,100,0.9993255865573883,41
25092,100,100,0.9978998506069183,52
25214,100,100,0.987231301665306,63
326272,100,100,0.9988214993476867,22
41970,100,100,0.9994190460443497,57
43435,100,100,0.9995730143785476,17
47144,100,100,0.9992560642957687,33
47158son01,100,100,0.99942542552948,44
47158son02,100,100,0.9994367116689682,39
47158son03,100,100,0.9990969163179397,50
47158son04,100,100,0.9992230755090713,41
47158son05,100,100,0.9993103259801864,40
47158son06,100,100,0.9994743967056274,42
47158son07,100,100,0.9984293925762177,43
47158son08,100,100,0.9991389322280884,49
47158son09,100,100,0.9962454760074615,41
47158son10,100,100,0.9994024324417115,43
47158son11,100,100,0.9994507569074631,42
47158son12,100,100,0.996396416425705,40
47158son13,100,100,0.9993563508987426,42
47158son14,100,100,0.9993629199266434,41
47158son15,100,100,0.9993821918964386,46
47158son16,100,100,0.9994001293182373,47
47158son17,100,100,0.9994244801998139,42
47158son18,100,100,0.9994016432762146,46
47158son19,100,100,0.999430086016655,43
47158son20,100,100,0.9991846579313278,43
47158son21,100,100,0.9992183536291123,42
47158son22,100,100,0.9991889297962189,43
47158son23,100,100,0.9991884976625443,43
47158son24,100,100,0.9994060695171356,39
47158son25,100,100,0.9991042739152909,50
476521,100,100,0.9958828008174896,21
516975,100,100,0.9995267510414123,37
517063,100,100,0.9951101326942444,61
555123,100,100,0.9840706998109817,73
555145,100,100,0.9994363582134247,31
555146,100,100,0.998393685221672,46
64898,100,100,0.9799970078468323,47
65377,100,100,0.9987311744689942,45
65380,100,100,0.9982451802492142,50
66971,100,100,0.9985481363534927,34
67107,100,100,0.9993395602703095,27
67252,100,100,0.9995799577236175,41
70711,100,100,0.9987954694032669,51
738183,100,100,0.9973044282197953,58
74113,100,100,0.9995382708311081,53
74580,100,100,0.9907760518789291,52
760266,100,100,0.991075519323349,58
ashgre1,100,100,0.999544062614441,68
astcra1,100,100,0.999366688132286,69
bafcur1,100,100,0.9992696791887283,43
baffal1,100,100,0.9994310235977173,57
banana,100,100,0.9994481563568115,43
barant1,100,100,0.999234299659729,49
batbel1,100,100,0.9994706803560257,50
baymac,100,100,0.9993024462461472,54
bbwduc,100,100,0.9994958943128586,43
bcwfin2,100,100,0.9995211654901505,76
bkcdon,100,100,0.9990932178497315,32
bkhpar,100,100,0.9995759642124176,38
blchaw1,100,100,0.9987780040502549,74
blheag1,100,100,0.9994638556241989,52
blttit1,100,100,0.9988275635242462,71
bncfly,100,100,0.9994244349002838,30
bobfly1,100,100,0.99949691593647,51
brcmar1,100,100,0.9994712126255035,72
brnowl,100,100,0.9992732852697372,41
bucmot4,100,100,0.9993035686016083,33
bucpar,100,100,0.9994453239440918,57
bufpar,100,100,0.9994505822658539,31
bunibi1,100,100,0.9994682389497757,45
burowl,100,100,0.9994944167137146,47
camfli1,100,100,0.9994506925344467,29
chacha1,100,100,0.999350227713585,35
chbmoc1,100,100,0.999402939081192,39
chobla1,100,100,0.9995859175920486,33
chvcon1,100,100,0.9991661393642426,39
cibspi1,100,100,0.9993947958946228,70
coffal1,100,100,0.9994384771585465,36
compau,100,100,0.9983533662557602,38
compot1,100,100,0.9956581312417984,59
