,overall_auc,n_active,site_mean,site_std,site_min,site_max,site_range,n_sites,gap,cls_auc_std,cls_auc_min,cls_auc_q25,cls_auc_q75,cls_auc_iqr,ece,entropy_mean,frac_high_conf,frac_uncertain,pred_std_mean,pred_skew,n_valid_rows,lb
exp019,0.9617609609895656,70,0.9545481788800546,0.0997382015103249,0.6217101817905737,1.0,0.3782898182094263,9,0.00721278210951104,0.0970004924063501,0.5584594222833563,0.9908425110227616,0.9999708624708624,0.009128351448100869,0.4706238060944926,0.8062757670390281,0.0445450655193551,0.752483721360582,0.24256656,0.20046192,739,0.949
V73,0.6664942826650289,70,0.7833202603513969,0.10486615037520731,0.5072778554276357,0.8670896757070448,0.35981182027940906,9,-0.11682597768636804,0.30897999079084265,0.019125683060109262,0.38353966070609813,0.9626106331200884,0.5790709724139903,0.02464471674507089,0.21683777989009176,0.9398875819714791,0.008182690861987208,0.02173896,12.374767,739,0.941
Bruce,0.8585172378381121,70,0.7747118820384759,0.11288670366883827,0.5099335016673143,0.9049479166666666,0.3950144149993523,9,0.08380535579963622,0.14220894575854393,0.43405994550408716,0.7894291704692753,0.963929391014181,0.17450022054490566,0.552080525191794,0.8049103229366016,0.05276823612412246,0.7540277344066248,0.09975907,-0.5129389,739,0.755
slot6_recon,0.9733381989145976,70,0.9546132730869746,0.09121839622537384,0.6544409217700229,1.0,0.3455590782299771,9,0.018724925827622974,0.0629333006493914,0.6965841357175607,0.9866056660140426,0.9997315184815184,0.013125852467475774,0.4819460358299328,0.8097318396927244,0.03699270208065878,0.7635693880619455,0.24211173,0.05888811,739,0.946
slot11_recon,0.9611725031523041,70,0.9524422636981854,0.10102777943696996,0.6154431954396735,1.0,0.3845568045603265,9,0.00873023945411866,0.09673583549135269,0.5637322329206785,0.9871576898493395,0.9998843953632921,0.012726705513952608,0.48194603498826005,0.7270866960211778,0.09900188519944947,0.6276904571897806,0.28616855,0.0022232654,739,0.949
sub1_v3,0.9728366791969575,70,0.9427035300772035,0.0979442962642846,0.630823147958717,1.0,0.36917685204128303,9,0.030133149119753955,0.060778167260450704,0.7008253094910591,0.9858202351896357,0.9988472883438868,0.013027053154251123,0.4819460436640593,0.8262862724755222,0.024634814891919085,0.7947850525658374,0.2332992,0.036791045,739,0.92
safar1_perch_logits,0.7990675022584177,41,0.7685268853160314,0.056676841204277885,0.7231379731379731,0.9083333333333333,0.1851953601953602,7,0.0305406169423863,0.15900779663048273,0.4035337703049302,0.6716959289986494,0.9302725968436154,0.258576667844966,0.6197534835581107,0.7006932437939754,0.14849275018766545,0.5961703080347148,0.11172909,-0.63239866,649,0.948
mtoshidesu_perch,0.7990675022584177,41,0.7685268853160314,0.056676841204277885,0.7231379731379731,0.9083333333333333,0.1851953601953602,7,0.0305406169423863,0.15900779663048273,0.4035337703049302,0.6716959289986494,0.9302725968436154,0.258576667844966,0.6197534835581107,0.7006932437939754,0.14849275018766545,0.5961703080347148,0.11172909,-0.63239866,649,0.947
needless090_oof_base,0.7710595564776783,67,0.5611024091368315,0.1588897565681811,0.17482517482517482,0.6563232533144548,0.48149807848928006,7,0.2099571473408468,0.23959094558553187,0.3088467614533965,0.5116460114122177,0.9634519094908547,0.451805898078637,0.4784461733724473,0.5408711369352602,0.31681877444589307,0.4267841386485454,0.13602822,-0.20132299,649,0.934
needless090_oof_prior,0.623401528021108,67,0.31801213635298586,0.11282384844959685,0.07294278037996252,0.38698337493661494,0.31404059455665245,7,0.3053893916681222,0.2891167718745305,0.08555729984301413,0.37049989156365215,0.9418306275505396,0.5713307359868874,0.009303125036881995,0.03954766126337864,0.954367666232073,0.02803129074315515,0.03484005,6.5067434,649,0.934
koushikrudra_oof_base,0.7696953789471441,67,0.5488858134973528,0.1528379135456661,0.18928798474253022,0.6405406856543469,0.45125270091181663,7,0.22080956544979136,0.23015694011136648,0.3170011806375443,0.4807147796338756,0.9559830527882744,0.47526827315439885,0.4776526625275116,0.5392368434097278,0.31914319202454794,0.42582276480581566,0.13615935,-0.19847862,649,0.928
