primary_label,inat_taxon_id,class_name,common_name,n_global_total,n_global_pulled,global_status,n_pantanal_total,n_pantanal_pulled,pantanal_status,elapsed_s
1161364,1161364,Insecta,Guyalna cuta,58.0,57,ok,0.0,0,ok,1.2
116570,116570,Reptilia,Southern Spectacled Caiman,5197.0,600,ok,1847.0,400,ok,8.8
1176823,1176823,Amphibia,Wrestler Frog,2149.0,600,ok,3.0,3,ok,5.3
1491113,1491113,Amphibia,Guaraní leaf-litter frog,1.0,1,ok,0.0,0,ok,0.2
1595929,1595929,Amphibia,Uruguay Harlequin Frog,188.0,188,ok,17.0,17,ok,2.0
209233,209233,Mammalia,Feral Horse,43748.0,600,ok,22.0,22,ok,4.6
22930,22930,Amphibia,Basin White-lipped Frog,88.0,88,ok,6.0,6,ok,0.8
22956,22956,Amphibia,Mustached Frog,688.0,600,ok,4.0,4,ok,6.0
22961,22961,Amphibia,Pointedbelly Frog,287.0,284,ok,25.0,25,ok,2.6
22967,22967,Amphibia,Marbled White-lipped Frog,115.0,114,ok,6.0,6,ok,0.8
22973,22973,Amphibia,Whistling Grass Frog,1743.0,600,ok,18.0,18,ok,5.1
22983,22983,Amphibia,Pepper Frog,530.0,520,ok,8.0,8,ok,4.7
22985,22985,Amphibia,Peter's Jungle Frog,553.0,550,ok,0.0,0,ok,3.9
23150,23150,Amphibia,Central Dwarf Frog,72.0,72,ok,3.0,3,ok,0.6
23154,23154,Amphibia,Bahia Dwarf Frog,86.0,84,ok,0.0,0,ok,0.7
23158,23158,Amphibia,Pale-legged Weeping Frog,278.0,277,ok,32.0,32,ok,2.5
23176,23176,Amphibia,Cope's Swamp Froglet,95.0,92,ok,0.0,0,ok,0.8
23724,23724,Amphibia,Waxy Monkey Tree Frog,148.0,143,ok,8.0,8,ok,1.1
24279,24279,Amphibia,Lesser Snouted Tree Frog,1082.0,600,ok,89.0,89,ok,5.2
24285,24285,Amphibia,Snouted Tree Frog,2851.0,600,ok,61.0,61,ok,5.2
24287,24287,Amphibia,Brown-bordered Snouted Tree Frog,156.0,153,ok,3.0,3,ok,1.0
24321,24321,Amphibia,Mato Grosso Snouted Tree Frog,482.0,481,ok,152.0,151,ok,4.8
244024,244024,Insecta,Giant Cicada,5789.0,600,ok,9.0,9,ok,4.9
25073,25073,Amphibia,Chiasmocleis mehelyi,4.0,4,ok,1.0,1,ok,0.2
25092,25092,Amphibia,Two-colored oval frog,524.0,521,ok,46.0,46,ok,5.0
25214,25214,Amphibia,Muller's Termite Frog,496.0,490,ok,27.0,27,ok,5.1
326272,326272,Amphibia,Weeping Frog,562.0,556,ok,25.0,25,ok,4.8
41970,41970,Mammalia,Jaguar,7851.0,600,ok,1529.0,400,ok,11.1
43435,43435,Mammalia,Black Howling Monkey,2626.0,600,ok,528.0,400,ok,9.9
47144,47144,Mammalia,Domestic Dog,146326.0,600,ok,10.0,10,ok,4.3
47158son01,47158,Insecta,Insect sonotype01,85413206.0,600,ok,9691.0,400,ok,8.4
47158son02,47158,Insecta,Insect sonotype02,85413206.0,600,ok,9691.0,400,ok,3.7
47158son03,47158,Insecta,Insect sonotype03,85413206.0,600,ok,9691.0,400,ok,3.6
47158son04,47158,Insecta,Insect sonotype04,85413206.0,600,ok,9691.0,400,ok,3.6
47158son05,47158,Insecta,Insect sonotype05,85413206.0,600,ok,9691.0,400,ok,3.6
47158son06,47158,Insecta,Insect sonotype06,85413206.0,600,ok,9691.0,400,ok,3.6
47158son07,47158,Insecta,Insect sonotype07,85413206.0,600,ok,,0,http_429,2.1
47158son08,47158,Insecta,Insect sonotype08,,0,http_429,,0,http_429,0.1
47158son09,47158,Insecta,Insect sonotype09,,0,http_429,,0,http_429,0.1
47158son10,47158,Insecta,Insect sonotype10,85413206.0,200,http_429,,0,http_429,0.8
47158son11,47158,Insecta,Insect sonotype11,,0,http_429,,0,http_429,0.1
47158son12,47158,Insecta,Insect sonotype12,,0,http_429,,0,http_429,0.1
47158son13,47158,Insecta,Insect sonotype13,85413206.0,200,http_429,,0,http_429,0.8
47158son14,47158,Insecta,Insect sonotype14,,0,http_429,,0,http_429,0.1
47158son15,47158,Insecta,Insect sonotype15,,0,http_429,,0,http_429,0.1
47158son16,47158,Insecta,Insect sonotype16,85413206.0,200,http_429,,0,http_429,0.8
47158son17,47158,Insecta,Insect sonotype17,,0,http_429,,0,http_429,0.1
47158son18,47158,Insecta,Insect sonotype18,,0,http_429,,0,http_429,0.1
47158son19,47158,Insecta,Insect sonotype19,85413206.0,200,http_429,,0,http_429,0.8
47158son20,47158,Insecta,Insect sonotype20,,0,http_429,,0,http_429,0.1
47158son21,47158,Insecta,Insect sonotype21,,0,http_429,9691.0,200,http_429,0.9
