hour,1161364,116570,1176823,1491113,1595929,209233,22930,22956,22961,22967,22973,22983,22985,23150,23154,23158,23176,23724,24279,24285,24287,24321,244024,25073,25092,25214,326272,41970,43435,47144,47158son01,47158son02,47158son03,47158son04,47158son05,47158son06,47158son07,47158son08,47158son09,47158son10,47158son11,47158son12,47158son13,47158son14,47158son15,47158son16,47158son17,47158son18,47158son19,47158son20,47158son21,47158son22,47158son23,47158son24,47158son25,476521,516975,517063,555123,555145,555146,64898,65377,65380,66971,67107,67252,70711,738183,74113,74580,760266,ashgre1,astcra1,bafcur1,baffal1,banana,barant1,batbel1,baymac,bbwduc,bcwfin2,bkcdon,bkhpar,blchaw1,blheag1,blttit1,bncfly,bobfly1,brcmar1,brnowl,bucmot4,bucpar,bufpar,bunibi1,burowl,camfli1,chacha1,chbmoc1,chobla1,chvcon1,cibspi1,coffal1,compau,compot1,crbthr1,crebec1,dwatin1,epaori4,eulfly1,fabwre1,fepowl,ficman1,flawar1,fotfly,fusfly1,gilhum1,giwrai1,glteme1,grasal3,greani1,greant1,greela,grekis,grepot1,gretho2,greyel,grfdov1,grhtan1,gycwor1,horscr1,houspa,hyamac1,larela1,lesela1,lesgrf1,limpki,linwoo1,litcuc2,litnig1,mabpar,magant1,magtan2,masgna1,nacnig1,ocecra1,oliwoo1,orbtro3,orwpar,osprey,pabspi1,palhor3,paltan1,phecuc1,picpig2,pirfly1,plasla1,platyr1,plcjay1,pluibi1,purjay1,pvttyr1,ragmac1,rebscy1,recfin1,redjun,relser1,rinkin1,rivwar1,roahaw,rubthr1,rufcac2,rufcas2,rufgna3,rufhor2,rufnig1,ruftho1,ruftof1,rumfly1,ruther1,rutjac1,sabspa1,saffin,saytan1,scadov1,schpar1,scther1,shcfly1,shshaw,shtnig1,sibtan2,smbani,smbtin1,sobcac1,sobtyr1,socfly1,sofspi1,souant1,soulap1,souscr1,spbant3,spispi1,sptnig1,squcuc1,stbwoo2,strcuc1,strher2,strowl1,swthum1,swtman1,tattin1,thlwre1,toctou1,trokin,trsowl,undtin1,varant1,watjac1,wesfie1,wfwduc1,whbant2,whbwar2,whiwoo1,whlspi1,whnjay1,whtdov,whwpic1,y00678,yebcar,yebela1,yecmac,yecpar,yehcar1,yeofly1
0,0.08771929824561403,0.02,0.06,0.0,0.09574468085106383,0.013333333333333334,0.011363636363636364,0.065,0.09507042253521127,0.09649122807017543,0.056666666666666664,0.04807692307692308,0.10545454545454545,0.06944444444444445,0.13095238095238096,0.09025270758122744,0.021739130434782608,0.0979020979020979,0.07666666666666666,0.04,0.08496732026143791,0.08316008316008316,0.03166666666666667,0.0,0.10748560460652591,0.07142857142857142,0.07733812949640288,0.03833333333333333,0.028333333333333332,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0325,0.02,0.08411214953271028,0.05747126436781609,0.055,0.0375,0.08945686900958466,0.0575,0.0475,0.09405940594059406,0.035,0.1,0.0475,0.14,0.015,0.08,0.057692307692307696,0.08661417322834646,0.10266159695817491,0.0325,0.14352941176470588,0.035,0.0325,0.0575,0.0425,0.015,0.0125,0.035,0.005,0.016666666666666666,0.03333333333333333,0.05333333333333334,0.01,0.0325,0.0225,0.03,0.12,0.015,0.03,0.0325,0.025,0.02666666666666667,0.02666666666666667,0.015,0.0325,0.04,0.058823529411764705,0.0525,0.0525,0.065,0.02,0.05333333333333334,0.3333333333333333,0.0225,0.0675,0.1134020618556701,0.03,0.05223880597014925,0.055,0.025,0.06,0.025,0.0525,0.0175,0.0325,0.051666666666666666,0.045,0.0025,0.045,0.095,0.03166666666666667,0.01,0.0875,0.0075,0.0475,0.01,0.041666666666666664,0.0575,0.0575,0.0775,0.095,0.0,0.0,0.0,0.0,0.0425,0.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.0325,0.0,0.0,0.0,0.03,0.0,0.0275,0.0,0.0,0.0,0.0,0.0,0.0775,0.0375,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.025,0.054285714285714284,0.09280742459396751,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08944954128440367,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.03166666666666667,0.043333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023333333333333334,0.0
1,0.03508771929824561,0.0016666666666666668,0.011666666666666667,0.0,0.005319148936170213,0.0,0.0,0.006666666666666667,0.035211267605633804,0.008771929824561403,0.01,0.011538461538461539,0.023636363636363636,0.013888888888888888,0.011904761904761904,0.010830324909747292,0.010869565217391304,0.027972027972027972,0.008333333333333333,0.023333333333333334,0.0,0.029106029106029108,0.008333333333333333,0.0,0.023032629558541268,0.018367346938775512,0.017985611510791366,0.006666666666666667,0.0016666666666666668,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.02336448598130841,0.0038314176245210726,0.0175,0.0125,0.009584664536741214,0.0225,0.015,0.0049504950495049506,0.011666666666666667,0.024390243902439025,0.02,0.0,0.0025,0.0,0.0,0.015748031496062992,0.0,0.0,0.002352941176470588,0.0,0.0025,0.0025,0.0,0.0,0.0,0.0025,0.005,0.0,0.0,0.005,0.0,0.0,0.0025,0.005,0.0,0.005,0.005,0.0,0.0075,0.0033333333333333335,0.0,0.0016666666666666668,0.0,0.0016666666666666668,0.0,0.005,0.015,0.005,0.0,0.0,0.0,0.0025,0.0,0.0,0.0025,0.0,0.0,0.005,0.0025,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0025,0.0016666666666666668,0.0,0.0025,0.0025,0.005,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668,0.0
2,0.0,0.0033333333333333335,0.0016666666666666668,0.0,0.005319148936170213,0.0016666666666666668,0.0,0.006666666666666667,0.007042253521126761,0.008771929824561403,0.01,0.0057692307692307696,0.01090909090909091,0.0,0.0,0.0036101083032490976,0.0,0.0,0.02,0.015,0.006535947712418301,0.02286902286902287,0.005,0.0,0.007677543186180422,0.0163265306122449,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.006666666666666667,0.004672897196261682,0.01532567049808429,0.0075,0.01,0.003194888178913738,0.02,0.005,0.0049504950495049506,0.0016666666666666668,0.00975609756097561,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.007058823529411765,0.0,0.0025,0.0,0.0025,0.0,0.0,0.0025,0.005,0.0033333333333333335,0.0016666666666666668,0.0016666666666666668,0.0025,0.005,0.0,0.0025,0.0,0.0033333333333333335,0.0075,0.0075,0.0,0.0,0.005,0.0016666666666666668,0.0025,0.0016666666666666668,0.0,0.0,0.0075,0.0075,0.0,0.0,0.0,0.0025,0.0025,0.0,0.0125,0.014925373134328358,0.0,0.0016666666666666668,0.0075,0.0,0.0,0.0,0.0,0.0,0.005,0.0025,0.0,0.0,0.0,0.005,0.02,0.005,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0075,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.004640371229698376,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022935779816513763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
3,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,0.0033333333333333335,0.045454545454545456,0.005,0.014084507042253521,0.008771929824561403,0.0,0.0019230769230769232,0.016363636363636365,0.013888888888888888,0.0,0.0,0.0,0.006993006993006993,0.01,0.005,0.006535947712418301,0.008316008316008316,0.0033333333333333335,0.0,0.003838771593090211,0.0,0.008992805755395683,0.008333333333333333,0.0016666666666666668,0.0,0.0016666666666666668,0.0016666666666666668,0.0016666666666666668,0.0016666666666666668,0.0016666666666666668,0.0016666666666666668,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004672897196261682,0.01532567049808429,0.0075,0.0,0.0,0.0075,0.0,0.0,0.0,0.012195121951219513,0.005,0.0,0.0025,0.0025,0.0,0.0,0.0,0.0,0.002352941176470588,0.0,0.0025,0.0025,0.0025,0.0,0.0,0.0,0.0,0.0016666666666666668,0.0,0.0033333333333333335,0.0,0.0,0.0,0.005,0.005,0.006666666666666667,0.0025,0.0025,0.0,0.0016666666666666668,0.01,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0025,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.0,0.0025,0.0,0.0075,0.0025,0.0,0.0025,0.0,0.0016666666666666668,0.0025,0.0025,0.0,0.01,0.0016666666666666668,0.0,0.005,0.0,0.0,0.0,0.0,0.0075,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0025,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.02,0.002320185614849188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.005,0.0016666666666666668,0.0,0.015957446808510637,0.0,0.0,0.0016666666666666668,0.0035211267605633804,0.008771929824561403,0.0016666666666666668,0.0057692307692307696,0.005454545454545455,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.008333333333333333,0.006535947712418301,0.010395010395010396,0.0016666666666666668,0.0,0.003838771593090211,0.004081632653061225,0.0,0.008333333333333333,0.0033333333333333335,0.005,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.006666666666666667,0.004672897196261682,0.007662835249042145,0.0025,0.01,0.006389776357827476,0.005,0.01,0.009900990099009901,0.0033333333333333335,0.007317073170731708,0.0025,0.0,0.0,0.0125,0.009615384615384616,0.007874015748031496,0.0,0.01,0.007058823529411765,0.0075,0.0,0.0025,0.0,0.0025,0.0025,0.0025,0.0025,0.0033333333333333335,0.0033333333333333335,0.008333333333333333,0.0025,0.0025,0.0,0.0025,0.0125,0.0033333333333333335,0.005,0.0,0.0,0.0,0.0016666666666666668,0.0,0.0025,0.0,0.014705882352941176,0.0,0.015,0.0025,0.0025,0.0,0.0,0.0025,0.0,0.0,0.0125,0.0,0.005,0.0016666666666666668,0.0025,0.0025,0.0,0.005,0.0025,0.0016666666666666668,0.0,0.0025,0.0,0.005,0.0033333333333333335,0.0025,0.0075,0.0,0.005,0.0025,0.0016666666666666668,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.011666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.022857142857142857,0.004640371229698376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668,0.0,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668,0.0
5,0.0,0.006666666666666667,0.0016666666666666668,0.0,0.0,0.0,0.03409090909090909,0.0016666666666666668,0.007042253521126761,0.017543859649122806,0.011666666666666667,0.0038461538461538464,0.0036363636363636364,0.0,0.0,0.0036101083032490976,0.0,0.0,0.016666666666666666,0.02,0.013071895424836602,0.02286902286902287,0.006666666666666667,0.0,0.0,0.006122448979591836,0.0,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.01,0.0,0.0,0.0025,0.01,0.009584664536741214,0.0,0.0025,0.0,0.01,0.004878048780487805,0.0025,0.0,0.0025,0.02,0.0,0.007874015748031496,0.030418250950570342,0.02,0.03764705882352941,0.01,0.0025,0.005,0.0,0.0025,0.0,0.0075,0.005,0.016666666666666666,0.005,0.008333333333333333,0.005,0.015,0.005,0.0125,0.0075,0.005,0.01,0.0025,0.005,0.0016666666666666668,0.028333333333333332,0.005,0.0075,0.01,0.0,0.05,0.0275,0.0025,0.01,0.011666666666666667,0.0,0.005,0.0,0.020618556701030927,0.025,0.0,0.0075,0.0033333333333333335,0.01,0.0025,0.0075,0.02,0.0125,0.006666666666666667,0.0275,0.0025,0.0125,0.0075,0.006666666666666667,0.005,0.01,0.005,0.02,0.005,0.0016666666666666668,0.0175,0.0075,0.0075,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.01,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0175,0.0125,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0075,0.022857142857142857,0.02088167053364269,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006880733944954129,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.01,0.011666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0
6,0.0,0.03166666666666667,0.0033333333333333335,0.0,0.0,0.008333333333333333,0.0,0.006666666666666667,0.014084507042253521,0.0,0.006666666666666667,0.0038461538461538464,0.00909090909090909,0.013888888888888888,0.023809523809523808,0.0036101083032490976,0.021739130434782608,0.02097902097902098,0.005,0.01,0.026143790849673203,0.008316008316008316,0.016666666666666666,0.0,0.005758157389635317,0.018367346938775512,0.00539568345323741,0.023333333333333334,0.025,0.011666666666666667,0.09666666666666666,0.09666666666666666,0.09666666666666666,0.09666666666666666,0.09666666666666666,0.09666666666666666,0.09666666666666666,0.0,0.0,0.105,0.0,0.0,0.105,0.0,0.0,0.105,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.105,0.0,0.0125,0.07833333333333334,0.014018691588785047,0.0038314176245210726,0.005,0.0075,0.03194888178913738,0.005,0.0025,0.0,0.011666666666666667,0.036585365853658534,0.01,0.1,0.02,0.065,0.0,0.08661417322834646,0.03802281368821293,0.085,0.058823529411764705,0.035,0.015,0.0275,0.0275,0.0375,0.0125,0.0425,0.01,0.058333333333333334,0.015,0.06,0.045,0.06,0.01,0.005,0.0625,0.01,0.0875,0.0325,0.02,0.02,0.05333333333333334,0.016666666666666666,0.0325,0.041666666666666664,0.10294117647058823,0.0675,0.0175,0.0175,0.04,0.04666666666666667,0.0,0.05,0.0225,0.05154639175257732,0.055,0.022388059701492536,0.04,0.02666666666666667,0.0475,0.0175,0.02,0.0475,0.0425,0.043333333333333335,0.0475,0.0325,0.045,0.0475,0.04,0.02,0.0525,0.0425,0.055,0.02,0.015,0.0525,0.0425,0.075,0.015,0.0,0.0,0.0,0.0,0.0325,0.0,0.0,0.0,0.0,0.0,0.0,0.07333333333333333,0.11,0.0,0.0,0.0,0.045,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0575,0.0675,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0375,0.1,0.04408352668213457,0.0325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02522935779816514,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.04833333333333333,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051666666666666666,0.0
7,0.10526315789473684,0.051666666666666666,0.006666666666666667,0.0,0.0,0.041666666666666664,0.022727272727272728,0.01,0.04225352112676056,0.008771929824561403,0.025,0.013461538461538462,0.005454545454545455,0.0,0.011904761904761904,0.01444043321299639,0.021739130434782608,0.013986013986013986,0.011666666666666667,0.008333333333333333,0.0196078431372549,0.008316008316008316,0.051666666666666666,0.0,0.005758157389635317,0.01020408163265306,0.02158273381294964,0.056666666666666664,0.065,0.025,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.015,0.085,0.009345794392523364,0.0038314176245210726,0.005,0.0225,0.038338658146964855,0.0,0.005,0.024752475247524754,0.02,0.01951219512195122,0.005,0.1,0.025,0.08,0.009615384615384616,0.1732283464566929,0.09885931558935361,0.1075,0.08235294117647059,0.09,0.1425,0.0575,0.08,0.0725,0.0525,0.1075,0.0575,0.09333333333333334,0.025,0.15,0.1175,0.105,0.05,0.0375,0.1,0.045,0.1225,0.0575,0.04,0.07,0.10666666666666667,0.043333333333333335,0.05,0.09,0.14705882352941177,0.1075,0.025,0.0475,0.055,0.08666666666666667,0.0,0.055,0.0825,0.08247422680412371,0.0775,0.12686567164179105,0.12,0.085,0.0975,0.04,0.045,0.1175,0.11,0.105,0.1225,0.0825,0.0775,0.045,0.07166666666666667,0.0425,0.0875,0.065,0.085,0.0525,0.028333333333333332,0.0275,0.1325,0.1125,0.08,0.0,0.0,0.0,0.0,0.0675,0.0,0.0,0.0,0.0,0.0,0.0,0.08833333333333333,0.1625,0.0,0.0,0.0,0.1125,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.1225,0.075,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.045,0.11428571428571428,0.09048723897911833,0.0725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04357798165137615,0.0,0.0,0.0,0.0,0.0,0.0,0.03166666666666667,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09166666666666666,0.0
8,0.07017543859649122,0.07333333333333333,0.02,0.0,0.02127659574468085,0.04833333333333333,0.022727272727272728,0.028333333333333332,0.07042253521126761,0.008771929824561403,0.016666666666666666,0.011538461538461539,0.014545454545454545,0.05555555555555555,0.0,0.06498194945848375,0.021739130434782608,0.03496503496503497,0.016666666666666666,0.013333333333333334,0.013071895424836602,0.010395010395010396,0.04,0.0,0.019193857965451054,0.024489795918367346,0.03597122302158273,0.055,0.10166666666666667,0.023333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.08666666666666667,0.009345794392523364,0.02681992337164751,0.0125,0.02,0.07348242811501597,0.005,0.015,0.034653465346534656,0.035,0.01951219512195122,0.0175,0.12,0.03,0.1075,0.028846153846153848,0.10236220472440945,0.09885931558935361,0.085,0.08,0.0975,0.0975,0.0925,0.065,0.065,0.1075,0.1675,0.095,0.09166666666666666,0.055,0.13333333333333333,0.1725,0.09,0.11,0.05,0.11,0.09833333333333333,0.1025,0.0925,0.0775,0.07833333333333334,0.11333333333333333,0.1,0.0875,0.14666666666666667,0.19117647058823528,0.09,0.045,0.0525,0.1025,0.11666666666666667,0.0,0.07,0.095,0.18556701030927836,0.13,0.09701492537313433,0.1375,0.095,0.115,0.075,0.0825,0.1425,0.1375,0.09,0.115,0.1575,0.105,0.0525,0.11333333333333333,0.0625,0.0825,0.135,0.065,0.0675,0.058333333333333334,0.07,0.115,0.135,0.18,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.09666666666666666,0.1,0.0,0.0,0.0,0.0875,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.09,0.135,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.065,0.1,0.10208816705336426,0.1175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0963302752293578,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.09333333333333334,0.10166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09166666666666666,0.0
9,0.14035087719298245,0.10666666666666667,0.03166666666666667,0.0,0.026595744680851064,0.09333333333333334,0.03409090909090909,0.035,0.0528169014084507,0.008771929824561403,0.02,0.019230769230769232,0.025454545454545455,0.0,0.023809523809523808,0.061371841155234655,0.07608695652173914,0.013986013986013986,0.028333333333333332,0.03833333333333333,0.013071895424836602,0.02702702702702703,0.05333333333333334,0.25,0.03838771593090211,0.02857142857142857,0.01618705035971223,0.07833333333333334,0.11833333333333333,0.06166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06833333333333333,0.009345794392523364,0.022988505747126436,0.03,0.03,0.07667731629392971,0.0075,0.025,0.01485148514851485,0.025,0.01707317073170732,0.02,0.06,0.0625,0.1025,0.019230769230769232,0.09448818897637795,0.07984790874524715,0.055,0.07764705882352942,0.0825,0.1225,0.1425,0.0775,0.1025,0.1175,0.105,0.0875,0.09333333333333334,0.13833333333333334,0.11,0.125,0.1,0.1525,0.08,0.08,0.06333333333333334,0.05,0.085,0.0775,0.08166666666666667,0.08333333333333333,0.08333333333333333,0.095,0.11333333333333333,0.058823529411764705,0.09,0.04,0.075,0.0725,0.12666666666666668,0.0,0.12,0.1625,0.14432989690721648,0.08,0.1417910447761194,0.105,0.07833333333333334,0.115,0.085,0.0825,0.0775,0.07,0.07666666666666666,0.1075,0.15,0.115,0.05,0.1,0.0925,0.06,0.1425,0.0775,0.1,0.045,0.0525,0.0975,0.1025,0.13,0.0,0.0,0.0,0.0,0.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.09333333333333334,0.0275,0.0,0.0,0.0,0.09,0.0,0.0425,0.0,0.0,0.0,0.0,0.0,0.0575,0.1,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.085,0.07142857142857142,0.13921113689095127,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1559633027522936,0.0,0.0,0.0,0.0,0.0,0.0,0.051666666666666666,0.07333333333333333,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0
