hour,1161364,116570,1176823,1491113,1595929,209233,22930,22956,22961,22967,22973,22983,22985,23150,23154,23158,23176,23724,24279,24285,24287,24321,244024,25073,25092,25214,326272,41970,43435,47144,47158son01,47158son02,47158son03,47158son04,47158son05,47158son06,47158son07,47158son08,47158son09,47158son10,47158son11,47158son12,47158son13,47158son14,47158son15,47158son16,47158son17,47158son18,47158son19,47158son20,47158son21,47158son22,47158son23,47158son24,47158son25,476521,516975,517063,555123,555145,555146,64898,65377,65380,66971,67107,67252,70711,738183,74113,74580,760266,ashgre1,astcra1,bafcur1,baffal1,banana,barant1,batbel1,baymac,bbwduc,bcwfin2,bkcdon,bkhpar,blchaw1,blheag1,blttit1,bncfly,bobfly1,brcmar1,brnowl,bucmot4,bucpar,bufpar,bunibi1,burowl,camfli1,chacha1,chbmoc1,chobla1,chvcon1,cibspi1,coffal1,compau,compot1,crbthr1,crebec1,dwatin1,epaori4,eulfly1,fabwre1,fepowl,ficman1,flawar1,fotfly,fusfly1,gilhum1,giwrai1,glteme1,grasal3,greani1,greant1,greela,grekis,grepot1,gretho2,greyel,grfdov1,grhtan1,gycwor1,horscr1,houspa,hyamac1,larela1,lesela1,lesgrf1,limpki,linwoo1,litcuc2,litnig1,mabpar,magant1,magtan2,masgna1,nacnig1,ocecra1,oliwoo1,orbtro3,orwpar,osprey,pabspi1,palhor3,paltan1,phecuc1,picpig2,pirfly1,plasla1,platyr1,plcjay1,pluibi1,purjay1,pvttyr1,ragmac1,rebscy1,recfin1,redjun,relser1,rinkin1,rivwar1,roahaw,rubthr1,rufcac2,rufcas2,rufgna3,rufhor2,rufnig1,ruftho1,ruftof1,rumfly1,ruther1,rutjac1,sabspa1,saffin,saytan1,scadov1,schpar1,scther1,shcfly1,shshaw,shtnig1,sibtan2,smbani,smbtin1,sobcac1,sobtyr1,socfly1,sofspi1,souant1,soulap1,souscr1,spbant3,spispi1,sptnig1,squcuc1,stbwoo2,strcuc1,strher2,strowl1,swthum1,swtman1,tattin1,thlwre1,toctou1,trokin,trsowl,undtin1,varant1,watjac1,wesfie1,wfwduc1,whbant2,whbwar2,whiwoo1,whlspi1,whnjay1,whtdov,whwpic1,y00678,yebcar,yebela1,yecmac,yecpar,yehcar1,yeofly1
0,0.0,0.0225,0.0,0.0,0.058823529411764705,0.09090909090909091,0.0,0.0,0.12,0.3333333333333333,0.0,0.375,0.0,0.0,0.0,0.0625,0.0,0.125,0.056179775280898875,0.04918032786885246,0.3333333333333333,0.0728476821192053,0.0,0.0,0.08695652173913043,0.0,0.04,0.0425,0.04,0.1,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.02,0.16,0.0,0.07692307692307693,0.035,0.07407407407407407,0.0,0.06896551724137931,0.06557377049180328,0.06936416184971098,0.0,0.053691275167785234,0.125,0.06896551724137931,0.12745098039215685,0.0,0.0,0.0,0.035,0.0,0.07692307692307693,0.07142857142857142,0.0,0.045,0.085,0.2222222222222222,0.055,0.015,0.0275,0.0,0.05263157894736842,0.0847457627118644,0.0,0.031914893617021274,0.022222222222222223,0.0707070707070707,0.07216494845360824,0.025,0.045,0.09166666666666666,0.06310679611650485,0.02,0.06756756756756757,0.07586206896551724,0.037037037037037035,0.05555555555555555,0.17647058823529413,0.13076923076923078,0.10344827586206896,0.027777777777777776,0.0,0.0,0.02564102564102564,0.0,0.05714285714285714,0.10559006211180125,0.0,0.027777777777777776,0.07272727272727272,0.0196078431372549,0.03968253968253968,0.0,0.0,0.04,0.08235294117647059,0.0859375,0.0,0.025,0.06976744186046512,0.03488372093023256,0.0,0.16666666666666666,0.14,0.03,0.0,0.034482758620689655,0.08,0.11764705882352941,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07954545454545454,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.05325443786982249,0.07142857142857142,0.0,0.0,0.0,0.0,0.06,0.0784313725490196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.03418803418803419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0
1,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.039735099337748346,0.0,0.0,0.0,0.0,0.04,0.0025,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.011560693641618497,0.0,0.013422818791946308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.01694915254237288,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.008333333333333333,0.009708737864077669,0.0025,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.018633540372670808,0.0,0.0,0.0,0.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033707865168539325,0.01639344262295082,0.0,0.046357615894039736,0.0,0.0,0.021739130434782608,0.1111111111111111,0.0,0.0025,0.0,0.0,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.04,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.028901734104046242,0.0,0.020134228187919462,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.010638297872340425,0.022222222222222223,0.0,0.0,0.015,0.0,0.0,0.0048543689320388345,0.0075,0.02027027027027027,0.006896551724137931,0.0,0.0,0.0,0.03076923076923077,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.007936507936507936,0.0,0.0,0.005,0.0,0.0078125,0.0,0.005,0.005813953488372093,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035714285714285713,0.0,0.0,0.0,0.0,0.007352941176470588,0.0,0.01775147928994083,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0
3,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0449438202247191,0.0,0.0,0.006622516556291391,0.0,0.0,0.021739130434782608,0.0,0.0,0.0075,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.005780346820809248,0.0,0.013422818791946308,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.01,0.015,0.0,0.01,0.01,0.0075,0.0,0.0,0.01694915254237288,0.02564102564102564,0.005319148936170213,0.0,0.010101010101010102,0.0,0.01,0.0,0.0,0.014563106796116505,0.0225,0.02702702702702703,0.013793103448275862,0.0,0.0,0.0,0.007692307692307693,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.012422360248447204,0.0,0.0,0.0,0.0392156862745098,0.015873015873015872,0.0,0.0,0.01,0.011764705882352941,0.0078125,0.0,0.005,0.005813953488372093,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010714285714285714,0.02857142857142857,0.0,0.0,0.0,0.022058823529411766,0.0,0.04142011834319527,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03015075376884422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0
4,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02247191011235955,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.015,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.020134228187919462,0.0,0.0,0.0,0.0,0.0625,0.0,0.015,0.0,0.0,0.023809523809523808,0.0,0.035,0.02,0.0,0.005,0.02,0.01,0.0,0.07894736842105263,0.1016949152542373,0.02564102564102564,0.026595744680851064,0.022222222222222223,0.0,0.010309278350515464,0.045,0.015,0.016666666666666666,0.019417475728155338,0.0075,0.013513513513513514,0.013793103448275862,0.0,0.05555555555555555,0.0,0.015384615384615385,0.017241379310344827,0.05555555555555555,0.0,0.0,0.01282051282051282,0.0,0.0,0.006211180124223602,0.0,0.027777777777777776,0.03636363636363636,0.0,0.015873015873015872,0.0,0.013157894736842105,0.02,0.0,0.0234375,0.0,0.035,0.005813953488372093,0.023255813953488372,0.0,0.0,0.0,0.015,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.02857142857142857,0.05714285714285714,0.0,0.0,0.0,0.022058823529411766,0.0,0.029585798816568046,0.07142857142857142,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04522613065326633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02142857142857143,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.056179775280898875,0.08196721311475409,0.0,0.033112582781456956,0.3333333333333333,0.0,0.0,0.07407407407407407,0.0,0.0175,0.015,0.0,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04046242774566474,0.0,0.020134228187919462,0.0,0.0,0.0196078431372549,0.0,0.0625,0.0,0.035,0.0,0.0,0.03571428571428571,0.0,0.015,0.045,0.0,0.02,0.02,0.045,0.0,0.05263157894736842,0.05084745762711865,0.05128205128205128,0.06382978723404255,0.022222222222222223,0.010101010101010102,0.05154639175257732,0.025,0.025,0.0,0.014563106796116505,0.0475,0.006756756756756757,0.027586206896551724,0.0,0.0,0.0,0.023076923076923078,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.043478260869565216,0.0,0.0,0.03636363636363636,0.0196078431372549,0.03968253968253968,0.0,0.05263157894736842,0.015,0.03529411764705882,0.0390625,0.0,0.025,0.040697674418604654,0.011627906976744186,0.0,0.16666666666666666,0.04,0.035,0.0,0.0,0.02,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.017857142857142856,0.14285714285714285,0.0,0.0,0.0,0.014705882352941176,0.0,0.029585798816568046,0.07142857142857142,0.0,0.0,0.0,0.0,0.02,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04020100502512563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.03418803418803419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0
6,0.0,0.0275,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.011235955056179775,0.0,0.0,0.013245033112582781,0.1111111111111111,0.0,0.021739130434782608,0.037037037037037035,0.0,0.0375,0.045,0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.07692307692307693,0.01,0.1111111111111111,0.0,0.0,0.0,0.011560693641618497,0.0,0.006711409395973154,0.25,0.0,0.09803921568627451,0.0,0.125,0.0,0.13,0.0,0.0,0.03571428571428571,0.0,0.025,0.045,0.0,0.075,0.06,0.05,0.2,0.10526315789473684,0.06779661016949153,0.07692307692307693,0.12234042553191489,0.022222222222222223,0.030303030303030304,0.0,0.135,0.09,0.05,0.05339805825242718,0.0725,0.060810810810810814,0.034482758620689655,0.1111111111111111,0.16666666666666666,0.0,0.007692307692307693,0.034482758620689655,0.027777777777777776,0.0,0.0,0.0641025641025641,0.0,0.05714285714285714,0.06832298136645963,0.0,0.05555555555555555,0.07272727272727272,0.0196078431372549,0.023809523809523808,0.0,0.10526315789473684,0.105,0.058823529411764705,0.046875,0.0,0.055,0.06976744186046512,0.10465116279069768,0.0,0.0,0.02,0.1,0.0,0.1724137931034483,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.04642857142857143,0.17142857142857143,0.0,0.0,0.0,0.022058823529411766,0.0,0.11242603550295859,0.14285714285714285,0.0,0.0,0.0,0.0,0.11,0.09803921568627451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11055276381909548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.042735042735042736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0325,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0
7,0.0,0.0425,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.033707865168539325,0.01639344262295082,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.0,0.08,0.0675,0.1,0.0,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.1125,0.0,0.0,0.07692307692307693,0.03,0.14814814814814814,0.0,0.034482758620689655,0.0,0.028901734104046242,0.0,0.006711409395973154,0.125,0.034482758620689655,0.12745098039215685,0.0,0.125,0.0,0.115,0.0,0.0,0.13095238095238096,0.0,0.065,0.06,0.1111111111111111,0.1,0.11,0.0675,0.2,0.07894736842105263,0.11864406779661017,0.10256410256410256,0.12234042553191489,0.022222222222222223,0.06060606060606061,0.05154639175257732,0.125,0.065,0.058333333333333334,0.03398058252427184,0.1,0.05405405405405406,0.07586206896551724,0.14814814814814814,0.1111111111111111,0.29411764705882354,0.007692307692307693,0.017241379310344827,0.027777777777777776,0.5,0.0,0.07692307692307693,0.0,0.11428571428571428,0.062111801242236024,0.0,0.08333333333333333,0.09090909090909091,0.11764705882352941,0.07142857142857142,0.0,0.10526315789473684,0.145,0.09411764705882353,0.0625,0.0,0.115,0.029069767441860465,0.11627906976744186,0.0,0.16666666666666666,0.12,0.075,0.0,0.2413793103448276,0.055,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.1,0.17142857142857143,0.0,0.0,0.0,0.07352941176470588,0.0,0.09467455621301775,0.2857142857142857,0.0,0.0,0.0,0.0,0.12,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07035175879396985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
8,0.0,0.08,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.0,0.0,0.03125,0.0,0.125,0.011235955056179775,0.0,0.0,0.019867549668874173,0.1111111111111111,0.0,0.021739130434782608,0.0,0.04,0.1125,0.1075,0.0,0.055,0.055,0.055,0.055,0.055,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.05555555555555555,0.09,0.0,0.0,0.07692307692307693,0.025,0.0,0.0,0.034482758620689655,0.0,0.028901734104046242,0.0,0.006711409395973154,0.125,0.1724137931034483,0.11764705882352941,0.0,0.125,0.0,0.055,0.0,0.15384615384615385,0.14285714285714285,0.0,0.085,0.065,0.2222222222222222,0.14,0.08,0.1075,0.0,0.07894736842105263,0.13559322033898305,0.20512820512820512,0.15425531914893617,0.044444444444444446,0.09090909090909091,0.1134020618556701,0.115,0.09,0.06666666666666667,0.05339805825242718,0.1,0.06756756756756757,0.06206896551724138,0.14814814814814814,0.05555555555555555,0.0,0.007692307692307693,0.017241379310344827,0.1388888888888889,0.0,0.0,0.0641025641025641,0.0,0.08571428571428572,0.055900621118012424,0.0,0.19444444444444445,0.03636363636363636,0.11764705882352941,0.09523809523809523,0.0,0.07894736842105263,0.09,0.09411764705882353,0.09375,0.3333333333333333,0.065,0.06976744186046512,0.11627906976744186,0.0,0.0,0.18,0.1,0.0,0.06896551724137931,0.105,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06818181818181818,0.0,0.0,0.10714285714285714,0.14285714285714285,0.0,0.0,0.0,0.051470588235294115,0.0,0.05917159763313609,0.14285714285714285,0.0,0.0,0.0,0.0,0.045,0.0784313725490196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08542713567839195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12142857142857143,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0925,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0
9,0.0,0.105,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.011235955056179775,0.01639344262295082,0.0,0.013245033112582781,0.0,1.0,0.06521739130434782,0.037037037037037035,0.0,0.09,0.0925,0.1,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,0.01,0.037037037037037035,0.0,0.06896551724137931,0.03278688524590164,0.046242774566473986,0.0,0.0,0.125,0.034482758620689655,0.10784313725490197,0.0,0.0,0.0,0.03,0.0,0.07692307692307693,0.08333333333333333,0.0,0.07,0.09,0.2222222222222222,0.09,0.07,0.0925,0.0,0.0,0.03389830508474576,0.05128205128205128,0.12234042553191489,0.022222222222222223,0.18181818181818182,0.08247422680412371,0.045,0.11,0.05,0.0970873786407767,0.06,0.0472972972972973,0.04827586206896552,0.18518518518518517,0.1111111111111111,0.23529411764705882,0.007692307692307693,0.05172413793103448,0.05555555555555555,0.0,0.0,0.0641025641025641,0.0,0.14285714285714285,0.07453416149068323,0.0,0.2222222222222222,0.09090909090909091,0.1568627450980392,0.09523809523809523,0.0,0.09210526315789473,0.07,0.08235294117647059,0.09375,0.16666666666666666,0.05,0.046511627906976744,0.13953488372093023,0.0,0.0,0.08,0.02,0.0,0.0,0.05,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10227272727272728,0.0,0.0,0.09642857142857143,0.02857142857142857,0.0,0.0,0.0,0.058823529411764705,0.0,0.04142011834319527,0.07142857142857142,0.0,0.0,0.0,0.0,0.04,0.1568627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07537688442211055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.06451612903225806,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
