label,sci_name,new_id,obs_count,status,n_global,n_pantanal
47158son08,Insect son08,,,no_results,,
47158son09,Insect son09,,,no_results,,
47158son11,Insect son11,,,no_results,,
47158son12,Insect son12,,,no_results,,
47158son14,Insect son14,,,no_results,,
47158son15,Insect son15,,,no_results,,
47158son17,Insect son17,,,no_results,,
47158son18,Insect son18,,,no_results,,
47158son20,Insect son20,,,no_results,,
47158son21,Insect son21,,,no_results,,
47158son22,Insect son22,,,no_results,,
47158son23,Insect son23,,,no_results,,
47158son25,Insect son25,,,no_results,,
476521,Physalaemus nattereri,476521.0,477.0,exact,400.0,18.0
555123,Boana lundii,555123.0,263.0,exact,261.0,0.0
555145,Boana punctata,555145.0,1379.0,exact,400.0,13.0
555146,Boana raniceps,555146.0,1656.0,exact,400.0,200.0
64898,Ameerega picta,64898.0,316.0,exact,313.0,27.0
65377,Dendropsophus minutus,65377.0,1736.0,exact,400.0,3.0
65380,Dendropsophus nanus,65380.0,745.0,exact,400.0,29.0
66971,Pseudis platensis,66971.0,204.0,exact,202.0,61.0
70711,Leptodactylus macrosternum,70711.0,1841.0,exact,400.0,149.0
738183,Plecturocebus pallescens,738183.0,50.0,exact,50.0,8.0
74113,Bos taurus,74113.0,52251.0,exact,400.0,29.0
74580,Mico melanurus,74580.0,405.0,exact,400.0,102.0
760266,Prionacris erosa,760266.0,104.0,exact,104.0,0.0
ashgre1,Hylophilus pectoralis,17431.0,127.0,exact,127.0,16.0
astcra1,Mustelirallus albicollis,508907.0,263.0,exact,263.0,1.0
bafcur1,Crax fasciolata,2046.0,1857.0,exact,400.0,200.0
banana,Coereba flaveola,10199.0,22352.0,exact,400.0,13.0
barant1,Thamnophilus doliatus,15764.0,5658.0,exact,400.0,84.0
batbel1,Procnias nudicollis,8854.0,667.0,exact,400.0,0.0
baymac,Ara ararauna,19018.0,12368.0,exact,400.0,200.0
bbwduc,Dendrocygna autumnalis,6893.0,53222.0,exact,400.0,200.0
bcwfin2,Microspingus melanoleucus,558564.0,2206.0,exact,400.0,9.0
bkcdon,Donacobius atricapilla,116877.0,2536.0,exact,400.0,200.0
bkhpar,Aratinga nenday,367562.0,5841.0,exact,400.0,200.0
bncfly,Myiarchus tyrannulus,16016.0,7299.0,exact,400.0,59.0
bobfly1,Megarynchus pitangua,16737.0,9108.0,exact,400.0,39.0
brcmar1,Progne tapera,11870.0,6356.0,exact,400.0,188.0
brnowl,Tyto furcata,1578502.0,17155.0,exact,400.0,45.0
bucmot4,Momotus momota,204447.0,1251.0,exact,400.0,99.0
bufpar,Amazona aestiva,18978.0,3916.0,exact,400.0,200.0
bunibi1,Theristicus caudatus,3766.0,6514.0,exact,400.0,200.0
burowl,Athene cunicularia,19975.0,43451.0,exact,400.0,120.0
chobla1,Gnorimopsar chopi,10723.0,2289.0,exact,400.0,145.0
cibspi1,Synallaxis hypospodia,10921.0,68.0,exact,68.0,18.0
coffal1,Micrastur semitorquatus,4698.0,1791.0,exact,400.0,17.0
compau,Nyctidromus albicollis,19627.0,8908.0,exact,400.0,130.0
compot1,Nyctibius griseus,19667.0,4807.0,exact,400.0,58.0
crbthr1,Turdus amaurochalinus,12710.0,7857.0,exact,400.0,36.0
dwatin1,Taoniscus nanus,20714.0,6.0,exact,6.0,0.0
epaori4,Icterus pyrrhopterus,72954.0,4233.0,exact,400.0,78.0
eulfly1,Lathrotriccus euleri,17231.0,877.0,exact,400.0,0.0
fabwre1,Cantorchilus guarayanus,144880.0,97.0,exact,97.0,35.0
fepowl,Glaucidium brasilianum,19822.0,13125.0,exact,400.0,161.0
ficman1,Machaeropterus pyrocephalus,14344.0,134.0,exact,134.0,0.0
flawar1,Myiothlypis flaveola,201223.0,513.0,exact,400.0,36.0
fusfly1,Cnemotriccus fuscatus,17076.0,504.0,exact,400.0,51.0
gilhum1,Hylocharis chrysura,5979.0,3463.0,exact,400.0,126.0
giwrai1,Aramides ypecaha,460.0,2573.0,exact,400.0,3.0
glteme1,Chionomesa fimbriata,1289639.0,2967.0,exact,400.0,76.0
grasal3,Saltator coerulescens,9850.0,3204.0,exact,400.0,200.0
greant1,Taraba major,15957.0,3110.0,exact,400.0,128.0
greela,Myiopagis viridicata,16892.0,1652.0,exact,400.0,6.0
grekis,Pitangus sulphuratus,16956.0,77825.0,exact,400.0,200.0
grepot1,Nyctibius grandis,19680.0,2494.0,exact,400.0,172.0
greyel,Tringa melanoleuca,3892.0,71501.0,exact,400.0,3.0
grfdov1,Leptotila rufaxilla,3302.0,802.0,exact,400.0,6.0
grhtan1,Eucometis penicillata,10698.0,2212.0,exact,400.0,50.0
gycwor1,Aramides cajaneus,513889.0,6799.0,exact,400.0,200.0
horscr1,Anhima cornuta,6908.0,1712.0,exact,400.0,0.0
hyamac1,Anodorhynchus hyacinthinus,18938.0,2057.0,exact,400.0,200.0
larela1,Elaenia spectabilis,16734.0,746.0,exact,400.0,17.0
lesela1,Elaenia chiriquensis,578460.0,665.0,exact,400.0,3.0
lesgrf1,Emberizoides ypiranganus,10555.0,201.0,exact,200.0,2.0
limpki,Aramus guarauna,7.0,28103.0,exact,0.0,0.0
linwoo1,Dryocopus lineatus,17858.0,11540.0,exact,0.0,0.0
litcuc2,Coccycua minuta,72740.0,534.0,exact,0.0,0.0
litnig1,Setopagis parvula,367507.0,627.0,exact,0.0,0.0
mabpar,Pyrrhura frontalis,19162.0,2817.0,exact,400.0,2.0
magant1,Cercomacra melanaria,15737.0,123.0,exact,0.0,0.0
magtan2,Cissopis leverianus,72727.0,1497.0,exact,0.0,0.0
masgna1,Polioptila dumicola,7509.0,5183.0,exact,0.0,0.0
nacnig1,Chordeiles nacunda,19661.0,743.0,exact,0.0,88.0
ocecra1,Rufirallus schomburgkii,1506288.0,91.0,exact,0.0,0.0
oliwoo1,Sittasomus griseicapillus,11511.0,2781.0,exact,0.0,0.0
orwpar,Amazona amazonica,18982.0,3623.0,exact,400.0,35.0
osprey,Pandion haliaetus,116999.0,201812.0,exact,0.0,0.0
pabspi1,Synallaxis albescens,10999.0,1148.0,exact,0.0,0.0
palhor3,Furnarius leucopus,11281.0,594.0,exact,0.0,0.0
paltan1,Thraupis palmarum,10297.0,17142.0,exact,400.0,136.0
phecuc1,Dromococcyx phasianellus,1982.0,301.0,exact,0.0,0.0
picpig2,Patagioenas picazuro,3102.0,11717.0,exact,400.0,169.0
pirfly1,Legatus leucophaius,17312.0,2476.0,exact,0.0,14.0
plasla1,Thamnophilus pelzelni,73493.0,421.0,exact,0.0,0.0
platyr1,Inezia inornata,16344.0,106.0,exact,0.0,0.0
plcjay1,Cyanocorax chrysops,8484.0,4584.0,exact,0.0,0.0
pluibi1,Theristicus caerulescens,3768.0,1532.0,exact,0.0,0.0
purjay1,Cyanocorax cyanomelas,8483.0,1251.0,exact,400.0,200.0
pvttyr1,Hemitriccus margaritaceiventer,16273.0,1237.0,exact,400.0,51.0
ragmac1,Ara chloropterus,19016.0,4215.0,exact,0.0,0.0
rebscy1,Campylorhamphus trochilirostris,11201.0,644.0,exact,0.0,0.0
recfin1,Coryphospingus cucullatus,10310.0,2477.0,exact,0.0,0.0
redjun,Gallus gallus,882.0,72761.0,exact,400.0,3.0
relser1,Cariama cristata,14.0,4301.0,exact,0.0,0.0
rinkin1,Megaceryle torquata,2552.0,15955.0,exact,0.0,0.0
rivwar1,Myiothlypis rivularis,145267.0,428.0,exact,0.0,0.0
roahaw,Rupornis magnirostris,201041.0,34461.0,exact,0.0,0.0
rubthr1,Turdus rufiventris,12738.0,15827.0,exact,400.0,199.0
