site,date,file_a,file_b,time_a,time_b,peak_corr,best_offset_s
S13,20230120,BC2026_Train_6124_S13_20230120_233000.ogg,BC2026_Train_6121_S13_20230120_014500.ogg,233000,014500,-0.010067399591207504,-15.45325
S22,20240213,BC2026_Train_9992_S22_20240213_230000.ogg,BC2026_Train_9991_S22_20240213_220000.ogg,230000,220000,-0.013473195023834705,5.5525
S02,20221009,BC2026_Train_3635_S02_20221009_234500.ogg,BC2026_Train_3634_S02_20221009_224500.ogg,234500,224500,0.013154529966413975,1.0075
S22,20240103,BC2026_Train_9757_S22_20240103_003000.ogg,BC2026_Train_9760_S22_20240103_194500.ogg,003000,194500,0.01023533008992672,12.85675
S01,20240306,BC2026_Train_2374_S01_20240306_040000.ogg,BC2026_Train_2375_S01_20240306_180000.ogg,040000,180000,0.010715467855334282,9.61775
S13,20231027,BC2026_Train_6648_S13_20231027_190000.ogg,BC2026_Train_6647_S13_20231027_023000.ogg,190000,023000,-0.009553211741149426,-33.01075
S02,20221001,BC2026_Train_3603_S02_20221001_183000.ogg,BC2026_Train_3601_S02_20221001_021500.ogg,183000,021500,0.008224109187722206,-0.13225
S01,20240424,BC2026_Train_2585_S01_20240424_183000.ogg,BC2026_Train_2584_S01_20240424_024500.ogg,183000,024500,0.008460501208901405,24.074
S01,20240323,BC2026_Train_2441_S01_20240323_013000.ogg,BC2026_Train_2442_S01_20240323_014500.ogg,013000,014500,-0.013526936061680317,-10.60725
S01,20220103,BC2026_Train_0734_S01_20220103_004500.ogg,BC2026_Train_0736_S01_20220103_181500.ogg,004500,181500,-0.005076380912214518,-30.3815
S02,20220108,BC2026_Train_3041_S02_20220108_204500.ogg,BC2026_Train_3042_S02_20220108_230000.ogg,204500,230000,-0.008402575738728046,-1.863
S02,20220414,BC2026_Train_3425_S02_20220414_004500.ogg,BC2026_Train_3427_S02_20220414_021500.ogg,004500,021500,0.011653649620711803,1.05825
S02,20231201,BC2026_Train_4533_S02_20231201_194500.ogg,BC2026_Train_4532_S02_20231201_034500.ogg,194500,034500,0.011760673485696316,0.7
S13,20220302,BC2026_Train_5375_S13_20220302_011500.ogg,BC2026_Train_5376_S13_20220302_181500.ogg,011500,181500,0.009999524801969528,0.40775
S22,20240108,BC2026_Train_9785_S22_20240108_184500.ogg,BC2026_Train_9787_S22_20240108_203000.ogg,184500,203000,-0.014718422666192055,-4.4065
S22,20231123,BC2026_Train_9529_S22_20231123_180000.ogg,BC2026_Train_9527_S22_20231123_003000.ogg,180000,003000,0.016365407034754753,-1.47225
S13,20230911,BC2026_Train_6488_S13_20230911_191500.ogg,BC2026_Train_6490_S13_20230911_223000.ogg,191500,223000,-0.008298787288367748,10.76325
S22,20211005,BC2026_Train_7133_S22_20211005_181500.ogg,BC2026_Train_7132_S22_20211005_030000.ogg,181500,030000,0.009836258366703987,-13.477
S02,20220915,BC2026_Train_3539_S02_20220915_021500.ogg,BC2026_Train_3540_S02_20220915_204500.ogg,021500,204500,-0.026157453656196594,0.47425
S13,20210929,BC2026_Train_5138_S13_20210929_183000.ogg,BC2026_Train_5139_S13_20210929_193000.ogg,183000,193000,-0.011954457499086857,0.3545
S13,20220221,BC2026_Train_5353_S13_20220221_213000.ogg,BC2026_Train_5352_S13_20220221_190000.ogg,213000,190000,0.013444460928440094,-1.78625
S02,20221227,BC2026_Train_3940_S02_20221227_234500.ogg,BC2026_Train_3939_S02_20221227_200000.ogg,234500,200000,0.01025988906621933,0.027
S13,20221118,BC2026_Train_5880_S13_20221118_031500.ogg,BC2026_Train_5879_S13_20221118_023000.ogg,031500,023000,0.017396852374076843,7.92625
S01,20231126,BC2026_Train_1923_S01_20231126_013000.ogg,BC2026_Train_1925_S01_20231126_220000.ogg,013000,220000,0.020229516550898552,11.75325
S01,20230226,BC2026_Train_1202_S01_20230226_040000.ogg,BC2026_Train_1204_S01_20230226_231500.ogg,040000,231500,-0.012959358282387257,0.94475
S01,20240110,BC2026_Train_2133_S01_20240110_204500.ogg,BC2026_Train_2131_S01_20240110_001500.ogg,204500,001500,-0.008688140660524368,11.96325
S22,20230928,BC2026_Train_9215_S22_20230928_014500.ogg,BC2026_Train_9218_S22_20230928_204500.ogg,014500,204500,0.01255780179053545,-11.61425
S13,20211006,BC2026_Train_5162_S13_20211006_194500.ogg,BC2026_Train_5163_S13_20211006_233000.ogg,194500,233000,0.003540211357176304,8.0035
S22,20230114,BC2026_Train_8791_S22_20230114_193000.ogg,BC2026_Train_8792_S22_20230114_230000.ogg,193000,230000,-0.010818143375217915,1.33575
S02,20230217,BC2026_Train_4114_S02_20230217_223000.ogg,BC2026_Train_4113_S02_20230217_014500.ogg,223000,014500,0.0067579858005046844,19.59
S01,20231124,BC2026_Train_1913_S01_20231124_223000.ogg,BC2026_Train_1910_S01_20231124_030000.ogg,223000,030000,-0.01195729523897171,33.06625
S13,20230210,BC2026_Train_6199_S13_20230210_001500.ogg,BC2026_Train_6200_S13_20230210_023000.ogg,001500,023000,0.009429342113435268,-10.449
S02,20210927,BC2026_Train_2642_S02_20210927_004500.ogg,BC2026_Train_2643_S02_20210927_200000.ogg,004500,200000,0.006516766734421253,0.56525
S02,20231006,BC2026_Train_4331_S02_20231006_211500.ogg,BC2026_Train_4333_S02_20231006_223000.ogg,211500,223000,0.009455449879169464,10.3235
S02,20221223,BC2026_Train_3929_S02_20221223_234500.ogg,BC2026_Train_3927_S02_20221223_184500.ogg,234500,184500,0.01611914485692978,0.46425
S01,20220214,BC2026_Train_0927_S01_20220214_040000.ogg,BC2026_Train_0925_S01_20220214_010000.ogg,040000,010000,-0.05627038702368736,-5.87825
S22,20221028,BC2026_Train_8375_S22_20221028_181500.ogg,BC2026_Train_8376_S22_20221028_183000.ogg,181500,183000,0.010501679964363575,-0.56975
S02,20220912,BC2026_Train_3533_S02_20220912_183000.ogg,BC2026_Train_3532_S02_20220912_013000.ogg,183000,013000,-0.008944012224674225,4.13925
S02,20211209,BC2026_Train_2926_S02_20211209_214500.ogg,BC2026_Train_2925_S02_20211209_204500.ogg,214500,204500,0.009204082190990448,-0.52175
S02,20220922,BC2026_Train_3572_S02_20220922_021500.ogg,BC2026_Train_3571_S02_20220922_013000.ogg,021500,013000,-0.009086485020816326,3.562
S01,20211012,BC2026_Train_0386_S01_20211012_191500.ogg,BC2026_Train_0384_S01_20211012_014500.ogg,191500,014500,0.009676484391093254,-3.41825
S13,20221021,BC2026_Train_5787_S13_20221021_200000.ogg,BC2026_Train_5790_S13_20221021_233000.ogg,200000,233000,-0.012043654918670654,2.539
S22,20230206,BC2026_Train_8910_S22_20230206_214500.ogg,BC2026_Train_8906_S22_20230206_191500.ogg,214500,191500,-0.010408458299934864,-6.2745
S13,20231210,BC2026_Train_6792_S13_20231210_011500.ogg,BC2026_Train_6793_S13_20231210_221500.ogg,011500,221500,0.009647246450185776,13.15075
S13,20211019,BC2026_Train_5206_S13_20211019_224500.ogg,BC2026_Train_5205_S13_20211019_213000.ogg,224500,213000,-0.08161360025405884,-17.8415
S22,20230214,BC2026_Train_8956_S22_20230214_040000.ogg,BC2026_Train_8958_S22_20230214_223000.ogg,040000,223000,0.010656037367880344,-1.11325
S13,20220408,BC2026_Train_5526_S13_20220408_193000.ogg,BC2026_Train_5527_S13_20220408_200000.ogg,193000,200000,-0.013243509456515312,-1.492
S22,20230203,BC2026_Train_8893_S22_20230203_201500.ogg,BC2026_Train_8889_S22_20230203_011500.ogg,201500,011500,0.010830859653651714,-3.63125
S02,20231204,BC2026_Train_4541_S02_20231204_213000.ogg,BC2026_Train_4540_S02_20231204_021500.ogg,213000,021500,0.008106308989226818,-4.57425
S02,20220903,BC2026_Train_3495_S02_20220903_201500.ogg,BC2026_Train_3494_S02_20220903_193000.ogg,201500,193000,-0.010812417604029179,4.11225
