labeled,unlabeled,n_shared_hashes,lab_total_hashes,share_pct
BC2026_Train_0001_S08_20250606_030007.ogg,BC2026_Train_3418_S02_20220413_040000.ogg,21,192,10.9375
BC2026_Train_0001_S08_20250606_030007.ogg,BC2026_Train_7203_S22_20211018_211500.ogg,21,192,10.9375
BC2026_Train_0001_S08_20250606_030007.ogg,BC2026_Train_3414_S02_20220413_021500.ogg,21,192,10.9375
BC2026_Train_0002_S08_20250607_030007.ogg,BC2026_Train_3350_S02_20220325_193000.ogg,28,198,14.14141414141414
BC2026_Train_0002_S08_20250607_030007.ogg,BC2026_Train_8014_S22_20220420_040000.ogg,26,198,13.131313131313133
BC2026_Train_0002_S08_20250607_030007.ogg,BC2026_Train_9117_S22_20230910_020000.ogg,26,198,13.131313131313133
BC2026_Train_0003_S08_20250607_070007.ogg,BC2026_Train_10250_S22_20240324_210000.ogg,22,197,11.16751269035533
BC2026_Train_0003_S08_20250607_070007.ogg,BC2026_Train_9345_S22_20231019_223000.ogg,21,197,10.65989847715736
BC2026_Train_0003_S08_20250607_070007.ogg,BC2026_Train_10111_S22_20240303_021500.ogg,20,197,10.152284263959391
BC2026_Train_0004_S08_20250607_070007.ogg,BC2026_Train_2836_S02_20211115_220000.ogg,24,193,12.435233160621761
BC2026_Train_0004_S08_20250607_070007.ogg,BC2026_Train_6389_S13_20230412_031500.ogg,23,193,11.917098445595855
BC2026_Train_0004_S08_20250607_070007.ogg,BC2026_Train_10327_S22_20240405_030000.ogg,22,193,11.398963730569948
BC2026_Train_0005_S08_20250607_070007.ogg,BC2026_Train_5366_S13_20220226_230000.ogg,26,196,13.26530612244898
BC2026_Train_0005_S08_20250607_070007.ogg,BC2026_Train_10175_S22_20240314_013000.ogg,24,196,12.244897959183673
BC2026_Train_0005_S08_20250607_070007.ogg,BC2026_Train_4594_S02_20231218_191500.ogg,23,196,11.73469387755102
BC2026_Train_0006_S09_20250828_000000.ogg,BC2026_Train_7193_S22_20211016_200000.ogg,15,195,7.6923076923076925
BC2026_Train_0006_S09_20250828_000000.ogg,BC2026_Train_5994_S13_20221218_191500.ogg,13,195,6.666666666666667
BC2026_Train_0006_S09_20250828_000000.ogg,BC2026_Train_10470_S15_20250617_061800.ogg,12,195,6.153846153846154
BC2026_Train_0007_S09_20250829_000000.ogg,BC2026_Train_6516_S13_20230920_210000.ogg,13,200,6.5
BC2026_Train_0007_S09_20250829_000000.ogg,BC2026_Train_0204_S10_20251128_103307.ogg,13,200,6.5
BC2026_Train_0007_S09_20250829_000000.ogg,BC2026_Train_10584_S19_20241214_180000.ogg,12,200,6.0
BC2026_Train_0008_S09_20250831_000000.ogg,BC2026_Train_10502_S15_20251003_065500.ogg,12,200,6.0
BC2026_Train_0008_S09_20250831_000000.ogg,BC2026_Train_10478_S15_20250617_065000.ogg,12,200,6.0
BC2026_Train_0008_S09_20250831_000000.ogg,BC2026_Train_5735_S13_20221007_234500.ogg,12,200,6.0
BC2026_Train_0009_S09_20250828_000000.ogg,BC2026_Train_7713_S22_20220122_223000.ogg,20,197,10.152284263959391
BC2026_Train_0009_S09_20250828_000000.ogg,BC2026_Train_10585_S19_20241214_183000.ogg,16,197,8.121827411167512
BC2026_Train_0009_S09_20250828_000000.ogg,BC2026_Train_10512_S16_20241217_180000.ogg,15,197,7.614213197969544
BC2026_Train_0010_S09_20250828_000000.ogg,BC2026_Train_10429_S14_20250606_062300.ogg,15,198,7.575757575757576
BC2026_Train_0010_S09_20250828_000000.ogg,BC2026_Train_7232_S22_20211023_184500.ogg,13,198,6.565656565656567
BC2026_Train_0011_S03_20211114_200000.ogg,BC2026_Train_3039_S02_20220107_024500.ogg,17,200,8.5
BC2026_Train_0011_S03_20211114_200000.ogg,BC2026_Train_3892_S02_20221212_014500.ogg,17,200,8.5
