train_audio,class,best_match_ss,n_shared,ta_total,share_pct
iNat818781.ogg,1161364,BC2026_Train_3938_S02_20221226_014500.ogg,10,199,5.025125628140704
iNat1460166.ogg,116570,BC2026_Train_8425_S22_20221106_211500.ogg,9,200,4.5
iNat389418.ogg,1176823,BC2026_Train_0008_S09_20250831_000000.ogg,12,198,6.0606060606060606
iNat1679888.ogg,1595929,BC2026_Train_7814_S22_20220208_194500.ogg,8,197,4.060913705583756
iNat910967.ogg,22930,BC2026_Train_7365_S22_20211117_204500.ogg,16,199,8.040201005025125
iNat1298529.ogg,22956,BC2026_Train_6516_S13_20230920_210000.ogg,9,198,4.545454545454546
iNat512578.ogg,22961,BC2026_Train_9804_S22_20240112_184500.ogg,12,199,6.030150753768844
iNat1698105.ogg,22967,BC2026_Train_3764_S02_20221108_003000.ogg,16,194,8.24742268041237
iNat348132.ogg,22973,BC2026_Train_4552_S02_20231207_190000.ogg,12,195,6.153846153846154
iNat193774.ogg,22983,BC2026_Train_0078_S04_20240810_080005.ogg,8,196,4.081632653061225
XC929102.ogg,22985,BC2026_Train_4763_S02_20240130_034500.ogg,14,198,7.07070707070707
iNat1243039.ogg,23150,BC2026_Train_5679_S13_20220922_034500.ogg,9,198,4.545454545454546
iNat1301738.ogg,23154,BC2026_Train_7542_S22_20211220_214500.ogg,11,199,5.527638190954774
iNat1261183.ogg,23158,BC2026_Train_7572_S22_20211225_231500.ogg,12,200,6.0
iNat855633.ogg,23176,BC2026_Train_7830_S22_20220212_220000.ogg,9,200,4.5
iNat249321.ogg,23724,BC2026_Train_7811_S22_20220207_220000.ogg,9,199,4.522613065326634
iNat1258487.ogg,24279,BC2026_Train_9316_S22_20231013_234500.ogg,9,194,4.639175257731959
XC1004236.ogg,24285,BC2026_Train_7687_S22_20220116_221500.ogg,14,194,7.216494845360824
iNat1253061.ogg,24287,BC2026_Train_4525_S02_20231128_231500.ogg,14,197,7.1065989847715745
iNat251887.ogg,24321,BC2026_Train_7659_S22_20220109_023000.ogg,10,199,5.025125628140704
iNat761929.ogg,244024,BC2026_Train_6224_S13_20230217_210000.ogg,15,194,7.731958762886598
iNat733455.ogg,25092,BC2026_Train_5160_S13_20211005_213000.ogg,12,200,6.0
iNat1253406.ogg,25214,BC2026_Train_0222_S10_20251128_103307.ogg,9,200,4.5
iNat1256990.ogg,326272,BC2026_Train_2684_S02_20211008_194500.ogg,17,200,8.5
iNat1533995.ogg,41970,BC2026_Train_10481_S15_20250617_065300.ogg,22,200,11.0
iNat1651689.ogg,43435,BC2026_Train_0201_S10_20251128_103307.ogg,9,198,4.545454545454546
iNat1594275.ogg,47144,BC2026_Train_6589_S13_20231010_234500.ogg,11,200,5.5
iNat22239.ogg,516975,BC2026_Train_8251_S22_20221003_220000.ogg,14,194,7.216494845360824
iNat859875.ogg,555123,BC2026_Train_2655_S02_20210930_233000.ogg,20,196,10.204081632653061
iNat179807.ogg,555145,BC2026_Train_10465_S14_20250903_064900.ogg,15,192,7.8125
iNat911117.ogg,555146,BC2026_Train_5175_S13_20211011_203000.ogg,12,196,6.122448979591836
iNat897991.ogg,64898,BC2026_Train_0921_S01_20220213_013000.ogg,9,200,4.5
iNat1484802.ogg,65377,BC2026_Train_10592_S19_20241214_220000.ogg,11,199,5.527638190954774
iNat196918.ogg,65380,BC2026_Train_3448_S02_20220420_210000.ogg,14,199,7.035175879396985
iNat163948.ogg,66971,BC2026_Train_5782_S13_20221019_193000.ogg,10,193,5.181347150259067
