primary_label,n,lat_min,lat_max,lon_min,lon_max,unique_locs,lat_span_deg,lon_span_deg,span_km_approx
1161364,11,-22.7562,-16.4252,-50.9745,-40.7354,10,6.3309999999999995,10.2391,1336.2515900791325
116570,1,-27.7287,-27.7287,-56.8599,-56.8599,1,0.0,0.0,0.0
1176823,12,-36.613,-26.4757,-64.3261,-52.1594,12,10.1373,12.166699999999999,1757.8469718544272
1595929,5,-30.2179,-28.5332,-57.6217,-57.167,5,1.6846999999999994,0.45469999999999544,193.69312921159573
209233,2,30.7922,49.2473,-107.7249,-81.5536,2,18.4551,26.171300000000002,3554.6485473480643
22930,6,-20.5833,-14.1753,-60.0618,-47.7656,6,6.408000000000001,12.296199999999999,1539.0981514442929
22956,32,-38.7666,-15.7103,-65.7894,-44.0993,29,23.056299999999997,21.6901,3513.7302167741477
22961,6,-25.3974,-16.8857,-57.3655,-48.0445,6,8.511700000000001,9.320999999999998,1401.1088072247242
22967,8,-28.4929,-14.0535,-67.9238,-54.1355,6,14.4394,13.7883,2216.149092694183
22973,63,-29.5093,11.1631,-80.9385,-41.0918,54,40.672399999999996,39.846700000000006,6320.18406651821
22983,10,-23.547,-16.1531,-49.9234,-46.2463,9,7.393900000000002,3.677100000000003,916.6128480334653
22985,6,-9.5556,4.9058,-55.9216,-52.3036,6,14.461400000000001,3.617999999999995,1654.6895279783334
23150,1,-18.9999,-18.9999,-49.4609,-49.4609,1,0.0,0.0,0.0
23154,5,-11.8166,-6.4189,-41.3114,-35.2896,5,5.3976999999999995,6.021799999999999,897.6410198794002
23158,25,-33.7065,-15.1695,-65.3765,-55.9201,25,18.537,9.456399999999995,2309.877382411707
23176,4,-16.6005,-9.3584,-49.3043,-35.8561,4,7.242100000000001,13.4482,1695.439506589265
23724,1,-32.4949,-32.4949,-66.0575,-66.0575,1,0.0,0.0,0.0
24279,46,-35.1744,-14.8219,-64.89,-48.9173,39,20.3525,15.972700000000003,2871.7727309754755
24285,19,-28.7101,-15.8343,-54.5815,-42.0423,14,12.8758,12.539200000000001,1994.9691348619608
