labeled,labeled_idx,site,date,time,n_close_twins_5min,twin_indices,twin_filenames
BC2026_Train_0013_S13_20220217_233000.ogg,13,S13,20220217,233000,0,[],[]
BC2026_Train_0054_S22_20220214_034500.ogg,54,S22,20220214,034500,0,[],[]
BC2026_Train_0058_S15_20250617_060100.ogg,58,S15,20250617,060100,2,"[57, 59]","['BC2026_Train_0057_S15_20250617_060000.ogg', 'BC2026_Train_0059_S15_20250617_060200.ogg']"
BC2026_Train_0002_S08_20250607_030007.ogg,2,S08,20250607,030007,0,[],[]
BC2026_Train_0036_S22_20211224_234500.ogg,36,S22,20211224,234500,0,[],[]
BC2026_Train_0011_S03_20211114_200000.ogg,11,S03,20211114,200000,0,[],[]
BC2026_Train_0062_S19_20241213_193000.ogg,62,S19,20241213,193000,3,"[10578, 10614, 10615]","['BC2026_Train_10578_S19_20241213_193000.ogg', 'BC2026_Train_10614_S19_20241213_193000.ogg', 'BC2026_Train_10615_S19_20241213_193000.ogg']"
BC2026_Train_0052_S22_20220210_210000.ogg,52,S22,20220210,210000,0,[],[]
BC2026_Train_0031_S22_20211214_204500.ogg,31,S22,20211214,204500,0,[],[]
BC2026_Train_0028_S22_20211129_190000.ogg,28,S22,20211129,190000,0,[],[]
BC2026_Train_0006_S09_20250828_000000.ogg,6,S09,20250828,000000,2,"[9, 10]","['BC2026_Train_0010_S09_20250828_000000.ogg', 'BC2026_Train_0009_S09_20250828_000000.ogg']"
BC2026_Train_0042_S22_20220106_210000.ogg,42,S22,20220106,210000,0,[],[]
BC2026_Train_0060_S15_20250617_062700.ogg,60,S15,20250617,062700,3,"[10474, 10475, 10476]","['BC2026_Train_10476_S15_20250617_062400.ogg', 'BC2026_Train_10475_S15_20250617_062300.ogg', 'BC2026_Train_10474_S15_20250617_062200.ogg']"
BC2026_Train_0005_S08_20250607_070007.ogg,5,S08,20250607,070007,2,"[3, 4]","['BC2026_Train_0003_S08_20250607_070007.ogg', 'BC2026_Train_0004_S08_20250607_070007.ogg']"
BC2026_Train_0023_S22_20211121_230000.ogg,23,S22,20211121,230000,0,[],[]
BC2026_Train_0041_S22_20220105_223000.ogg,41,S22,20220105,223000,0,[],[]
