site,date,time,n_files,n_unique_fps,indices
S08,20250607,070007,3,3,"[3, 4, 5]"
S09,20250828,000000,3,3,"[6, 9, 10]"
S19,20250418,210000,2,2,"[61, 10574]"
S19,20241213,193000,4,4,"[62, 10578, 10614, 10615]"
S19,20241214,190000,4,4,"[63, 10586, 10624, 10625]"
S04,20240810,000000,3,3,"[67, 68, 69]"
S04,20240810,080005,9,9,"[70, 71, 72, 73, 74, 75, 76, 77, 78]"
S04,20241201,040008,3,3,"[79, 80, 81]"
S04,20250318,170005,2,2,"[82, 83]"
S05,20241125,030005,5,5,"[84, 85, 86, 87, 88]"
S05,20250227,170004,4,4,"[89, 90, 91, 92]"
S10,20251128,103307,40,40,"[199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238]"
S09,20250816,000000,7,7,"[245, 246, 247, 248, 249, 250, 251]"
S16,20241204,034000,3,3,"[10506, 10507, 10508]"
S16,20241204,042000,3,3,"[10509, 10510, 10511]"
S16,20241217,180000,3,3,"[10512, 10513, 10514]"
S16,20241217,212000,3,3,"[10515, 10516, 10517]"
S16,20241217,214000,3,3,"[10518, 10519, 10520]"
S16,20241222,004000,3,3,"[10521, 10522, 10523]"
S16,20241222,010000,3,3,"[10524, 10525, 10526]"
S16,20241222,222000,3,3,"[10527, 10528, 10529]"
S16,20241231,000000,3,3,"[10530, 10531, 10532]"
S16,20241231,194000,3,3,"[10533, 10534, 10535]"
S16,20250101,010000,3,3,"[10536, 10537, 10538]"
S16,20250101,194000,3,3,"[10539, 10540, 10541]"
S16,20250101,222000,3,3,"[10542, 10543, 10544]"
S16,20250115,040000,3,3,"[10545, 10546, 10547]"
S16,20250116,000000,3,3,"[10548, 10549, 10550]"
S16,20250116,012000,3,3,"[10551, 10552, 10553]"
S17,20240722,000000,2,2,"[10554, 10555]"
S17,20250217,000000,3,3,"[10557, 10558, 10565]"
S17,20250223,000000,2,2,"[10560, 10561]"
S17,20250606,000000,3,3,"[10562, 10563, 10564]"
S19,20241213,180000,3,3,"[10575, 10610, 10611]"
S19,20241213,190000,3,3,"[10577, 10612, 10613]"
S19,20241213,200000,3,3,"[10579, 10616, 10617]"
S19,20241213,203000,3,3,"[10580, 10618, 10619]"
S19,20241213,210000,3,3,"[10581, 10620, 10621]"
S19,20241213,220000,3,3,"[10583, 10622, 10623]"
S19,20241214,200000,3,3,"[10588, 10626, 10627]"
S19,20241214,203000,3,3,"[10589, 10628, 10629]"
