feature,gain
class_idx,153907.7062664032
pred_mauricio,114163.1741323471
prior_combined,110857.83544635773
pred_alexander,57346.433446884155
site,45596.8334646225
pred_perch,42828.15709400177
pred_bruce,39490.49060630798
hour,30717.06887626648
bruce_class_auc,30555.72637462616
pred_baiyuby_flipped,22905.27011489868
pred_snowflake_convnext,13848.622260093689
pred_baiyuby_att,12401.413957595825
pred_long_convnextv2,11906.294610023499
pred_snowflake_efnetv2m,10126.579218864441
prior_combined_log,6381.480514526367
class_taxa,3981.317258834839
year,295.0610046386719
