,alexander_b0,baiyuby_v2s_max,baiyuby_v2s_att,long_convnextv2,mauricio_b0_scratch,snowflake_convnext,snowflake_efnetv2m,pseudo_hour_prior,labeled_hour_prior,n_positives
65380,0.7358023047678219,0.7140268347164899,0.3729567005429074,0.6878282223109808,0.7807437979851772,0.6075459696149351,0.70426707495673,0.8073270314649625,0.8547019926330272,333
517063,0.5824896128635497,0.6467548635797746,0.4474418395356162,0.5553630622928197,0.5937692180773673,0.49350147744828926,0.36657216997405095,0.736841710540131,0.8008894688685896,313
22973,0.593459362002178,0.4905835520091397,0.5378621539120656,0.5601849372534319,0.5417804673414377,0.5244827647762367,0.46050447169710274,0.7517404809082633,0.821930951998429,213
555146,0.7452696012242326,0.7145287604644883,0.2266450625618868,0.7577639751552795,0.7819785759294265,0.6297506526239985,0.7100999189846071,0.7302772526780088,0.7969259159240256,210
23158,0.7942451874366767,0.6322492401215806,0.45987841945288754,0.7661702127659573,0.7963221884498479,0.7456382978723404,0.7617223910840932,0.612274569402229,0.7768338399189463,175
24279,0.7999346391878919,0.7295390020221001,0.46502175289527975,0.7767724013970874,0.8000163402030269,0.7821544557691129,0.7595947629649298,0.7157519557180498,0.8156620846014011,173
24321,0.7094817685902958,0.617283950617284,0.4565952996185555,0.6276403757023913,0.7290513104466593,0.5330175136376687,0.6134387432837045,0.8469710020097617,0.8677453754973135,172
22967,0.6220614228899691,0.5129639858594784,0.474138311975254,0.5644608926204153,0.5611688024745912,0.5715311533362792,0.43453380468404773,0.7370249668581529,0.8120028722934158,155
66971,0.812069161642589,0.738596291661927,0.3357183483107724,0.6721874644522808,0.7945398703219202,0.7191787054942553,0.7675691047662382,0.8319588215220111,0.8725457854624048,149
47158son25,0.905089058524173,0.17746274082151947,0.7694838240639768,0.8313704107597237,0.950381679389313,0.8680661577608142,0.7996910214467466,0.9725190839694656,0.9751363140676117,84
1491113,0.731530494821634,0.3895281933256617,0.5831223628691984,0.6263904871499808,0.6957614115841964,0.3915995397008055,0.5055235903337169,0.7097717683160721,0.8712217107786728,79
chacha1,0.5121889979456746,0.48753709198813056,0.6265236247432093,0.4528874686144716,0.5917826980141521,0.578817621547592,0.5914859621091074,0.9526706231454006,0.9573270942707144,65
whtdov,0.35432516201746966,0.5853996430919508,0.41110171879402646,0.24957734573119186,0.3244810744810745,0.27737860430168126,0.3351530947684793,0.9822132995209918,0.9948929275852353,63
47158son07,0.3426495417269657,0.6642547033285094,0.3592468644476604,0.3447298601061264,0.2383622768933912,0.22750844187168354,0.32534370477568747,1.0,1.0,48
undtin1,0.5966987436514302,0.5998062015503877,0.5421344560278001,0.5866078588612671,0.5846698743651431,0.396685378241112,0.4508152900294039,0.8005045442395081,0.8454123229083133,43
47158son17,0.9949545576049185,0.17274792836140068,0.7743584603047313,0.9681903234429297,0.9993985565356857,0.6680032076984763,0.7296177492649024,0.988188318631382,0.988188318631382,43
compau,0.8047901494106164,0.4947443501764397,0.6055634807417974,0.7779863353104587,0.7149560777836174,0.7379307755837525,0.5966288760417449,0.8440385914858474,0.8917899241684811,38
litnig1,0.6792176792176792,0.5416570416570416,0.5775005775005775,0.710980210980211,0.6152306152306153,0.5441595441595442,0.5701855701855701,0.8051128051128051,0.8910448910448909,37
22961,0.6807333649438913,0.6607396870554765,0.4694562984036668,0.4884226331594753,0.6281017859965228,0.6603445550813972,0.60214161529951,0.5715979137031768,0.8826458036984353,36
47158son13,0.8159870396712501,0.18093093093093093,0.8468073336494389,0.9453137347874191,0.703097834676782,0.760826616089774,0.7325351667456931,0.9715504978662873,0.9715504978662872,36
47158son11,0.7510668563300142,0.17504346451714872,0.6350165955429115,0.881539434171013,0.6384147305199936,0.6458432116326853,0.5920657499604868,0.9658605974395448,0.9829302987197724,36
chvcon1,0.3749594155844156,0.6849025974025974,0.4039772727272727,0.30008116883116887,0.5253246753246753,0.22081980519480518,0.24630681818181815,0.9907670454545454,0.9907670454545455,35
47158son10,0.807107906258048,0.16731049875525797,0.8593012275731823,0.7245257103614045,0.8840673019143274,0.7842304060434373,0.8174092196755086,0.9618207571465361,0.9659412825135205,33
47158son03,0.8966005665722381,0.15112885226199674,0.8513606318138895,0.8975877757747446,0.9048416173062066,0.828998197270152,0.7814404669928748,0.9082539273757404,0.9515194437290754,33
trsowl,0.7104326248786277,0.6208868270579351,0.6832452260222246,0.6565972596828138,0.6897184162261302,0.6928471248246845,0.6785521631243931,0.8247653468551084,0.9005016722408027,26
47158son22,1.0,0.20064102564102565,0.79504662004662,1.0,1.0,0.9062937062937063,0.7851981351981352,0.9832167832167832,0.9832167832167833,24
25092,0.3919580419580419,0.3062937062937063,0.28106060606060607,0.4326340326340326,0.45582750582750586,0.707983682983683,0.5953962703962704,0.916958041958042,0.9169580419580419,24
47158son23,1.0,0.17907925407925407,0.776981351981352,1.0,1.0,0.8932400932400932,0.8819347319347319,0.9832167832167832,0.9832167832167833,24
47158son24,0.46200466200466195,0.07529137529137529,0.756060606060606,0.7140442890442891,0.33117715617715615,0.5386946386946387,0.6209207459207459,0.9916083916083915,0.9916083916083915,24
326272,0.525018217148409,0.200510080155453,0.6715448141850863,0.4958100558659218,0.2794510565946077,0.415836774350255,0.3529876123390819,0.9047546757347583,0.9468362885596308,23
47158son01,0.8124240952149624,0.13225649744959925,0.8756983240223464,0.8532305076512023,0.6638936118532912,0.6747631770706826,0.7149016273985912,0.9544874908914258,0.9603169783823172,23
