feature,n,pearson,spearman
agreement_exp019,3,0.8005984385045469,1.0
site_gap,13,0.36105222249412905,0.36341617810988613
confidence_rate_gt_0_9,13,-0.21755251155055133,-0.09691098082930297
labeled_macro_auc,13,0.035220687236086956,-0.1574803438476173
probability_median,13,-0.17530008761541105,-0.1877650253567745
entropy_mean,13,-0.18197735147249658,-0.21199277056410024
coverage_labeled_rows,13,0.01440256047377661,-0.21218304602782243
n_sites,13,0.014402560473776582,-0.21218304602782243
entropy_p90,13,-0.15239545119102657,-0.28359154252722407
probability_p99,13,0.026703956386085387,-0.3149606876952346
site_mean_auc,13,-0.23171332559202396,-0.42398554112820047
