model_id,source,category,known_lb,coverage,coverage_labeled_rows,coverage_unlabeled_rows,coverage_classes,n_sites,n_hours,labeled_macro_auc,site_mean_auc,site_gap,entropy_mean,entropy_p90,confidence_rate_gt_0_9,probability_median,probability_p99,agreement_exp019,risk_tier
exp019,ours,blend,0.949,labeled,739,0,234,9,13,0.9642921634095929,0.9303680309445903,0.03392413246500259,0.8062757849693298,0.9977318048477173,0.06212483952673398,0.4767676889896393,0.9806137084960938,1.0,ceiling
birdmae,ours,birdmae,0.946,labeled,739,0,234,9,13,0.9655316206746958,0.8798886644316356,0.08564295624306018,0.1515544205904007,0.44930750131607056,0.021084163168060326,0.007140571251511574,0.9818630814552307,0.3006723243480767,safe
perch20_raw,ours,perch,,labeled,739,0,234,9,13,0.7366607565385539,0.7158881240045378,0.020772632534016067,0.5727892518043518,0.9853405356407166,0.18933532262354996,0.6648082733154297,0.9960441589355469,0.7376317349488688,risky
sub_v8_lgb_ens,ours,blend,,labeled,739,0,234,9,13,0.8178086483503457,0.7169917018560154,0.10081694649433037,0.8303125500679016,1.0,0.010322334408937928,0.5,0.9067025184631348,0.26114763875121944,risky
distill,ours,sed,,labeled,739,0,234,9,13,0.8321176008519356,0.7177067997605437,0.1144108010913919,0.7731578350067139,1.0,0.0,0.5,0.5,0.30214132305953456,risky
v73_rag,ours,retrieval,0.941,labeled,739,0,234,9,13,0.7764174891741018,0.6511361065570632,0.12528138261703858,0.22335033118724823,0.28440988063812256,0.0,0.0311569906771183,0.15979057550430298,0.28064743191114944,safe
public__youssefmo942009__small-tweaks-on-lb-score-0-947__perch_arrays,public,public_cache,0.947,labeled,708,0,234,8,13,0.7390192174151201,0.7023814285181742,0.03663778889694591,0.7008442282676697,1.0,0.18916896035540104,0.6667513847351074,0.9960587024688721,,safe
public__yaroslavkholmirzayev__v6-0949-replay__full_oof_meta_features__oof_base,public,public_cache,0.949,labeled,708,0,234,8,13,0.7999212856838273,0.45163571806696445,0.3482855676168628,0.5412889719009399,0.9824442267417908,0.1516671495485055,0.5730866193771362,0.9946498274803162,,ceiling
public__yaroslavkholmirzayev__v6-0949-replay__full_oof_meta_features__oof_prior,public,public_cache,0.949,labeled,708,0,234,8,13,0.6027970235038224,0.24663198583841725,0.3561650376654051,0.03945039585232735,0.015269110910594463,0.002824858757062147,9.999999747378752e-05,0.6301615238189697,,ceiling
public__yaroslavkholmirzayev__v6-0949-replay__full_perch_arrays,public,public_cache,0.949,labeled,708,0,234,8,13,0.739018093921368,0.7023790834664358,0.03663901045493212,0.7007983922958374,1.0,0.18924742865420832,0.6668103933334351,0.9960582852363586,,ceiling
public__mtoshidesu__test-0-948__perch_arrays,public,public_cache,0.948,labeled,708,0,234,8,13,0.7390192174151201,0.7023814285181742,0.03663778889694591,0.7008442282676697,1.0,0.18916896035540104,0.6667513847351074,0.9960587024688721,,ceiling
public__youssefmo942009__edits-birdclef-2026-perch-v2-protossm-0-925__perch_arrays,public,public_cache,0.925,labeled,708,0,234,8,13,0.7390192174151201,0.7023814285181742,0.03663778889694591,0.7008442282676697,1.0,0.18916896035540104,0.6667513847351074,0.9960587024688721,,risky
