model_id,actual_lb,predicted_lb,absolute_error,nearest_model,usable_features
exp019,0.949,0.946,0.0030000000000000027,birdmae,10
birdmae,0.946,0.949,0.0030000000000000027,exp019,10
v73_rag,0.941,0.949,0.008000000000000007,public__yaroslavkholmirzayev__v6-0949-replay__full_oof_meta_features__oof_prior,10
public__youssefmo942009__small-tweaks-on-lb-score-0-947__perch_arrays,0.947,0.948,0.0010000000000000009,public__mtoshidesu__test-0-948__perch_arrays,10
public__yaroslavkholmirzayev__v6-0949-replay__full_oof_meta_features__oof_base,0.949,0.949,0.0,public__itshyao__birdclef-2026-s106-eos5-0949-safealign2__full_oof_meta_features__oof_base,10
public__yaroslavkholmirzayev__v6-0949-replay__full_oof_meta_features__oof_prior,0.949,0.949,0.0,public__itshyao__birdclef-2026-s106-eos5-0949-safealign2__full_oof_meta_features__oof_prior,10
public__yaroslavkholmirzayev__v6-0949-replay__full_perch_arrays,0.949,0.949,0.0,public__itshyao__birdclef-2026-s106-eos5-0949-safealign2__full_perch_arrays,10
public__mtoshidesu__test-0-948__perch_arrays,0.948,0.947,0.0010000000000000009,public__youssefmo942009__small-tweaks-on-lb-score-0-947__perch_arrays,10
public__itshyao__birdclef-2026-s106-eos5-0949-safealign2__full_oof_meta_features__oof_base,0.949,0.949,0.0,public__yaroslavkholmirzayev__v6-0949-replay__full_oof_meta_features__oof_base,10
public__itshyao__birdclef-2026-s106-eos5-0949-safealign2__full_oof_meta_features__oof_prior,0.949,0.949,0.0,public__yaroslavkholmirzayev__v6-0949-replay__full_oof_meta_features__oof_prior,10
public__itshyao__birdclef-2026-s106-eos5-0949-safealign2__full_perch_arrays,0.949,0.949,0.0,public__yaroslavkholmirzayev__v6-0949-replay__full_perch_arrays,10
public__youssefmo942009__edits-birdclef-2026-perch-v2-protossm-0-925__perch_arrays,0.925,0.947,0.02199999999999991,public__youssefmo942009__small-tweaks-on-lb-score-0-947__perch_arrays,10
public__mtoshidesu__0-937-birdclef-2026-true-end-to-end-pipeline__perch_arrays.local,0.937,0.949,0.0119999999999999,public__yaroslavkholmirzayev__v6-0949-replay__full_perch_arrays,10
