,perch_v2_raw,bruce_clip_ridge,alexander_b0,baiyuby_v2s_max_FLIPPED,baiyuby_v2s_att,long_convnextv2,mauricio_b0_scratch,snowflake_convnext,snowflake_efnetv2m,n_positives
116570,,0.9196863742318288,0.9527442254714982,0.816486543759271,0.7524899343081162,0.8418097054460689,0.9312354312354313,0.9236066963339691,0.8508158508158509,13
1491113,,0.7489163789796701,0.731530494821634,0.6104718066743383,0.5831223628691984,0.6263904871499808,0.6957614115841964,0.3915995397008055,0.5055235903337169,79
22961,0.7304409672830726,0.7332464042990359,0.6807333649438913,0.33926031294452347,0.4694562984036668,0.4884226331594753,0.6281017859965228,0.6603445550813972,0.60214161529951,36
22967,0.8506076005302695,0.8509832081307999,0.6220614228899691,0.4870360141405214,0.474138311975254,0.5644608926204153,0.5611688024745912,0.5715311533362792,0.43453380468404773,155
22973,0.9019172066620254,0.9071029472143379,0.593459362002178,0.5094164479908602,0.5378621539120656,0.5601849372534319,0.5417804673414377,0.5244827647762367,0.46050447169710274,213
23158,0.9282573454913879,0.9224924012158054,0.7942451874366767,0.36775075987841954,0.45987841945288754,0.7661702127659573,0.7963221884498479,0.7456382978723404,0.7617223910840932,175
24279,0.9583120570273085,0.9589860904021732,0.7999346391878919,0.2704609979778999,0.46502175289527975,0.7767724013970874,0.8000163402030269,0.7821544557691129,0.7595947629649298,173
24321,0.6334543291907633,0.6877691645133506,0.7094817685902958,0.382716049382716,0.4565952996185555,0.6276403757023913,0.7290513104466593,0.5330175136376687,0.6134387432837045,172
25073,,0.7292526364053187,0.36737734983952314,0.8736817973406694,0.6640302613480055,0.6876432828977534,0.2088491517652453,0.7223750573131591,0.5441311325080238,12
25092,0.5641608391608391,0.5544871794871795,0.3919580419580419,0.6937062937062937,0.28106060606060607,0.4326340326340326,0.45582750582750586,0.707983682983683,0.5953962703962704,24
326272,0.8003400534369687,0.7920208889968423,0.525018217148409,0.799489919844547,0.6715448141850863,0.4958100558659218,0.2794510565946077,0.415836774350255,0.3529876123390819,23
43435,1.0,1.0,0.6339981659789088,0.7842732691425951,0.3177441540577717,0.43592388812471344,0.8698991288399817,0.5921595598349381,0.7165291150848234,12
47144,0.9237569060773481,0.9301104972375691,0.7238489871086555,0.5808471454880295,0.6531307550644567,0.5662062615101289,0.5266114180478821,0.3417127071823204,0.4485267034990792,15
47158son01,,0.866863007043964,0.8124240952149624,0.8677435025504008,0.8756983240223464,0.8532305076512023,0.6638936118532912,0.6747631770706826,0.7149016273985912,23
47158son02,,0.7829820452771273,0.6557377049180328,0.8536299765807963,0.6715456674473068,0.37626854020296646,0.7174082747853239,0.7640515222482437,0.6920374707259953,7
47158son03,,0.9344578933814062,0.8966005665722381,0.8488711477380032,0.8513606318138895,0.8975877757747446,0.9048416173062066,0.828998197270152,0.7814404669928748,33
