primary_label,filename,duration_s,samplerate,channels,size_bytes,class_name,source
1161364,train_audio/1161364/iNat842139.ogg,12.09428125,32000,1,121257,Insecta,train_audio
1161364,train_audio/1161364/iNat547199.ogg,15.782875,32000,1,159412,Insecta,train_audio
1161364,train_audio/1161364/iNat869958.ogg,7.744,32000,1,64723,Insecta,train_audio
1161364,train_audio/1161364/iNat1216197.ogg,18.024,32000,1,169832,Insecta,train_audio
1161364,train_audio/1161364/iNat1114648.ogg,28.392,32000,1,254106,Insecta,train_audio
1161364,train_audio/1161364/iNat810195.ogg,80.016,32000,1,737744,Insecta,train_audio
1161364,train_audio/1161364/iNat556514.ogg,71.064,32000,1,692070,Insecta,train_audio
116570,train_audio/116570/iNat1460166.ogg,7.86284375,32000,1,78557,Reptilia,train_audio
1176823,train_audio/1176823/iNat730319.ogg,6.791,32000,1,62740,Amphibia,train_audio
1176823,train_audio/1176823/iNat829107.ogg,28.186125,32000,1,258521,Amphibia,train_audio
1176823,train_audio/1176823/iNat1708543.ogg,12.1469375,32000,1,114934,Amphibia,train_audio
1176823,train_audio/1176823/iNat730318.ogg,24.189,32000,1,215707,Amphibia,train_audio
1176823,train_audio/1176823/iNat1269019.ogg,25.05434375,32000,1,262475,Amphibia,train_audio
1176823,train_audio/1176823/iNat389418.ogg,12.32978125,32000,1,106920,Amphibia,train_audio
1176823,train_audio/1176823/iNat819936.ogg,8.9939375,32000,1,80880,Amphibia,train_audio
1595929,train_audio/1595929/XC999239.ogg,25.8,32000,1,236170,Amphibia,train_audio
1595929,train_audio/1595929/iNat1242532.ogg,35.06215625,32000,1,288561,Amphibia,train_audio
1595929,train_audio/1595929/iNat1242529.ogg,26.2385625,32000,1,200943,Amphibia,train_audio
1595929,train_audio/1595929/iNat1679888.ogg,15.69671875,32000,1,163018,Amphibia,train_audio
1595929,train_audio/1595929/iNat1308166.ogg,21.87028125,32000,1,267653,Amphibia,train_audio
209233,train_audio/209233/iNat1545859.ogg,0.144,32000,1,5937,Mammalia,train_audio
209233,train_audio/209233/iNat864998.ogg,17.18278125,32000,1,122987,Mammalia,train_audio
22930,train_audio/22930/iNat1248662.ogg,30.95221875,32000,1,227028,Amphibia,train_audio
22930,train_audio/22930/iNat897105.ogg,20.31746875,32000,1,156090,Amphibia,train_audio
22930,train_audio/22930/iNat330099.ogg,25.425875,32000,1,191901,Amphibia,train_audio
22930,train_audio/22930/iNat910967.ogg,42.288,32000,1,379728,Amphibia,train_audio
22930,train_audio/22930/XC940773.ogg,25.83746875,32000,1,240269,Amphibia,train_audio
22930,train_audio/22930/iNat317238.ogg,11.4706875,32000,1,85893,Amphibia,train_audio
22956,train_audio/22956/iNat1723893.ogg,11.81896875,32000,1,109989,Amphibia,train_audio
22956,train_audio/22956/iNat1705476.ogg,42.16746875,32000,1,278248,Amphibia,train_audio
22956,train_audio/22956/iNat854298.ogg,65.3845,32000,1,573513,Amphibia,train_audio
22956,train_audio/22956/iNat1693794.ogg,49.162,32000,1,407469,Amphibia,train_audio
22956,train_audio/22956/iNat1245289.ogg,20.6530625,32000,1,179219,Amphibia,train_audio
22956,train_audio/22956/iNat1282547.ogg,21.1591875,32000,1,180296,Amphibia,train_audio
22956,train_audio/22956/iNat1693371.ogg,0.576,32000,1,10801,Amphibia,train_audio
22961,train_audio/22961/XC1062603.ogg,56.60734375,32000,1,604106,Amphibia,train_audio
22961,train_audio/22961/iNat1657948.ogg,6.74125,32000,1,56285,Amphibia,train_audio
22961,train_audio/22961/iNat512578.ogg,15.07,32000,1,138881,Amphibia,train_audio
22961,train_audio/22961/iNat846512.ogg,10.48,32000,1,92764,Amphibia,train_audio
22961,train_audio/22961/iNat839121.ogg,10.54475,32000,1,101108,Amphibia,train_audio
22961,train_audio/22961/iNat1662496.ogg,56.5638125,32000,1,510332,Amphibia,train_audio
22967,train_audio/22967/iNat321313.ogg,19.326125,32000,1,194364,Amphibia,train_audio
22967,train_audio/22967/iNat1698107.ogg,34.94825,32000,1,320455,Amphibia,train_audio
22967,train_audio/22967/iNat1698104.ogg,5.8428125,32000,1,56842,Amphibia,train_audio
22967,train_audio/22967/iNat911059.ogg,22.176,32000,1,188502,Amphibia,train_audio
22967,train_audio/22967/iNat56387.ogg,12.19046875,32000,1,110414,Amphibia,train_audio
22967,train_audio/22967/iNat1698105.ogg,23.33290625,32000,1,211301,Amphibia,train_audio
22967,train_audio/22967/iNat1448422.ogg,18.03065625,32000,1,169832,Amphibia,train_audio
22973,train_audio/22973/iNat1299089.ogg,7.044,32000,1,62304,Amphibia,train_audio
22973,train_audio/22973/iNat348441.ogg,19.20290625,32000,1,147308,Amphibia,train_audio
22973,train_audio/22973/iNat781822.ogg,0.048,32000,1,4795,Amphibia,train_audio
22973,train_audio/22973/iNat154035.ogg,27.10596875,32000,1,256721,Amphibia,train_audio
22973,train_audio/22973/iNat1257590.ogg,38.504,32000,1,321132,Amphibia,train_audio
22973,train_audio/22973/iNat726873.ogg,17.41425,32000,1,130239,Amphibia,train_audio
22973,train_audio/22973/iNat630711.ogg,131.16953125,32000,1,1247505,Amphibia,train_audio
22983,train_audio/22983/iNat585817.ogg,10.62384375,32000,1,80615,Amphibia,train_audio
22983,train_audio/22983/iNat1243038.ogg,15.2358125,32000,1,140056,Amphibia,train_audio
22983,train_audio/22983/iNat551114.ogg,17.158875,32000,1,131790,Amphibia,train_audio
22983,train_audio/22983/iNat1212830.ogg,18.44825,32000,1,169674,Amphibia,train_audio
22983,train_audio/22983/iNat830655.ogg,12.92190625,32000,1,131122,Amphibia,train_audio
22983,train_audio/22983/iNat551115.ogg,17.158875,32000,1,131790,Amphibia,train_audio
22983,train_audio/22983/iNat347849.ogg,22.337625,32000,1,171124,Amphibia,train_audio
22985,train_audio/22985/iNat1421747.ogg,15.2316875,32000,1,121287,Amphibia,train_audio
22985,train_audio/22985/iNat989398.ogg,7.22140625,32000,1,59623,Amphibia,train_audio
22985,train_audio/22985/iNat992409.ogg,6.78025,32000,1,52733,Amphibia,train_audio
22985,train_audio/22985/iNat51963.ogg,44.721625,32000,1,336897,Amphibia,train_audio
22985,train_audio/22985/iNat1560301.ogg,16.3004375,32000,1,121773,Amphibia,train_audio
22985,train_audio/22985/XC929102.ogg,33.123,32000,1,304464,Amphibia,train_audio
23150,train_audio/23150/iNat1243039.ogg,19.94840625,32000,1,199284,Amphibia,train_audio
23154,train_audio/23154/iNat1475114.ogg,35.376,32000,1,316908,Amphibia,train_audio
23154,train_audio/23154/iNat569351.ogg,43.19675,32000,1,387417,Amphibia,train_audio
23154,train_audio/23154/iNat567443.ogg,25.944,32000,1,205749,Amphibia,train_audio
23154,train_audio/23154/iNat1301738.ogg,62.30203125,32000,1,581184,Amphibia,train_audio
23154,train_audio/23154/iNat1553517.ogg,64.94040625,32000,1,583636,Amphibia,train_audio
23158,train_audio/23158/XC900620.ogg,15.65253125,32000,1,135208,Amphibia,train_audio
23158,train_audio/23158/iNat26878.ogg,21.10259375,32000,1,188753,Amphibia,train_audio
23158,train_audio/23158/iNat43914.ogg,95.688,32000,1,875634,Amphibia,train_audio
23158,train_audio/23158/iNat1303872.ogg,53.1505,32000,1,431936,Amphibia,train_audio
23158,train_audio/23158/iNat1324914.ogg,106.2585,32000,1,982419,Amphibia,train_audio
23158,train_audio/23158/iNat847906.ogg,15.533375,32000,1,86051,Amphibia,train_audio
23158,train_audio/23158/iNat1316143.ogg,33.336,32000,1,299738,Amphibia,train_audio
23176,train_audio/23176/iNat1099971.ogg,68.224,32000,1,387208,Amphibia,train_audio
23176,train_audio/23176/iNat1293885.ogg,39.1124375,32000,1,405787,Amphibia,train_audio
23176,train_audio/23176/iNat855633.ogg,10.0538125,32000,1,84800,Amphibia,train_audio
23176,train_audio/23176/XC929082.ogg,10.08325,32000,1,100423,Amphibia,train_audio
23724,train_audio/23724/iNat249321.ogg,7.848,32000,1,73652,Amphibia,train_audio
24279,train_audio/24279/iNat903481.ogg,14.424,32000,1,134618,Amphibia,train_audio
24279,train_audio/24279/iNat1435402.ogg,0.144,32000,1,5697,Amphibia,train_audio
24279,train_audio/24279/iNat1663766.ogg,3.5199375,32000,1,29768,Amphibia,train_audio
24279,train_audio/24279/iNat1315011.ogg,4.17940625,32000,1,34669,Amphibia,train_audio
24279,train_audio/24279/iNat1346601.ogg,13.62903125,32000,1,125139,Amphibia,train_audio
24279,train_audio/24279/iNat1243256.ogg,26.285,32000,1,205856,Amphibia,train_audio
24279,train_audio/24279/iNat164735.ogg,17.52815625,32000,1,172155,Amphibia,train_audio
24285,train_audio/24285/iNat1662493.ogg,17.27565625,32000,1,155348,Amphibia,train_audio
24285,train_audio/24285/iNat1208638.ogg,151.8580625,32000,1,1443762,Amphibia,train_audio
24285,train_audio/24285/iNat586169.ogg,51.316125,32000,1,408503,Amphibia,train_audio
24285,train_audio/24285/iNat27560.ogg,30.171,32000,1,291600,Amphibia,train_audio
24285,train_audio/24285/iNat347850.ogg,32.97234375,32000,1,256243,Amphibia,train_audio
24285,train_audio/24285/iNat1277043.ogg,10.19084375,32000,1,79335,Amphibia,train_audio
24285,train_audio/24285/XC1063445.ogg,10.3024375,32000,1,106239,Amphibia,train_audio
24287,train_audio/24287/iNat328766.ogg,14.54340625,32000,1,135109,Amphibia,train_audio
24287,train_audio/24287/iNat1044844.ogg,8.41665625,32000,1,78928,Amphibia,train_audio
24287,train_audio/24287/iNat1243016.ogg,17.45628125,32000,1,165074,Amphibia,train_audio
24287,train_audio/24287/XC972398.ogg,25.01153125,32000,1,239600,Amphibia,train_audio
24287,train_audio/24287/iNat574406.ogg,11.472,32000,1,104957,Amphibia,train_audio
24287,train_audio/24287/XC972399.ogg,35.9793125,32000,1,357020,Amphibia,train_audio
24287,train_audio/24287/XC929112.ogg,15.281625,32000,1,155304,Amphibia,train_audio
24321,train_audio/24321/iNat251887.ogg,15.93584375,32000,1,145815,Amphibia,train_audio
24321,train_audio/24321/iNat1657916.ogg,6.52790625,32000,1,61022,Amphibia,train_audio
244024,train_audio/244024/iNat1117205.ogg,12.0729375,32000,1,123431,Insecta,train_audio
244024,train_audio/244024/iNat836446.ogg,58.95546875,32000,1,422347,Insecta,train_audio
244024,train_audio/244024/iNat1563788.ogg,9.4291875,32000,1,75409,Insecta,train_audio
244024,train_audio/244024/iNat77266.ogg,14.62859375,32000,1,112117,Insecta,train_audio
244024,train_audio/244024/iNat1339925.ogg,24.03165625,32000,1,181404,Insecta,train_audio
244024,train_audio/244024/iNat318740.ogg,30.0146875,32000,1,284830,Insecta,train_audio
