primary_label,n_clips,class_name
rubthr1,499,Aves
banana,498,Aves
fepowl,497,Aves
soulap1,497,Aves
houspa,496,Aves
coffal1,495,Aves
osprey,495,Aves
socfly1,494,Aves
compau,493,Aves
yeofly1,493,Aves
bncfly,492,Aves
bobfly1,492,Aves
bbwduc,491,Aves
trsowl,491,Aves
whtdov,491,Aves
sobtyr1,490,Aves
roahaw,489,Aves
strcuc1,485,Aves
trokin,483,Aves
grekis,482,Aves
saffin,479,Aves
greant1,475,Aves
greyel,475,Aves
brnowl,474,Aves
barant1,454,Aves
sofspi1,437,Aves
gycwor1,436,Aves
squcuc1,432,Aves
oliwoo1,424,Aves
limpki,405,Aves
compot1,368,Aves
grasal3,362,Aves
linwoo1,356,Aves
eulfly1,355,Aves
swtman1,355,Aves
pirfly1,345,Aves
baffal1,337,Aves
pabspi1,316,Aves
rufhor2,315,Aves
smbani,305,Aves
yebela1,297,Aves
varant1,291,Aves
saytan1,278,Aves
chbmoc1,270,Aves
crbthr1,269,Aves
rutjac1,265,Aves
masgna1,263,Aves
rufnig1,256,Aves
fusfly1,248,Aves
paltan1,247,Aves
rumfly1,247,Aves
chobla1,244,Aves
whbwar2,243,Aves
yecpar,243,Aves
pvttyr1,241,Aves
spispi1,239,Aves
burowl,238,Aves
rinkin1,235,Aves
batbel1,229,Aves
sibtan2,226,Aves
greela,224,Aves
shcfly1,223,Aves
stbwoo2,219,Aves
thlwre1,213,Aves
redjun,208,Aves
bufpar,206,Aves
spbant3,205,Aves
flawar1,204,Aves
undtin1,204,Aves
grfdov1,195,Aves
orwpar,195,Aves
bkcdon,189,Aves
epaori4,188,Aves
y00678,188,Aves
plcjay1,186,Aves
strowl1,184,Aves
sobcac1,183,Aves
rebscy1,182,Aves
244024,181,Insecta
bunibi1,174,Aves
blheag1,169,Aves
bucmot4,169,Aves
baymac,167,Aves
scadov1,164,Aves
strher2,164,Aves
shtnig1,163,Aves
picpig2,162,Aves
rufgna3,159,Aves
souant1,159,Aves
gretho2,153,Aves
whiwoo1,150,Aves
phecuc1,149,Aves
toctou1,148,Aves
schpar1,145,Aves
larela1,144,Aves
tattin1,138,Aves
wesfie1,136,Aves
relser1,135,Aves
watjac1,134,Aves
wfwduc1,133,Aves
astcra1,128,Aves
greani1,127,Aves
recfin1,126,Aves
bucpar,124,Aves
brcmar1,123,Aves
camfli1,122,Aves
lesela1,121,Aves
chvcon1,120,Aves
plasla1,120,Aves
gilhum1,117,Aves
giwrai1,111,Aves
bkhpar,109,Aves
glteme1,109,Aves
litnig1,109,Aves
ashgre1,106,Aves
mabpar,105,Aves
whnjay1,105,Aves
litcuc2,104,Aves
scther1,103,Aves
souscr1,103,Aves
horscr1,102,Aves
ragmac1,102,Aves
shshaw,101,Aves
rivwar1,100,Aves
chacha1,99,Aves
ruftho1,98,Aves
ruftof1,98,Aves
swthum1,98,Aves
grhtan1,94,Aves
smbtin1,94,Aves
ruther1,86,Aves
fotfly,83,Aves
whwpic1,83,Aves
yehcar1,82,Aves
crebec1,81,Aves
orbtro3,81,Aves
fabwre1,79,Aves
purjay1,77,Aves
whbant2,75,Aves
magtan2,74,Aves
grepot1,72,Aves
blttit1,71,Aves
palhor3,69,Aves
sabspa1,69,Aves
pluibi1,68,Aves
ficman1,66,Aves
hyamac1,65,Aves
22973,63,Amphibia
magant1,63,Aves
whlspi1,59,Aves
blchaw1,58,Aves
rufcas2,58,Aves
bcwfin2,56,Aves
bafcur1,51,Aves
24279,46,Amphibia
65377,46,Amphibia
yecmac,46,Aves
47144,43,Mammalia
cibspi1,41,Aves
platyr1,36,Aves
22956,32,Amphibia
lesgrf1,30,Aves
326272,28,Amphibia
rufcac2,28,Aves
yebcar,27,Aves
25092,26,Amphibia
23158,25,Amphibia
65380,23,Amphibia
dwatin1,23,Aves
41970,21,Mammalia
24285,19,Amphibia
555146,18,Amphibia
nacnig1,18,Aves
ocecra1,15,Aves
43435,14,Mammalia
67107,14,Amphibia
1176823,12,Amphibia
1161364,11,Insecta
24287,11,Amphibia
22983,10,Amphibia
74113,10,Mammalia
555145,9,Amphibia
22967,8,Amphibia
760266,7,Insecta
22930,6,Amphibia
22961,6,Amphibia
22985,6,Amphibia
67252,6,Amphibia
1595929,5,Amphibia
23154,5,Amphibia
66971,5,Amphibia
738183,5,Mammalia
23176,4,Amphibia
25214,3,Amphibia
476521,3,Amphibia
555123,3,Amphibia
64898,3,Amphibia
74580,3,Mammalia
sptnig1,3,Aves
209233,2,Mammalia
24321,2,Amphibia
70711,2,Amphibia
116570,1,Reptilia
23150,1,Amphibia
23724,1,Amphibia
516975,1,Mammalia
