,116570,1491113,22961,22967,22973,23158,24279,24321,25073,25092,326272,43435,47144,47158son01,47158son02,47158son03,47158son04,47158son05,47158son06,47158son07,47158son08,47158son09,47158son10,47158son11,47158son12,47158son13,47158son14,47158son15,47158son16,47158son17,47158son18,47158son19,47158son20,47158son21,47158son22,47158son23,47158son24,47158son25,516975,517063,555146,65377,65380,66971,67107,67252,74113,bafcur1,bufpar,bunibi1,chacha1,chvcon1,compau,compot1,fusfly1,grekis,hyamac1,limpki,litnig1,magant1,nacnig1,orwpar,plcjay1,purjay1,redjun,rufhor2,ruther1,rutjac1,sibtan2,strher2,thlwre1,trsowl,undtin1,wfwduc1,whtdov
116570,13,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,1,1,2,0,1,0,4,1,0,3,1,2,2,8,4,1,1,3,3,3,0,9,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1491113,0,79,0,52,48,14,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,19,6,0,2,0,0,12,0,0,0,13,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,5,0,5
22961,0,0,36,0,0,30,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22967,0,52,0,155,126,18,20,7,0,0,0,0,11,11,0,9,1,0,0,0,0,6,0,12,5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,97,17,0,45,11,0,2,2,0,0,0,3,0,25,2,0,0,0,0,20,0,11,0,0,0,12,0,0,0,0,2,0,18,13,0,0
22973,0,48,0,126,213,21,24,22,12,0,12,0,7,7,0,5,5,2,0,0,0,5,0,20,1,12,0,0,0,0,0,0,0,0,0,0,20,0,0,138,50,0,96,17,9,2,2,0,0,2,3,0,24,0,0,0,0,0,20,0,11,0,0,0,10,0,0,0,0,2,0,21,12,0,0
23158,0,14,30,18,21,175,113,111,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,89,4,150,73,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
24279,0,5,12,20,24,113,173,93,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,119,0,151,85,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,0
24321,0,0,12,7,22,111,93,172,5,18,5,0,0,0,0,0,3,1,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,69,109,0,158,97,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25073,0,0,0,0,12,0,0,5,12,0,12,0,0,0,0,0,4,2,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25092,0,0,0,0,0,24,12,18,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326272,0,0,0,0,12,0,0,5,12,0,23,0,0,0,0,0,4,2,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43435,1,0,0,0,0,0,0,0,0,0,0,12,0,0,7,0,0,0,12,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47144,0,3,0,11,7,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,1,0,0,0,0,0,9,3,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0
47158son01,1,0,0,11,7,0,0,0,0,0,0,0,0,23,0,9,0,0,0,0,0,5,0,11,5,12,0,0,0,0,0,0,0,11,12,12,11,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47158son02,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47158son03,5,0,0,9,5,0,0,0,0,0,0,0,0,9,0,33,0,0,0,0,0,5,12,9,5,0,0,0,0,9,12,1,0,0,0,0,9,12,0,5,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10
47158son04,1,0,0,1,5,0,0,3,4,0,4,0,0,0,0,0,17,1,6,0,0,1,12,5,0,4,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47158son05,1,0,0,0,2,0,0,1,2,0,2,0,0,0,0,0,1,3,0,0,0,0,1,2,0,3,0,0,0,1,0,0,0,1,1,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47158son06,2,0,0,0,0,0,0,0,0,0,0,12,0,0,7,0,6,0,18,0,0,0,7,0,0,0,12,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47158son07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,32,35,0,0,3,0,0,3,0,5,0,13,0,5,0,0,1,1,0,0,0,0,12,0,48
47158son08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0,12,0,0,0,0,0,12,0,4,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,5
47158son09,0,0,0,6,5,0,0,0,0,0,0,0,0,5,0,5,1,0,0,0,0,6,0,6,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47158son10,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,12,1,7,0,0,0,33,0,0,8,1,0,0,8,0,0,0,8,8,8,0,33,0,0,0,0,0,0,0,0,0,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,10
47158son11,1,0,0,12,20,0,0,5,12,0,12,0,0,11,0,9,5,2,0,0,12,6,0,36,5,12,0,0,0,12,0,4,12,0,0,0,24,12,0,7,0,0,0,0,9,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47158son12,0,0,0,5,1,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47158son13,3,0,0,0,12,0,0,5,12,0,12,0,0,12,0,0,4,3,0,0,0,0,8,12,0,36,0,0,0,12,0,0,0,22,24,24,12,24,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47158son14,1,0,0,0,0,0,0,0,0,0,0,12,0,0,7,0,0,0,12,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47158son15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,10,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47158son16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,10,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47158son17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,12,0,8,12,0,12,0,10,10,43,9,5,12,11,12,12,0,34,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47158son18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47158son19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,5,1,5,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47158son20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,12,0,4,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47158son21,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,8,0,0,22,0,0,0,11,0,0,0,22,22,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47158son22,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,8,0,0,24,0,0,0,12,0,0,0,22,24,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47158son23,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,8,0,0,24,0,0,0,12,0,0,0,22,24,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47158son24,0,0,0,12,20,0,0,5,12,0,12,0,0,11,0,9,5,2,0,0,0,6,0,24,5,12,0,0,0,0,0,0,0,0,0,0,24,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47158son25,9,0,0,0,0,0,0,0,0,0,0,12,0,12,7,12,12,1,18,0,12,0,33,12,0,24,12,12,12,34,0,4,12,22,24,24,0,84,0,0,0,0,0,0,0,0,0,9,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,10
516975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
517063,0,34,24,97,138,95,105,69,0,10,1,0,3,7,0,5,0,0,0,0,0,3,0,7,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,313,117,2,188,62,0,2,1,0,0,0,2,0,6,1,0,0,0,0,17,0,3,0,0,0,12,0,0,0,0,0,0,21,16,0,0
555146,0,1,12,17,50,89,119,109,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,210,0,191,108,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,1,0,2,2,0,0
65377,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65380,0,19,36,45,96,150,151,158,0,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,191,9,333,141,0,2,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,16,10,0,0
66971,0,6,0,11,17,73,85,97,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,108,0,141,149,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
67107,0,0,0,0,9,0,0,4,9,0,9,0,0,0,0,0,3,2,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67252,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
74113,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bafcur1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bufpar,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,14,0,2,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7
bunibi1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chacha1,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,16,0,0,0,32,12,0,11,10,0,0,0,2,2,16,5,5,10,0,0,0,0,23,0,2,0,0,0,0,0,0,0,0,2,0,65,21,0,0,3,0,0,0,2,4,0,12,0,4,0,4,0,0,0,0,0,2,2,0,41
chvcon1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,35,0,0,0,0,0,3,0,3,0,3,0,5,0,0,1,0,0,0,0,0,10,0,35
compau,0,13,0,25,24,0,2,0,1,0,1,0,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,4,0,10,0,1,0,1,0,0,0,0,0,38,2,0,0,0,0,13,0,8,0,0,0,0,0,0,0,0,1,0,1,10,0,0
compot1,0,1,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
fusfly1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3
grekis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hyamac1,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
limpki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3
litnig1,0,0,0,20,20,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,2,0,0,0,2,0,13,0,0,0,0,0,37,0,11,0,0,0,0,0,0,0,0,2,0,3,8,0,0
magant1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5
