species_a,species_b,class_a,class_b,co_segments,min_count,jaccard
555146,65380,Amphibia,Amphibia,191,210,0.5426136363636364
517063,65380,Amphibia,Amphibia,188,313,0.4104803493449782
24321,65380,Amphibia,Amphibia,158,172,0.4553314121037464
24279,65380,Amphibia,Amphibia,151,173,0.4253521126760563
23158,65380,Amphibia,Amphibia,150,175,0.41899441340782123
65380,66971,Amphibia,Amphibia,141,149,0.41348973607038125
22973,517063,Amphibia,Amphibia,138,213,0.3556701030927835
22967,22973,Amphibia,Amphibia,126,155,0.5206611570247934
24279,555146,Amphibia,Amphibia,119,173,0.45075757575757575
517063,555146,Amphibia,Amphibia,117,210,0.2881773399014778
23158,24279,Amphibia,Amphibia,113,173,0.4808510638297872
23158,24321,Amphibia,Amphibia,111,172,0.4703389830508475
24321,555146,Amphibia,Amphibia,109,172,0.3992673992673993
555146,66971,Amphibia,Amphibia,108,149,0.4302788844621514
24279,517063,Amphibia,Amphibia,105,173,0.2755905511811024
24321,66971,Amphibia,Amphibia,97,149,0.4330357142857143
22967,517063,Amphibia,Amphibia,97,155,0.261455525606469
22973,65380,Amphibia,Amphibia,96,213,0.21333333333333335
23158,517063,Amphibia,Amphibia,95,175,0.24173027989821882
24279,24321,Amphibia,Amphibia,93,172,0.36904761904761907
23158,555146,Amphibia,Amphibia,89,175,0.30067567567567566
24279,66971,Amphibia,Amphibia,85,149,0.35864978902953587
23158,66971,Amphibia,Amphibia,73,149,0.2908366533864542
24321,517063,Amphibia,Amphibia,69,172,0.1658653846153846
517063,66971,Amphibia,Amphibia,62,149,0.155
1491113,22967,Amphibia,Amphibia,52,79,0.2857142857142857
22973,555146,Amphibia,Amphibia,50,210,0.13404825737265416
47158son07,whtdov,Insecta,Aves,48,48,0.7619047619047619
1491113,22973,Amphibia,Amphibia,48,79,0.19672131147540983
22967,65380,Amphibia,Amphibia,45,155,0.10158013544018059
chacha1,whtdov,Aves,Aves,41,63,0.47126436781609193
22961,65380,Amphibia,Amphibia,36,36,0.10810810810810811
chvcon1,whtdov,Aves,Aves,35,35,0.5555555555555556
47158son07,chvcon1,Insecta,Aves,35,35,0.7291666666666666
47158son17,47158son25,Insecta,Insecta,34,43,0.3655913978494624
1491113,517063,Amphibia,Amphibia,34,79,0.09497206703910614
47158son10,47158son25,Insecta,Insecta,33,33,0.39285714285714285
47158son07,chacha1,Insecta,Aves,32,48,0.3950617283950617
22961,23158,Amphibia,Amphibia,30,36,0.16574585635359115
22967,compau,Amphibia,Aves,25,38,0.1488095238095238
