primary_label,class_name,n_clips,lat_med,lon_med,lat_range,lon_range,dist_pantanal_km,n_in_pantanal_box,frac_in_pantanal
1161364,Insecta,11,-22.0843,-46.87,5.125500000000002,7.105450000000005,1082.193347255682,0,0.0
1176823,Amphibia,12,-33.48575,-57.193650000000005,6.977439999999994,11.772625000000005,1605.7860226211174,0,0.0
1595929,Amphibia,5,-30.2084,-57.6215,1.3490199999999994,0.36409999999999343,1243.864502679892,0,0.0
209233,Mammalia,2,40.01975,-94.63925,16.60959,23.55417,7651.749416812141,0,0.0
22930,Amphibia,6,-17.4666,-52.99575,6.052524999999999,11.4542,433.753648196757,2,0.3333333333333333
22956,Amphibia,32,-31.935499999999998,-57.6013,22.506179999999997,17.911275000000003,1435.3295848890236,0,0.0
22961,Amphibia,6,-23.547449999999998,-52.0339,7.643550000000001,8.883899999999997,699.0111548025864,1,0.16666666666666666
22967,Amphibia,8,-19.8234,-63.0674,14.048414999999999,13.233584999999998,667.944444399805,0,0.0
22973,Amphibia,63,-15.8263,-54.3257,38.64624,31.587289999999996,441.1477364454209,0,0.0
22983,Amphibia,10,-20.19685,-47.61725,7.100095,3.4692000000000007,964.8624360269396,0,0.0
22985,Amphibia,6,4.60185,-52.354600000000005,11.167850000000001,2.9341499999999954,2673.630826613146,0,0.0
23154,Amphibia,5,-6.4198,-35.2911,4.68782,4.909039999999997,2713.072158180648,0,0.0
23158,Amphibia,25,-27.4345,-60.634,16.69496,7.3038799999999995,1013.0341191112685,1,0.04
23176,Amphibia,4,-12.54945,-38.04315,6.15598,11.431074999999993,2126.1587717328985,0,0.0
24279,Amphibia,46,-31.63915,-58.2829,7.238999999999997,11.346150000000002,1408.2430221177733,0,0.0
24285,Amphibia,19,-25.1641,-48.7205,7.9457799999999885,6.890889999999992,1070.2032970804642,0,0.0
24287,Amphibia,11,-16.7993,-47.5496,24.895899999999997,13.692399999999992,1004.8640334721941,0,0.0
24321,Amphibia,2,-21.33375,-57.06665,7.160130000000002,0.5386500000000041,256.0821595857435,1,0.5
244024,Insecta,181,14.0801,-87.1733,53.845200000000006,63.515899999999995,4966.870033558565,0,0.0
25092,Amphibia,26,-31.7086,-55.7137,10.680124999999997,13.109050000000003,1411.390842251761,0,0.0
25214,Amphibia,3,-19.034,-49.7688,0.6271200000000015,4.290660000000003,733.7498217867885,0,0.0
326272,Amphibia,28,-31.5165,-60.8985,9.860689999999998,14.230914999999996,1447.2028007581914,0,0.0
41970,Mammalia,21,-1.7939,-77.8101,26.1459,36.8705,2989.9614425993545,1,0.047619047619047616
43435,Mammalia,14,-25.180149999999998,-57.22665,16.207735,9.750559999999993,683.4052841335929,2,0.14285714285714285
47144,Mammalia,43,25.1003,102.7057,82.03554,172.16358,17796.7506489443,0,0.0
476521,Amphibia,3,-15.8476,-48.1343,6.41493,1.7229600000000005,980.6432555653868,0,0.0
