primary_label,class_name,scientific,common
1491113,Amphibia,Adenomera guarani,Guaraní leaf-litter frog
25073,Amphibia,Chiasmocleis mehelyi,Chiasmocleis mehelyi
47158son01,Insecta,Insect son01,Insect sonotype01
47158son02,Insecta,Insect son02,Insect sonotype02
47158son03,Insecta,Insect son03,Insect sonotype03
47158son04,Insecta,Insect son04,Insect sonotype04
47158son05,Insecta,Insect son05,Insect sonotype05
47158son06,Insecta,Insect son06,Insect sonotype06
47158son07,Insecta,Insect son07,Insect sonotype07
47158son08,Insecta,Insect son08,Insect sonotype08
47158son09,Insecta,Insect son09,Insect sonotype09
47158son10,Insecta,Insect son10,Insect sonotype10
47158son11,Insecta,Insect son11,Insect sonotype11
47158son12,Insecta,Insect son12,Insect sonotype12
47158son13,Insecta,Insect son13,Insect sonotype13
47158son14,Insecta,Insect son14,Insect sonotype14
47158son15,Insecta,Insect son15,Insect sonotype15
47158son16,Insecta,Insect son16,Insect sonotype16
47158son17,Insecta,Insect son17,Insect sonotype17
47158son18,Insecta,Insect son18,Insect sonotype18
47158son19,Insecta,Insect son19,Insect sonotype19
47158son20,Insecta,Insect son20,Insect sonotype20
47158son21,Insecta,Insect son21,Insect sonotype21
47158son22,Insecta,Insect son22,Insect sonotype22
47158son23,Insecta,Insect son23,Insect sonotype23
47158son24,Insecta,Insect son24,Insect sonotype24
47158son25,Insecta,Insect son25,Insect sonotype25
517063,Amphibia,Pithecopus azureus,Southern Orange-legged Leaf Frog
