primary_label,n_labeled_segments,class_name,in_train_audio
65380,333,Amphibia,True
517063,313,Amphibia,False
22973,213,Amphibia,True
555146,210,Amphibia,True
23158,175,Amphibia,True
24279,173,Amphibia,True
24321,172,Amphibia,True
22967,155,Amphibia,True
66971,149,Amphibia,True
47158son25,84,Insecta,False
1491113,79,Amphibia,False
chacha1,65,Aves,True
whtdov,63,Aves,True
47158son07,48,Insecta,False
undtin1,43,Aves,True
47158son17,43,Insecta,False
compau,38,Aves,True
litnig1,37,Aves,True
22961,36,Amphibia,True
47158son13,36,Insecta,False
47158son11,36,Insecta,False
chvcon1,35,Aves,True
47158son03,33,Insecta,False
47158son10,33,Insecta,False
trsowl,26,Aves,True
47158son22,24,Insecta,False
47158son23,24,Insecta,False
47158son24,24,Insecta,False
25092,24,Amphibia,True
326272,23,Amphibia,True
47158son01,23,Insecta,False
47158son21,22,Insecta,False
47158son06,18,Insecta,False
47158son04,17,Insecta,False
47158son08,17,Insecta,False
47144,15,Mammalia,True
bufpar,14,Aves,True
orwpar,13,Aves,True
116570,13,Reptilia,True
516975,13,Mammalia,True
25073,12,Amphibia,False
47158son15,12,Insecta,False
47158son16,12,Insecta,False
47158son14,12,Insecta,False
redjun,12,Aves,True
47158son18,12,Insecta,False
47158son20,12,Insecta,False
43435,12,Mammalia,True
nacnig1,11,Aves,True
hyamac1,10,Aves,True
bafcur1,9,Aves,True
67107,9,Amphibia,True
65377,9,Amphibia,True
47158son02,7,Insecta,False
47158son09,6,Insecta,False
47158son12,5,Insecta,False
purjay1,5,Aves,True
magant1,5,Aves,True
47158son19,5,Insecta,False
rufhor2,4,Aves,True
compot1,3,Aves,True
fusfly1,3,Aves,True
47158son05,3,Insecta,False
limpki,3,Aves,True
bunibi1,2,Aves,True
67252,2,Amphibia,True
thlwre1,2,Aves,True
74113,2,Mammalia,True
strher2,2,Aves,True
grekis,2,Aves,True
rutjac1,1,Aves,True
plcjay1,1,Aves,True
wfwduc1,1,Aves,True
ruther1,1,Aves,True
sibtan2,1,Aves,True
