class,n_pos,oof_auc,status
1161364,0,,0
116570,13,0.9650349650349651,2
1176823,0,,0
1491113,79,0.8639240506329114,2
1595929,0,,0
209233,0,,0
22930,0,,0
22956,0,,0
22961,36,0.9506085032400822,2
22967,155,0.8301038444542641,2
22973,213,0.919946803763009,2
22983,0,,0
22985,0,,0
23150,0,,0
23154,0,,0
23158,175,0.9702836879432624,2
23176,0,,0
23724,0,,0
24279,173,0.8988030801282706,2
24285,0,,0
24287,0,,0
24321,172,0.9270743611828883,2
244024,0,,0
25073,12,0.9009628610729022,2
25092,24,0.9059440559440559,2
25214,0,,0
326272,23,0.8490405635171241,2
41970,0,,0
43435,12,0.9834938101788171,2
47144,15,0.8505524861878453,2
47158son01,23,0.8457007529754675,2
47158son02,7,0.929352068696331,2
47158son03,33,0.8935960168254786,2
47158son04,17,0.9446798109825648,2
47158son05,3,0.8577898550724637,2
47158son06,18,0.967483433502851,2
47158son07,48,1.0,2
47158son08,17,0.7795339742545218,2
47158son09,6,0.9345156889495225,2
47158son10,33,0.9352304918877157,2
47158son11,36,0.9252015173067805,2
47158son12,5,0.9275204359673025,2
47158son13,36,0.9553500869290342,2
47158son14,12,0.9834938101788171,2
47158son15,12,0.9546079779917469,2
47158son16,12,0.9019944979367264,2
47158son17,43,0.9796511627906976,2
47158son18,12,0.9573590096286108,2
47158son19,5,0.9833787465940054,2
47158son20,12,0.9280146721687299,2
47158son21,22,0.9986052998605299,2
47158son22,24,1.0,2
47158son23,24,1.0,2
47158son24,24,0.9916083916083915,2
47158son25,84,0.9737913486005089,2
476521,0,,0
516975,13,0.9938546302182666,2
517063,313,0.8400305989290376,2
555123,0,,0
555145,0,,0
555146,210,0.9426681069403187,2
64898,0,,0
65377,9,0.7258751902587519,2
65380,333,0.9753842512463202,2
66971,149,0.9500398134455693,2
67107,9,0.8547945205479451,2
67252,2,0.8432835820895522,2
70711,0,,0
738183,0,,0
74113,2,0.7930800542740841,2
74580,0,,0
760266,0,,0
ashgre1,0,,0
astcra1,0,,0
bafcur1,9,0.9797564687975646,2
baffal1,0,,0
banana,0,,0
barant1,0,,0
batbel1,0,,0
baymac,0,,0
bbwduc,0,,0
bcwfin2,0,,0
bkcdon,0,,0
bkhpar,0,,0
blchaw1,0,,0
blheag1,0,,0
blttit1,0,,0
bncfly,0,,0
bobfly1,0,,0
brcmar1,0,,0
brnowl,0,,0
bucmot4,0,,0
bucpar,0,,0
bufpar,14,0.9233497536945813,2
bunibi1,2,0.8833107191316147,2
burowl,0,,0
camfli1,0,,0
chacha1,65,0.9336909381419768,2
chbmoc1,0,,0
chobla1,0,,0
chvcon1,35,0.9826704545454545,2
cibspi1,0,,0
coffal1,0,,0
compau,38,0.9616712966438922,2
compot1,3,0.8813405797101449,2
crbthr1,0,,0
crebec1,0,,0
dwatin1,0,,0
epaori4,0,,0
eulfly1,0,,0
fabwre1,0,,0
fepowl,0,,0
ficman1,0,,0
flawar1,0,,0
fotfly,0,,0
fusfly1,3,0.8881340579710145,2
gilhum1,0,,0
giwrai1,0,,0
glteme1,0,,0
grasal3,0,,0
greani1,0,,0
greant1,0,,0
greela,0,,0
grekis,2,0.9640434192672999,2
grepot1,0,,0
gretho2,0,,0
greyel,0,,0
grfdov1,0,,0
grhtan1,0,,0
gycwor1,0,,0
horscr1,0,,0
houspa,0,,0
hyamac1,10,0.9993141289437586,2
larela1,0,,0
lesela1,0,,0
lesgrf1,0,,0
limpki,3,0.988677536231884,2
linwoo1,0,,0
litcuc2,0,,0
litnig1,37,0.9581119581119582,2
mabpar,0,,0
magant1,5,0.9694822888283379,2
magtan2,0,,0
masgna1,0,,0
nacnig1,11,0.9625374625374625,2
ocecra1,0,,0
oliwoo1,0,,0
orbtro3,0,,0
orwpar,13,0.9752066115702479,2
osprey,0,,0
pabspi1,0,,0
palhor3,0,,0
paltan1,0,,0
phecuc1,0,,0
picpig2,0,,0
pirfly1,0,,0
plasla1,0,,0
platyr1,0,,0
plcjay1,1,0.943089430894309,2
pluibi1,0,,0
purjay1,5,0.9907356948228884,2
pvttyr1,0,,0
ragmac1,0,,0
rebscy1,0,,0
recfin1,0,,0
redjun,12,0.9103622191655205,2
relser1,0,,0
rinkin1,0,,0
rivwar1,0,,0
roahaw,0,,0
rubthr1,0,,0
rufcac2,0,,0
rufcas2,0,,0
rufgna3,0,,0
rufhor2,4,0.8846938775510204,2
rufnig1,0,,0
ruftho1,0,,0
ruftof1,0,,0
rumfly1,0,,0
ruther1,1,0.994579945799458,2
rutjac1,1,0.9634146341463414,2
sabspa1,0,,0
saffin,0,,0
saytan1,0,,0
scadov1,0,,0
schpar1,0,,0
scther1,0,,0
shcfly1,0,,0
shshaw,0,,0
shtnig1,0,,0
sibtan2,1,0.959349593495935,2
smbani,0,,0
smbtin1,0,,0
sobcac1,0,,0
sobtyr1,0,,0
socfly1,0,,0
sofspi1,0,,0
souant1,0,,0
soulap1,0,,0
souscr1,0,,0
spbant3,0,,0
spispi1,0,,0
sptnig1,0,,0
squcuc1,0,,0
stbwoo2,0,,0
strcuc1,0,,0
strher2,2,0.9151967435549525,2
strowl1,0,,0
swthum1,0,,0
swtman1,0,,0
tattin1,0,,0
thlwre1,2,0.9511533242876526,2
toctou1,0,,0
trokin,0,,0
trsowl,26,0.8794368324522601,2
undtin1,43,0.9037690457097034,2
varant1,0,,0
watjac1,0,,0
wesfie1,0,,0
wfwduc1,1,1.0,2
whbant2,0,,0
whbwar2,0,,0
whiwoo1,0,,0
whlspi1,0,,0
whnjay1,0,,0
whtdov,63,0.9532497417112802,2
whwpic1,0,,0
y00678,0,,0
yebcar,0,,0
yebela1,0,,0
yecmac,0,,0
yecpar,0,,0
yehcar1,0,,0
yeofly1,0,,0
