dataset,n_kernels_using
jaejohn/perch-meta,228
rishikeshjani/perch-onnx-for-birdclef-2026,147
tuckerarrants/bc2026-distilled-sed-public,39
tuckerarrants/perch-v2-no-dft-onnx,25
hideyukizushi/sgkfk-202604041716,13
tuckerarrants/birdclef-2026-waveform-cache,13
tonylica/birdclef-2026-model,13
yuriygreben/perch-meta,12
needless090/birdclef2026-sed-v5-trio,10
needless090/birdclef2026-perch-tflite,8
needless090/birdclef2026-sed-ensemble,7
mlnjsh/birdclef2026-effnet-5fold,6
mlnjsh/perch-onnx,6
jaejohn/cnn-emb-cache,6
waterjoe/google-perch-embeddings,4
needless090/birdclef2026-clap-probe,3
hengck23/hengck23-birdclef-2026-00,3
lixin73/birdclef2026-v27-onnx-perch-meta-forum-v1-lb872,3
yuriygreben/birdclef26-perch-onnx,3
alilaudza/privatewheel,2
hengck23/hengck23-birdclef-2026-01,2
atahalam/perch-meta-0-943,2
jiweiliu/birdclef2026-eff-b0-baseline,2
juanpp11/dataset1,2
kospintr/birdclef-animal-images,2
kospintr/birdclef-perch-emb,2
venkatkumar001/birdclef26-audio2mel-spectrograms,2
aadigupta1601/openvino-library,1
aadigupta2222/artifacts,1
aidensong123/0401best,1
aixonvitt/perch-onnx-for-birdclef-2026,1
alilaudza/birdclefartifacts,1
kozistr/pytorch-image-models,1
seshurajup/birdclef-2020-2025-all-training-npy,1
chesteryuan/onnxruntime,1
deniszaytseff/weights-efficientnet-b0-imagenet,1
dennyloevlie/birdclef2026-pipeline-inputs,1
emanuellcs/birdclef-2026-offline-packages,1
evgendvorkin/audio4,1
franksunp/birdclef-2026-predictions,1
gerarddevlin/bundle13,1
gerarddevlin/bundle3,1
gerarddevlin/bundle5,1
hassemees/fine-tuned-weights,1
hengck23/hengck23-onnx-perchv2,1
hengck23/pytorch-perchv2,1
jackcerion/direction-one,1
juanpp11/preprocessing-data,1
kailatha/best-mode,1
katsaxton/birdclef-onnxruntime-wheel,1
katsaxton/model-8,1
kodatirevanth/birdclef2026-efficientnet-weights,1
dingjiarun/birds-train2,1
krist0phersmith/birdclef2026-model,1
lihaoweicvch/tinykaggleclaw-output,1
lingyu07/external-audio-unified-allwav-20260408,1
lingyu07/perch-protossm-ext33-artifacts,1
lixin73/perch-protossm-ext33-artifacts,1
ttahara/birdclef2026-train-audio-npy-00,1
ttahara/birdclef2026-train-audio-npy-01,1
ttahara/birdclef2026-train-audio-npy-02,1
ttahara/birdclef2026-train-audio-npy-03,1
jeajohn/perch-meta,1
meenalsinha/nb1-perch,1
meenalsinha/nb2-sed,1
skidive/no-wav-use,1
nikitababich/birdclef2025-1st-place-ensemble,1
nikitababich/runtimes-onnx-openvino,1
mtoshidesu/birdclef-flow-diagram,1
myso1987/birdclef2026-starter-dataset5s,1
nicolaischler/linear,1
pilkwang/birdclef2026-perch-cache,1
pulkitsahu89/birdtransform-birdclef-2026-transformer-model,1
pulkitsahu89/toco-toucan,1
aidensong123/bestfold,1
tasmim/birdclef26-efnet-models,1
renmingqian/birdclef-2026-probe-cache2,1
skidive/perch-v2-onnx,1
skidive/trained-ssm-v2,1
suhanigupta04/birdclef2026-effnet-weights,1
svanikkolli/ensembling-dataset,1
tamurakami/bc26datasets,1
tasfiamohtasim/screenshot,1
tasmim/test-resume-model,1
udamliyanage/birdclef2026-trainingv1,1
up202108827/fine-tuned-weights,1
vidhathdbhandary/birdclef-sed-weights,1
waterjoe/bird-model-pth,1
youssefmo942009/cache-birdclef,1
ludovick/onnxruntime,1
yuriygreben/birdclef26-bioclip-emb,1
yuriygreben/birdclef26-weights,1
nina2025/perch-v2-no-dft-v3-onnx,1
zhiyue666/zhiyue666-bird2026-columns,1
zhiyue666/bird2026-train-csv,1
