model,n_kernels_using
google/bird-vocalization-classifier,330
shadiakiki1/birdnet-analyzer,6
google/yamnet,5
timm/tf-efficientnet,5
aliozanmemetoglu/birdclef-sed-fold-3,2
aliozanmemetoglu/birdclef-sed-fold-4,2
haradibots/bird-efficientnet-model,2
kospintr/birdclef,2
aadigupta1601/birdclef-models,1
aiaiaioooo/tf-efficientnetv2-b0,1
alexandergremyakov/sed-b0-ce-nospecaug,1
chesteryuan/perch-v2,1
ashishkubade/timm-convnextv2-tiny-fcmae-ft-in22k-in1k-384,1
farshidamira/birdclef-2026-sed-enb0-stage1-5fold,1
ikkimasuta/20260511-baseline,1
jek1wantaufik/buddy,1
juliustegar/baseline-2026-pth,1
juliustegar/efficientnet-b3,1
tsurayao/best-model-pth,1
kylahcodes/checkpoint,1
marcusewang/gem-efficient-net,1
marcusewang/test-model,1
marcusewang/gem-hg-net-v2-b0,1
mateuszwcawski/birdclefmodel1,1
rkusmi/best-bird-model-v3,1
rkusmi/best-bird-model-v5,1
trnhquangminh140/birdclef-2026-trinh-quang-minh,1
tuannm3812/efficientnet-b0-birdclef-2026,1
formerhuman/mitast-finetuned-audioset-10-10-0,1
yermes/birdclef-2026-perch-yermes-v5,1
youssefmo942009/bird-comp,1
zaouiyassine/faza-4ep,1
zhiyue666/20260405-effib0-1fold-cv7447,1
zhiyue666/20260410-atto-codex-cv9145,1
