notebook,n_kernels_using
vyankteshdwivedi/notebook1b25083f0d,125
ashok205/tf-wheels,122
kdmitrie/bc26-tensorflow-2-20-0,43
antoinemasq/birdclef-2026-pytorch-baseline-training,11
udaysonawane/cnn-finetune,6
ttahara/birdclef-2026-download-wheels,4
raunakdey07/offline-training-efficientnet-b0-focal-recording,3
emanuellcs/birdclef-2026-i-o-preprocessing,3
waterjoe/birdclef2026-train-baseline,3
aliozanmemetoglu/birdclef-sed-fold-1,2
aliozanmemetoglu/birdclef-sed-fold-2,2
denizegememetoglu/birdclef-sed,2
blamerx/birdclef-2026-training,2
emanuellcs/birdclef-2026-training,2
ttahara/birdclef-2026-hgnetv2-b0-baseline-training,2
ameythakur20/birdclef-2026-tensorflow-2-20-setup,1
ameythakur20/kaggle-toolbox,1
amritanshukush/birdclef-2026-trained-model,1
deep262003/birdclef-2026-training,1
emanuellcs/birdclef-2026-target-domain-pseudo-labeling,1
esaaak/train-birdclef26-convnext-v2-gem-specaugmen,1
atahalam/perch-meta-0-943,1
troyxxf/bc26-build-final-proto-bank-fixed302-v1,1
troyxxf/birdclef-2026-build-final-proto-bank,1
troyxxf/birdclef-2026-build-soundscape-pseudo-bank,1
juliustegar/resnet34-weights,1
juliustegar/efficientnet-b3-weights,1
kushubhai/birdclef2k26,1
lakhindarpal/birdclef-2026-training,1
packagemanager/pm-111932015-at-03-12-2026-04-24-10,1
skidive/birdclef-2026-onnx-perch-sequence-model-302597,1
mirzamilanfarabi/birdclef-2025-files,1
myso1987/pytorch-starter1-crop-audio-5s,1
myso1987/pytorch-starter2-train-baseline-5s,1
aliozanmemetoglu/birdclef-enb0-coarse-ensemble-submission,1
sachchidanandadaki/birdclif-submission-2,1
sangrampatil5150/fork-of-notebook3b6c626cf2-f6a00e,1
stpeteishii/tpu-birdclef-2026-efficientnetv2-train,1
stpeteishii/gpu-birdclef-2026-mobilenetv3-train,1
needless090/birdclef-2026-iter-pseudo-perch-sed-lb-0-935-ft,1
venkatkumar001/birdclef-26-part2-efficientnet-pytorch-train,1
waterjoe/birdclef2026-train-google-perch,1
waterjoe/fork-of-birdclef2026-train-baseline,1
