n_deltas,deltas_sample,n_versions_mentioned,version_scores,n_score_progresses,score_progresses_sample,ref
0,,0,,0,,aadigupta1601/bird-clef-2026-inference
0,,0,,0,,aadigupta1601/birdclef-2026-inference
0,,0,,0,,abdulrehmanyousafzai/birdclef-2026
0,,0,,0,,abdulrehmanyousafzai/birdclef-2026-2
0,,0,,0,,abidaakbarrusyadin/nyoba
0,,0,,0,,abidaakbarrusyadin/tugasbirdclef
0,,0,,0,,account1243/train
1,3=2→64,2,v2:0.937|v2:0.934,0,,adarsh5harma/birdclef-2026-v35-gate-fork
0,,0,,0,,adarsh5harma/birdclef-2026-v42-fork-0947
0,,12,v2:0.925|v1:0.917|v2:0.917|v3:0.917|v4:0.917|v5:0.917|v6:0.917|v7:0.917,0,,adarsh5harma/birdclef-2026-v44-nina-q4
2,3=5→0.20|2=5→0.30,0,,0,,adarsh5harma/birdclef-2026-v45-improved
0,,0,,0,,adarsh5harma/birdclef-2026-v46-raunak-deep
0,,0,,0,,adarsh5harma/birdclef-2026-v47-iter-pseudo
0,,0,,0,,adarsh5harma/birdclef-2026-v48-effnet18
0,,0,,0,,adarsh5harma/birdclef-2026-v49-effnet05
0,,0,,0,,adarsh5harma/birdclef-2026-v50-dual-iter
0,,0,,0,,adarsh5harma/birdclef-2026-v51-triple-iter
1,PCA dim=64→128,0,,0,,adarsh5harma/birdclef-2026-v52-meenal-improved
0,,0,,0,,adarsh5harma/birdclef-2026-v53-svanik-fusion
2,3=5→0.20|2=5→0.30,0,,0,,adarsh5harma/birdclef-2026-v54-lb-0948-swap
8,increased from=128→256|increased from=2→3|3=5→0.20|2=5→0.30|3=5→0.20|2=5→0.30|3=5→0.20|2=5→0.30,7,v5:0.948|v6:0.948|v7:0.947|v8:0.928|v9:0.928|v10:0.928|v11:0.928,0,,adarsh5harma/birdclef-2026-v55-eslam
0,,0,,0,,adarsh5harma/birdclef-2026-v56-200ep-tta
2,3=5→0.20|2=5→0.30,0,,0,,adarsh5harma/birdclef-2026-v60-sed-tta
2,increased from=128→256|increased from=2→3,0,,0,,adarsh5harma/birdclef-2026-v61-safar-0948-fork
0,,0,,0,,adegbaju/acoustic-species-identification-pipeline
0,,0,,0,,adegbaju/birdclef-2026-acoustic-species-identification
1,d_model=256→320,0,,0,,adkasd/birdclef-2026-yuriy-replay
0,,0,,0,,aenggg/birdclef-bagusaxel-herons
1,3=2→64,1,v8:0.946,0,,afr1ste/birdclef-2026-0-946-updated-perch-sed
0,,0,,0,,ahmadzulfiqar001/birdclef-2026-birdnet-baseline
0,,0,,0,,aiaiaiooo/birdclef2026
0,,0,,0,,aidensong123/birdclef-2026-sed-baseline-lb-0-862
0,,0,,0,,aidensong123/birdclef-2026-sed-baseline-training-lb-0-862
0,,0,,0,,aixonvittle/cpu-birdclef
0,,0,,0,,aixonvittle/sed-model-bc
0,,0,,0,,aixonvittle/train-model-tf
0,,0,,0,,alexandergremyakov/birdclef-2026-soundscape-sonotype-eda
0,,0,,0,,alexandergremyakov/efficientnet-b0-submission
0,,0,,0,,alexycactus/didactic-01-eda
0,,0,,0,,alexycactus/didactic-02-spectrogram-guide
0,,0,,0,,alexycactus/didactic-03-baseline-efficientnet
0,,0,,0,,alexycactus/didactic-04-augmentation
0,,0,,0,,alilaudza/birdclef-htacr-inference
0,,0,,0,,alilaudza/notebooke446edeac3
0,,0,,0,,alilaudza/perch-v2-maml-ssm-advanced-pp
0,,0,,0,,aliozanmemetoglu/birdclef-5-fold-ensemble-submission
0,,0,,0,,aliozanmemetoglu/birdclef-enb0-coarse-ensemble-submission
0,,0,,0,,amanatar/birdclef-2026
0,,0,,0,,amanatar/birdclef2026-v19
1,3=2→64,0,,0,,amanatar/birdclef26-taxon-fusion-pro
0,,0,,0,,ameythakur20/birdclef-2026-protossm-perch-inference-pipeline
0,,0,,0,,ameythakur20/birdclef-2026-tensorflow-2-20-setup
0,,0,,0,,aminmahmoudalifayed/birdclef-2026
0,,0,,0,,aminmahmoudalifayed/birdclef-2026-2027
3,PCA dimension increased from=32→64|1=5→0.75|3=2→64,0,,0,,amlear/sub-080-yuriy-dualssm
0,,0,,0,,amritanshukush/birdclef-2026-starter
0,,0,,0,,amritanshukush/birdclef-2026-trained-model
3,3=5→0.20|2=5→0.30|3=2→64,2,v2:0.937|v2:0.934,0,,amulopapa67/bc26-full-yous-gate-rb035-nb-20260517
2,3=5→0.20|2=5→0.30,0,,0,,amulopapa67/bc26-yous-sedheavy-w090-20260517
2,3=5→0.20|2=5→0.30,0,,0,,amulopapa67/birdclef-2026-youssef-lb0948-20260517
0,,0,,0,,anmatngu/birdclef-2026-train
0,,0,,0,,anthonytherrien/birdclef-2026-script
2,increased from=128→256|increased from=2→3,0,,0,,anthonytherrien/birdclef-ensemble-of-solutions
3,d_model=192→256|increased from=128→256|increased from=2→3,0,,0,,anthonytherrien/pantanal-distill-birdclef-2026-script
0,,0,,0,,antoinemasq/birdclef-2026-annotation-tool-dash-app
0,,0,,0,,antoinemasq/birdclef-2026-pytorch-baseline-inference
0,,0,,0,,antoinemasq/birdclef-2026-pytorch-baseline-training
1,3=2→64,0,,0,,apachikoff/birdclef-2026-onnx-perch-sequence-model-302597
0,,0,,0,,apachikoff/res1den
0,,0,,0,,aribtaufiqurrohman/arib-arel
0,,0,,0,,arnavsalkade/submission
1,3=2→64,0,,0,,ashok205/birdclef-2026
0,,1,v14:0.913,0,,ashok205/pantanal-distill-birdclef2026
0,,0,,0,,assyifahaqqi/birdclef-improve
0,,0,,0,,asymortenson/birdclef-2026-fast-ensemble
8,d_model=320→256|n_layers=4→3|increased from=128→256|increased from=2→3|d_model=320→256|n_ssm_layers=4→3|n_epochs 80/=40→60|rank_aware_power=0.40→0.35,2,v19:0.935|v19:0.930,0,,atahalam/submit-v2-v19-birdclef2026
0,,0,,0,,avikdas567/birdclef-2026-mel-spectrogram-cnn-soundscapes
1,3=2→64,0,,0,,azh1sdad/bc26-submit-v2-protossm-sed-gate-blend
0,,0,,0,,bachtiarc/pengpolllllllllll
0,,0,,0,,bagusathallah/birdclef-bagusaxel-herons1
0,,0,,0,,bagusathallah/herons-pengpol
0,,0,,0,,baidalinadilzhan/birdclef-2026-lb-0-89
0,,0,,0,,baidalinadilzhan/birdclef-lb-0-882
0,,0,,0,,baidalinadilzhan/lb-0-792-birdclef-2026-starter
0,,0,,0,,baidalinadilzhan/perch-improved-lb-0-904
3,d_model=192→256|increased from=128→256|increased from=2→3,1,v17:0.924,0,,bariarituratibhai/pantanal-distill-birdclef2026-improvement
1,3=2→64,2,v2:0.937|v2:0.934,0,,beicicc/birdclef2026-henry-hgnet-v20-20260508
1,3=2→64,1,v8:0.946,0,,beicicc/birdclef2026-kosuke-convnext-may12
1,3=2→64,1,v8:0.946,0,,beicicc/birdclef2026-kosuke-sed-may12
6,increased from=128→256|increased from=2→3|3=2→64|3=2→64|3=2→64|3=2→64,11,v2:0.925|v1:0.917|v2:0.917|v3:0.917|v4:0.917|v5:0.917|v6:0.917|v7:0.917,0,,beicicc/birdclef2026-mtoshi-ensemble3-20260512
3,3=2→64|3=2→64|3=2→64,5,v2:0.925|v33:0.946|v34:0.946|v35:0.946|v36:0.946,0,,beicicc/birdclef2026-nina-ensemble-20260512
0,,0,,0,,bingshaocui/birdclef-resnet-baseline
0,,0,,0,,blamerx/birdclef-2026-inference
0,,0,,0,,blamerx/birdclef-2026-training
0,,0,,0,,blamerx/detect-the-bird-inference
0,,0,,0,,blamerx/detect-the-bird-training
0,,0,,0,,bleachonn77/notebookf0a750a18c
0,,0,,0,,chaitanyajamble/notebook66eb36c4ae
0,,0,,0,,chaitanyajamble/notebookf6a3111822
1,3=2→64,0,,0,,chaneyma/bc26-gate-baseline-all66-replicate
1,3=2→64,0,,0,,chaneyma/bc26-gate-baseline-replicate-v11
1,3=2→64,0,,0,,chaneyma/bc26-gate-baseline-wb50-v7-40-v6-10
1,3=2→64,0,,0,,chaneyma/bc26-gate-baseline-wb60-v7-25-v6-15
1,3=2→64,0,,0,,chaneyma/bc26-gate-baseline-xformer-mix7010-blend
0,,0,,0,,chaneyma/bc26-gate-v10-mm-original
1,3=2→64,0,,0,,chaneyma/bc26-gate-v11-mirror-rare-post
1,3=2→64,0,,0,,chaneyma/bc26-gate-v12-sed-family
1,3=2→64,0,,0,,chaneyma/bc26-gate-v13-mirror-rare-ablation
1,3=2→64,0,,0,,chaneyma/bc26-gate-v14-sonotype-softprobe
1,3=2→64,0,,0,,chaneyma/bc26-gate-v15-cv9245-shared-blend
1,3=2→64,0,,0,,chaneyma/bc26-gate-v15-probe-middle-logreg
1,3=2→64,0,,0,,chaneyma/bc26-gate-v16-trainaudio-weak-probe
1,3=2→64,0,,0,,chaneyma/bc26-gate-v18-online-pseudo-adapter
1,3=2→64,0,,0,,chaneyma/bc26-gate-v19-hgnet-sidecar
1,3=2→64,0,,0,,chaneyma/bc26-gate-v20-hgnet-sidecar-rank05
1,3=2→64,0,,0,,chaneyma/bc26-gate-v21-hgnet-sidecar-rank40-base60-hg40
1,3=2→64,0,,0,,chaneyma/bc26-gate-v22-hgnet-sidecar-rank50-base50-hg50
2,3=2→64|1 improved OOF=0.966150→0.967001,0,,0,,chaneyma/bc26-gate-v23-temporal-lse
2,3=2→64|1 improved OOF=0.966150→0.967001,0,,0,,chaneyma/bc26-gate-v24-lse-probe-perclass
2,3=2→64|1 improved OOF=0.966150→0.967001,0,,0,,chaneyma/bc26-gate-v25-safe-seen-perclass
2,3=2→64|1 improved OOF=0.966150→0.967001,0,,0,,chaneyma/bc26-gate-v26-context-fileconf
2,3=2→64|1 improved OOF=0.966150→0.967001,0,,0,,chaneyma/bc26-gate-v27-full-residual-fused-rank05
2,3=2→64|1 improved OOF=0.966150→0.967001,0,,0,,chaneyma/bc26-gate-v28-residual-delta-suppress-gate
2,3=2→64|1 improved OOF=0.966150→0.967001,0,,0,,chaneyma/bc26-gate-v29-logits-residual-integrated-w030
2,3=2→64|1 improved OOF=0.966150→0.967001,1,v31:0.946,0,,chaneyma/bc26-gate-v31-imaad0946-v26-shared-blend
2,3=2→64|1 improved OOF=0.966150→0.967001,1,v32:0.946,0,,chaneyma/bc26-gate-v32-imaad0946-v26-shared-extcache
2,3=2→64|1 improved OOF=0.966150→0.967001,1,v32:0.946,0,,chaneyma/bc26-gate-v33-imaad0946-v26-shared-extcache-7030
2,3=2→64|1 improved OOF=0.966150→0.967001,1,v32:0.946,0,,chaneyma/bc26-gate-v34-imaad0946-v26-shared-extcache-5050
2,3=2→64|1 improved OOF=0.966150→0.967001,1,v32:0.946,0,,chaneyma/bc26-gate-v35-respp
2,3=2→64|1 improved OOF=0.966150→0.967001,1,v32:0.946,0,,chaneyma/bc26-gate-v37-ninastyle-branch
2,3=2→64|1 improved OOF=0.966150→0.967001,1,v32:0.946,0,,chaneyma/bc26-gate-v38-full-nina-shared-perch
9,"3=2→64|RXOTM75vhjdzL0nmquK=5→2|7T0V9VZLgMP=1→066|ENLUkeIVyUuGooPkilEepiFIFLDbDTHw7ktoBD/5=2→4|UXRoFsN6pMc2gV
8xZ=3→4|JFfgE7kU9i/bKLucQuZzLEgHEvcnTWMLDK6EzfUC=2→7|fLV=7→4|F/o4DN2Bz3ubmR/zHk/DPE5m7l7fObTnHMU2zu
s=1→4|1 improved OOF=0.966150→0.967001",0,,0,,chaneyma/bc26-gate-v42-full-nina-v21d15mlp-rank40
9,"3=2→64|RXOTM75vhjdzL0nmquK=5→2|7T0V9VZLgMP=1→066|ENLUkeIVyUuGooPkilEepiFIFLDbDTHw7ktoBD/5=2→4|UXRoFsN6pMc2gV
8xZ=3→4|JFfgE7kU9i/bKLucQuZzLEgHEvcnTWMLDK6EzfUC=2→7|fLV=7→4|F/o4DN2Bz3ubmR/zHk/DPE5m7l7fObTnHMU2zu
s=1→4|1 improved OOF=0.966150→0.967001",0,,0,,chaneyma/bc26-gate-v43-full-nina-rank5050-withinfile-rank
9,"3=2→64|RXOTM75vhjdzL0nmquK=5→2|7T0V9VZLgMP=1→066|ENLUkeIVyUuGooPkilEepiFIFLDbDTHw7ktoBD/5=2→4|UXRoFsN6pMc2gV
8xZ=3→4|JFfgE7kU9i/bKLucQuZzLEgHEvcnTWMLDK6EzfUC=2→7|fLV=7→4|F/o4DN2Bz3ubmR/zHk/DPE5m7l7fObTnHMU2zu
s=1→4|1 improved OOF=0.966150→0.967001",0,,0,,chaneyma/bc26-gate-v45-full-nina-rank5050-withinfile-rank
9,"3=2→64|RXOTM75vhjdzL0nmquK=5→2|7T0V9VZLgMP=1→066|ENLUkeIVyUuGooPkilEepiFIFLDbDTHw7ktoBD/5=2→4|UXRoFsN6pMc2gV
8xZ=3→4|JFfgE7kU9i/bKLucQuZzLEgHEvcnTWMLDK6EzfUC=2→7|fLV=7→4|F/o4DN2Bz3ubmR/zHk/DPE5m7l7fObTnHMU2zu
s=1→4|1 improved OOF=0.966150→0.967001",0,,0,,chaneyma/bc26-gate-v47-birdnet-gate-withinfile-rank
9,"3=2→64|RXOTM75vhjdzL0nmquK=5→2|7T0V9VZLgMP=1→066|ENLUkeIVyUuGooPkilEepiFIFLDbDTHw7ktoBD/5=2→4|UXRoFsN6pMc2gV
8xZ=3→4|JFfgE7kU9i/bKLucQuZzLEgHEvcnTWMLDK6EzfUC=2→7|fLV=7→4|F/o4DN2Bz3ubmR/zHk/DPE5m7l7fObTnHMU2zu
s=1→4|1 improved OOF=0.966150→0.967001",0,,0,,chaneyma/bc26-gate-v48-birdnet-gate-default
2,3=2→64|1 improved OOF=0.966150→0.967001,1,v32:0.946,0,,chaneyma/bc26-gate-v49-v38-noisy-fold03-onnx
2,increased from=128→256|increased from=2→3,0,,0,,chaneyma/bc26-gate-v50-eos4-exact-style
2,increased from=128→256|increased from=2→3,0,,0,,chaneyma/bc26-gate-v51-eos4-shared-perch
2,increased from=128→256|increased from=2→3,0,,0,,chaneyma/bc26-gate-v52-eos4-shared-test-perch
2,increased from=128→256|increased from=2→3,0,,0,,chaneyma/bc26-gate-v53-eos4-shared-perch-no-birdnet-scan
2,3=2→64|1 improved OOF=0.966150→0.967001,1,v32:0.946,0,,chaneyma/bc26-gate-v54-v38-eos4-light-post
2,3=2→64|1 improved OOF=0.966150→0.967001,1,v32:0.946,0,,chaneyma/bc26-gate-v55-v38-direct-weight-probe
0,,0,,0,,chaneyma/birdclef-2026-gate-artifact-v9-all66-synth-safe
0,,0,,0,,chaneyma/edits-on-birdclef-protossm-sed-v8-all66-synth-top2
2,increased from=128→256|increased from=2→3,0,,0,,chesteryuan/patience-bro
0,,0,,0,,chirag6668/birdclef-2026-pantanal-audio-cnn-baseline
