baseline_kernel,referenced_by_n_kernels
tuckerarrants/bc2026-distilled-sed,8
nikitababich/birdclef2025-1st-place-inference,7
nina2025/birdclef-2026-eos-4,6
ravi20076/birdclef2026-openvino-starter-v1,6
ravi20076/birdclef2026-preprocessing-v1,6
hideyukizushi/bird26-reproduce-perch-protossm-resssm-inf-train,5
mtoshidesu/tedbirdclef-2026-improved,5
ravi20076/birdclef2026-public-blend-v1,5
jaejohn/perch-v2-starter-train-infer,4
kdmitrie/birdclef26-google-perch-starter,4
marynaborovska/birdclef-26-two-pass-ssm-advanced-pp,4
ravi20076/birdclef2026-supplements-v1,4
waterjoe/birdclef2026-submit-baseline,4
ravi20076/birdclef2026-public-blend-v2,4
nina2025/birdclef-2026-ensemble-of-solutions,3
pilkwang/birdclef-2026-safe-ensemble,3
youssefmo942009/lb-0-948,3
pilkwang/948-birdclef-26-acoustic-time-window-rank-fusion,3
ravi20076/birdclef2026-public-blend-v3,3
aidensong123/birdclef-2026-sed-baseline-lb-0-862,3
mtoshidesu/birdclef-2026-0-947-lb-public-pipeline-reproduced,2
nina2025/birdclef-2026-onnx-perch-proto-sed,2
emanuellcs/birdclef-2026-training,2
emanuellcs/birdclef-2026-i-o-preprocessing,2
kosuke123/birdclef-2026-mattia-tricks-safe,2
mtoshidesu/birdclef-2026-0-941-public-lb-onnx-perch-pr,2
ttahara/birdclef-2026-hgnetv2-b0-baseline-training,2
myso1987/pytorch-starter2-train-baseline-5s,2
myso1987/pytorch-starter3-submit-5s,2
myso1987/pytorch-starter1-crop-audio-5s,2
karnakbaevarthur/power-optimization,2
antoinemasq/birdclef-2026-pytorch-baseline-training,2
ravi20076/birdclef2026-public-blend-v4,2
venkatkumar001/birdclef-26-part1-transforming-audio-to-melspec**,2
waterjoe/birdclef2026-eda,2
ameythakur20/birdclef-2026-tensorflow-2-20-setup,1
ameythakur20/kaggle-toolbox,1
ameythakur20/birdclef-2026-perch-v2-bayesian-fusion,1
yaroslavkholmirzayev/birdclef-2026-protossm-v5-maximum-ensemble,1
emanuellcs/birdclef-2026-target-domain-pseudo-labeling,1
