feature,hi_share,lo_share,delta
feat__uses_protossm,0.6990291262135923,0.03361344537815126,0.665415680835441
feat__uses_residual_ssm,0.6747572815533981,0.01680672268907563,0.6579505588643224
feat__rank_aware,0.6262135922330098,0.01680672268907563,0.6094068695439341
feat__uses_mlp_probes,0.6893203883495146,0.08403361344537816,0.6052867749041364
feat__val_groupkfold,0.7087378640776699,0.12605042016806722,0.5826874439096027
feat__adaptive_delta,0.587378640776699,0.01680672268907563,0.5705719180876233
feat__aug_time_shift,0.6407766990291263,0.07563025210084033,0.565146446928286
feat__uses_perch_v2,0.7864077669902912,0.25210084033613445,0.5343069266541568
feat__uses_perch,0.7864077669902912,0.2689075630252101,0.5175002039650811
feat__uses_onnx,0.5533980582524272,0.058823529411764705,0.49457452884066244
feat__site_hour_prior,0.470873786407767,0.0,0.470873786407767
feat__aug_mixup,0.6650485436893204,0.20168067226890757,0.46336787142041286
feat__file_confidence,0.44660194174757284,0.0,0.44660194174757284
feat__uses_sed,0.5,0.058823529411764705,0.4411764705882353
feat__uses_tf,0.7135922330097088,0.29411764705882354,0.4194745859508852
feat__uses_train_audio,0.20388349514563106,0.5378151260504201,-0.33393163090478906
feat__uses_tucker,0.2961165048543689,0.0,0.2961165048543689
feat__uses_torch,0.8786407766990292,0.5882352941176471,0.2904054825813821
feat__sonotype_mirror,0.25728155339805825,0.0,0.25728155339805825
feat__loss_bce,0.02912621359223301,0.17647058823529413,-0.1473443746430611
feat__loss_focal,0.2524271844660194,0.13445378151260504,0.11797340295341438
feat__aug_cutmix,0.16019417475728157,0.058823529411764705,0.10137064534551686
feat__tweak_C_residual,0.0970873786407767,0.0,0.0970873786407767
feat__uses_efficientnet,0.2815533980582524,0.37815126050420167,-0.09659786244594926
feat__aug_specaugment,0.07766990291262135,0.16806722689075632,-0.09039732397813496
feat__uses_birdnet,0.13106796116504854,0.04201680672268908,0.08905115444235946
feat__tweak_A_per_class,0.0825242718446602,0.0,0.0825242718446602
feat__tweak_F_flip_tta,0.07281553398058252,0.0,0.07281553398058252
feat__aug_flip,0.07281553398058252,0.0,0.07281553398058252
feat__tweak_D_hour_smooth,0.07281553398058252,0.0,0.07281553398058252
feat__uses_resnet,0.014563106796116505,0.08403361344537816,-0.06947050664926166
feat__val_stratified,0.07766990291262135,0.14285714285714285,-0.0651872399445215
feat__tweak_G_birdnet_weight,0.06310679611650485,0.0,0.06310679611650485
feat__tweak_E_wide_mlp,0.06310679611650485,0.0,0.06310679611650485
feat__ssl_pseudo,0.03398058252427184,0.07563025210084033,-0.04164966957656849
feat__ext_data,0.019417475728155338,0.04201680672268908,-0.02259933099453374
feat__aug_gain,0.0,0.01680672268907563,-0.01680672268907563
feat__uses_convnext,0.024271844660194174,0.03361344537815126,-0.009341600717957085
feat__ssl_iterative,0.014563106796116505,0.008403361344537815,0.0061597454515786906
feat__uses_beats,0.014563106796116505,0.008403361344537815,0.0061597454515786906
feat__loss_softauc,0.0048543689320388345,0.0,0.0048543689320388345
feat__uses_hgnet,0.02912621359223301,0.025210084033613446,0.003916129558619565
feat__uses_passt,0.0,0.0,0.0
feat__uses_mae,0.0,0.0,0.0
feat__aug_clipping,0.0,0.0,0.0
