slug,ref,filename,n_cells,n_code_cells,n_md_cells,n_md_chars,n_code_chars,first_md,config_lb_max,config_lb_list,n_config_lb,lb_prefix_max,n_lb_prefix,bare_score_max,bare_score_min,n_bare_scores,best_score,feat__uses_perch,feat__uses_perch_v2,feat__uses_birdnet,feat__uses_sed,feat__uses_protossm,feat__uses_residual_ssm,feat__uses_efficientnet,feat__uses_hgnet,feat__uses_convnext,feat__uses_resnet,feat__uses_passt,feat__uses_beats,feat__uses_mae,feat__uses_tucker,feat__uses_mlp_probes,feat__uses_train_audio,feat__aug_mixup,feat__aug_cutmix,feat__aug_specaugment,feat__aug_time_shift,feat__aug_flip,feat__aug_clipping,feat__aug_gain,feat__loss_focal,feat__loss_bce,feat__loss_softauc,feat__ssl_pseudo,feat__ssl_iterative,feat__tweak_A_per_class,feat__tweak_C_residual,feat__tweak_D_hour_smooth,feat__tweak_E_wide_mlp,feat__tweak_F_flip_tta,feat__tweak_G_birdnet_weight,feat__sonotype_mirror,feat__site_hour_prior,feat__rank_aware,feat__file_confidence,feat__adaptive_delta,feat__uses_onnx,feat__uses_torch,feat__uses_tf,feat__val_groupkfold,feat__val_stratified,feat__ext_data,n_fork_refs,fork_refs,num__n_windows,num__window_sec,num__lambda_prior,num__rank_power,num__file_conf_power,num__alpha_blend,num__correction_weight,num__lambda_in_apply_prior,num__ensemble_w_mapped,title_score,num__n_classes,author_lb_best,author_lb_rank,totalVotes,lastRunTime,score,bucket
aadigupta1601__bird-clef-2026-inference,aadigupta1601/bird-clef-2026-inference,bird-clef-2026-inference.ipynb,13,13.0,0.0,0.0,5775,,,,0,,0,,,0,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,,0.949,133.0,12,2026-03-14 01:13:50.707000,0.949,4.elite_0.948-0.955
aadigupta1601__birdclef-2026-inference,aadigupta1601/birdclef-2026-inference,birdclef-2026-inference.ipynb,1,1.0,0.0,0.0,16375,,,,0,,0,,,0,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,,12.0,5.0,,,,,,,,,,0.949,133.0,10,2026-03-21 21:47:53.073000,0.949,4.elite_0.948-0.955
adarsh5harma__birdclef-2026-v42-fork-0947,adarsh5harma/birdclef-2026-v42-fork-0947,birdclef-2026-v42-fork-0947.ipynb,21,10.0,11.0,2038.0,52310,"# BirdCLEF+ 2026 — Perch + SED Ensemble

A two-stage inference pipeline for passive acoustic monitoring in the Pantanal wetlands.

## Architecture

**Stage 1 — Feature extraction**
- [Google Perch v2](https://huggingface.co/google/bird-vocalization-classifier) (ONNX) produces 1536-d embeddings and logits for 203 of 234 competition species
- 5-fold distilled SED models provide frame-level predictio",,,0,,0,,,0,,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,1.0,mtoshidesu/birdclef-2026-0-947-lb-public-pipeline-reproduced,12.0,5.0,0.4,0.4,0.4,0.4,0.3,0.4,,,,0.948,342.0,3,2026-05-14 22:11:21.383000,0.948,4.elite_0.948-0.955
adarsh5harma__birdclef-2026-v45-improved,adarsh5harma/birdclef-2026-v45-improved,birdclef-2026-v45-improved.ipynb,1,1.0,0.0,0.0,71294,,,,0,,0,,,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,0.0,,12.0,5.0,0.4,0.4,0.4,0.4,0.3,0.4,0.6,,,0.948,342.0,3,2026-05-15 09:22:18.510000,0.948,4.elite_0.948-0.955
adarsh5harma__birdclef-2026-v54-lb-0948-swap,adarsh5harma/birdclef-2026-v54-lb-0948-swap,birdclef-2026-v54-lb-0948-swap.ipynb,1,1.0,0.0,0.0,76221,,,,0,,0,,,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,0.0,,12.0,5.0,0.4,0.4,0.4,0.4,0.3,0.4,0.6,,,0.948,342.0,3,2026-05-16 15:53:21.120000,0.948,4.elite_0.948-0.955
adarsh5harma__birdclef-2026-v55-eslam,adarsh5harma/birdclef-2026-v55-eslam,birdclef-2026-v55-eslam.ipynb,25,14.0,11.0,5658.0,533077,"### [BirdCLEF+ 2026](https://www.kaggle.com/competitions/birdclef-2026/code?competitionId=129329&sortBy=scoreDescending&excludeNonAccessedDatasources=true)

Acoustic Species Identification in the Pantanal, South America

&nbsp;

**Dear colleagues and friends**! &nbsp; Please listen:

In this notebook, we'll attempt to vertically divide two tests and assign slightly different weights to each half. ",0.948,0.9480|0.9280,2,0.948,1,0.974,0.912,8,0.948,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,8.0,hideyukizushi/bird26-reproduce-perch-protossm-resssm-inf-train|mtoshidesu/tedbirdclef-2026-improved|nikitababich/birdclef2025-1st-place-inference|nina2025/birdclef-2026-ensemble-of-solutions|nina2025/birdclef-2026-eos-4|pilkwang/birdclef-2026-safe-ensemble|tuckerarrants/bc2026-distilled-sed|youssefmo942009/lb-0-948,12.0,5.0,0.4,0.5,0.4,0.4,0.3,0.4,0.6,,,0.948,342.0,3,2026-05-16 18:34:00.783000,0.948,4.elite_0.948-0.955
afr1ste__birdclef-2026-0-946-updated-perch-sed,afr1ste/birdclef-2026-0-946-updated-perch-sed,birdclef-2026-0-946-updated-perch-sed.ipynb,68,27.0,41.0,24073.0,66050,"# BirdCLEF+ 2026 0.946 | Updated Perch + SED Pipeline

**Update note.** This is an in-place update of my existing public BirdCLEF notebook. The URL slug still contains `0.941` because that was the original public version; the current notebook content documents the stronger **0.946 public LB** line validated later.

I am updating the existing high-vote page rather than publishing a second near-dupl",,,0,,0,0.946,0.926,6,0.946,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,0.0,,12.0,5.0,0.4,0.4,0.4,0.4,0.3,0.4,,0.946,,0.948,193.0,86,2026-05-10 19:55:38.947000,0.946,3.high_0.940-0.948
ahmadzulfiqar001__birdclef-2026-birdnet-baseline,ahmadzulfiqar001/birdclef-2026-birdnet-baseline,birdclef-2026-birdnet-baseline.ipynb,27,18.0,9.0,3145.0,17473,"# 🦜 BirdCLEF+ 2026 — Baseline Notebook
### Acoustic Species Identification in the Pantanal, South America

---

## 📋 Pipeline Overview

```
STEP 1: Setup & Config        → Define all paths, constants, hyperparams
STEP 2: EDA                   → Understand train.csv, taxonomy.csv, sample_submission.csv
STEP 3: Audio Processing      → Load .ogg files, split into 5-second segments
STEP 4: Mel Spectro",,,0,,0,,,0,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,,,,,,,,,,,,,0.5,3404.0,21,2026-03-11 22:13:47.713000,0.5,0.weak_<0.900
aidensong123__birdclef-2026-sed-baseline-lb-0-862,aidensong123/birdclef-2026-sed-baseline-lb-0-862,birdclef-2026-sed-baseline-lb-0-862.ipynb,1,1.0,0.0,0.0,8614,,,,0,,0,,,0,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,,0.946,867.0,56,2026-04-01 13:28:07.683000,0.946,3.high_0.940-0.948
aidensong123__birdclef-2026-sed-baseline-training-lb-0-862,aidensong123/birdclef-2026-sed-baseline-training-lb-0-862,birdclef-2026-sed-baseline-training-lb-0-862.ipynb,1,1.0,0.0,0.0,21864,,,,0,,0,,,0,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,0.0,,,,,,,,,,,,,0.946,867.0,14,2026-03-23 03:08:29.517000,0.946,3.high_0.940-0.948
