ref,title,author,lastRunTime,totalVotes
sunderekkiz/birdclef-2026-exp019-eos4-rank-power-06,birdclef 2026 exp019 eos4 rank power 06,Derek,2026-05-17 12:00:15.713000,101
nina2025/birdclef-2026-eos-4,BirdCLEF+ 2026 | EoS.4,F.A.Nina,2026-05-17 01:08:38.970000,198
vyankteshdwivedi/birdclef-2026-protossm-sed-0-948,BirdCLEF+ 2026 · ProtoSSM + SED · 0.948,zorojuro,2026-05-16 17:24:51.257000,32
raunakdey07/birdclef-2026-v6,BirdCLEF+ 2026 V6,Raunak Dey,2026-05-17 08:43:15.997000,16
safar1/lb-score-0-948,[LB] [SCORE] [0.948],Safarbek,2026-05-17 12:47:53.867000,93
youssefmo942009/lb-0-948,LB 0.948,youssef abukhalifa,2026-05-16 13:23:22.693000,121
pilkwang/948-birdclef-26-acoustic-time-window-rank-fusion,948- BirdCLEF+ 26 Acoustic Time-Window Rank Fusion,Pilkwang Kim,2026-05-16 22:47:44.307000,77
adarsh5harma/birdclef-2026-v54-lb-0948-swap,BirdCLEF 2026 v54 lb 0948 swap,Adarsh Sharma,2026-05-16 15:53:21.120000,3
mtoshidesu/test-0-948,test- 0.948,m-toshi desu,2026-05-17 00:07:02.847000,14
zeyadmohamadezzat/birdclef-2026-eos-parity-inference,BirdCLEF+ 2026 | EOS Parity Inference,Zeyad Mohamad Ezzat,2026-05-16 21:26:29.270000,5
karnakbaevarthur/power-optimization,Power optimization,Karnakbayev Artur,2026-05-16 19:04:36.500000,48
mtoshidesu/birdclef-2026-visual-cpu-inference,BirdCLEF 2026 | Visual CPU Inference,m-toshi desu,2026-05-17 15:47:15.137000,17
karnakbaevarthur/optimized-dual-architecture-ensemble,Optimized Dual-Architecture Ensemble,Karnakbayev Artur,2026-05-17 11:25:39.137000,4
amulopapa67/birdclef-2026-youssef-lb0948-20260517,birdclef 2026 youssef lb0948 20260517,amulopapa67,2026-05-17 09:12:13.957000,0
kotata0306/birdclef-2026-youssef-lb0948-base,BirdCLEF 2026 Youssef LB0948 Base,Kotata0306,2026-05-17 10:56:58.157000,2
kotata0306/birdclef-2026-youssef-b1c1-smooth-spike,BirdCLEF 2026 Youssef B1C1 Smooth Spike,Kotata0306,2026-05-17 13:21:44.530000,0
kotata0306/birdclef-2026-youssef-a1-rankblend-sedup,BirdCLEF 2026 Youssef A1 Rankblend Sedup,Kotata0306,2026-05-17 13:21:44.703000,0
kotata0306/birdclef-2026-youssef-e3-nonaves-sed-guard,BirdCLEF 2026 Youssef E3 NonAves SED Guard,Kotata0306,2026-05-17 14:28:39.727000,0
kotata0306/birdclef-2026-youssef-c2-birdnet-aves-spike,BirdCLEF 2026 Youssef C2 BirdNET Aves Spike,Kotata0306,2026-05-17 14:28:41.883000,0
raunakdey07/birdclef-26-v7-notebook,BirdCLEF+ '26 V7 Notebook,Raunak Dey,2026-05-14 04:30:23.327000,104
aixonvittle/train-model-tf,Train_model_TF,BNBU Liang Jun,2026-05-17 00:37:14.403000,1
meenalsinha/birdclef-2026-improved,BirdCLEF+ 2026 Improved,Meenal Sinha,2026-05-17 16:20:16.797000,55
raunakdey07/birdclef-2026-deep-protossm-sed-dynamic-blend,BirdCLEF+ 2026 | Deep ProtoSSM & SED Dynamic Blend,Raunak Dey,2026-05-15 05:51:51.080000,58
nina2025/birdclef-2026-eos-3,BirdCLEF+ 2026 | EoS.3,F.A.Nina,2026-05-14 00:19:27.570000,109
mtoshidesu/birdclef-2026-0-947-lb-public-pipeline-reproduced,BirdCLEF 2026 0.947 LB: Public Pipeline Reproduced,m-toshi desu,2026-05-15 06:03:18.223000,160
yaroslavkholmirzayev/birdnet-third-branch-site-hour-prior-restore,BirdNET Third Branch + Site-Hour Prior Restore,Yaroslav kholmirzayev,2026-05-13 14:25:02.583000,37
romanrozen/birdclef-2026-stable-0-947,BirdCLEF+ 2026 stable 0.947,Roman Rozen,2026-05-14 19:06:36.177000,15
wangdongyang/birdclef-2026-0-947-lb-b2-blend,birdclef-2026-0-947-lb-b2-blend,WANG DONGYANG,2026-05-13 18:52:04.510000,5
youssefmo942009/small-tweaks-on-lb-score-0-947,Small tweaks on [LB] [SCORE] [0.947],youssef abukhalifa,2026-05-13 19:59:18.297000,33
anthonytherrien/birdclef-ensemble-of-solutions,BirdCLEF+ | Ensemble of solutions,AnthonyTherrien,2026-05-16 14:03:04.543000,27
adarsh5harma/birdclef-2026-v42-fork-0947,BirdCLEF 2026 v42 fork 0947,Adarsh Sharma,2026-05-14 22:11:21.383000,3
youssefmo942009/0-947-lb-improved,0.947 lb improved,youssef abukhalifa,2026-05-15 00:50:36.180000,48
adarsh5harma/birdclef-2026-v44-nina-q4,BirdCLEF 2026 v44 nina q4,Adarsh Sharma,2026-05-15 08:54:22.260000,2
adarsh5harma/birdclef-2026-v45-improved,BirdCLEF 2026 v45 improved,Adarsh Sharma,2026-05-15 09:22:18.510000,3
mtoshidesu/lb-improved, lb improved,m-toshi desu,2026-05-16 14:29:39.307000,35
adarsh5harma/birdclef-2026-v46-raunak-deep,BirdCLEF 2026 v46 raunak deep,Adarsh Sharma,2026-05-15 10:44:03.723000,1
adarsh5harma/birdclef-2026-v47-iter-pseudo,BirdCLEF 2026 v47 iter pseudo,Adarsh Sharma,2026-05-15 18:09:18.623000,0
adarsh5harma/birdclef-2026-v48-effnet18,BirdCLEF 2026 v48 effnet18,Adarsh Sharma,2026-05-15 18:40:51.070000,0
adarsh5harma/birdclef-2026-v50-dual-iter,BirdCLEF 2026 v50 dual iter,Adarsh Sharma,2026-05-15 21:22:27.327000,0
