ref,title,author,lastRunTime,totalVotes,author_user,users,best_score,best_rank,n_teams,features_v2__slug,features_v2__filename,features_v2__n_cells,features_v2__n_code_cells,features_v2__n_md_cells,features_v2__n_md_chars,features_v2__n_code_chars,features_v2__first_md,features_v2__config_lb_max,features_v2__config_lb_list,features_v2__n_config_lb,features_v2__lb_prefix_max,features_v2__n_lb_prefix,features_v2__bare_score_max,features_v2__bare_score_min,features_v2__n_bare_scores,features_v2__best_score,features_v2__feat__uses_perch,features_v2__feat__uses_perch_v2,features_v2__feat__uses_birdnet,features_v2__feat__uses_sed,features_v2__feat__uses_protossm,features_v2__feat__uses_residual_ssm,features_v2__feat__uses_efficientnet,features_v2__feat__uses_hgnet,features_v2__feat__uses_convnext,features_v2__feat__uses_resnet,features_v2__feat__uses_passt,features_v2__feat__uses_beats,features_v2__feat__uses_mae,features_v2__feat__uses_tucker,features_v2__feat__uses_mlp_probes,features_v2__feat__uses_train_audio,features_v2__feat__aug_mixup,features_v2__feat__aug_cutmix,features_v2__feat__aug_specaugment,features_v2__feat__aug_time_shift,features_v2__feat__aug_flip,features_v2__feat__aug_clipping,features_v2__feat__aug_gain,features_v2__feat__loss_focal,features_v2__feat__loss_bce,features_v2__feat__loss_softauc,features_v2__feat__ssl_pseudo,features_v2__feat__ssl_iterative,features_v2__feat__tweak_A_per_class,features_v2__feat__tweak_C_residual,features_v2__feat__tweak_D_hour_smooth,features_v2__feat__tweak_E_wide_mlp,features_v2__feat__tweak_F_flip_tta,features_v2__feat__tweak_G_birdnet_weight,features_v2__feat__sonotype_mirror,features_v2__feat__site_hour_prior,features_v2__feat__rank_aware,features_v2__feat__file_confidence,features_v2__feat__adaptive_delta,features_v2__feat__uses_onnx,features_v2__feat__uses_torch,features_v2__feat__uses_tf,features_v2__feat__val_groupkfold,features_v2__feat__val_stratified,features_v2__feat__ext_data,features_v2__n_fork_refs,features_v2__fork_refs,features_v2__num__n_windows,features_v2__num__window_sec,features_v2__num__rank_power,features_v2__num__n_classes,features_v2__num__lambda_prior,features_v2__num__file_conf_power,features_v2__num__alpha_blend,features_v2__num__correction_weight,features_v2__num__lambda_in_apply_prior,features_v2__num__ensemble_w_mapped,features_v2__title_score,deps__n_inputs,deps__input_slugs,deps__n_notebooks_used,deps__notebooks_used,deps__n_datasets_used,deps__datasets_used,deps__n_models_used,deps__models_used,deps__competitions_used,deps__slug,blends__n_blend_configs,blends__max_n_models,blends__all_models,blends__all_weights,blends__all_lbs,diffs__n_deltas,diffs__deltas_sample,diffs__n_versions_mentioned,diffs__version_scores,diffs__n_score_progresses,diffs__score_progresses_sample
sunderekkiz/birdclef-2026-exp019-eos4-rank-power-06,birdclef 2026 exp019 eos4 rank power 06,Derek,2026-05-17 12:00:15.713000,101,sunderekkiz,sunderekkiz,0.949,74.0,1.0,sunderekkiz__birdclef-2026-exp019-eos4-rank-power-06,birdclef-2026-exp019-eos4-rank-power-06.ipynb,20.0,10.0,10.0,7487.0,361977.0,"# exp019 — EoS.4 0.948 + exp017 lambda_prior=0.5 + rank_aware_scaling(power) 0.5 -> 0.6

Stacked single-scalar probe. Base = exp017 (Kaggle pending; expected >= 0.948 per
user UI signal). One additional scalar change layered on top:
- `rank_aware_scaling(probs,    n_windows=N_WINDOWS, power=0.5)` -> `rank_aware_scaling(probs,    n_windows=N_WINDOWS, power=0.6)`

Rationale: orthogonal dial test. fi",0.948,0.9480|0.9280,2.0,0.948,1.0,0.999,0.912,9.0,0.948,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,8.0,hideyukizushi/bird26-reproduce-perch-protossm-resssm-inf-train|mtoshidesu/tedbirdclef-2026-improved|nikitababich/birdclef2025-1st-place-inference|nina2025/birdclef-2026-ensemble-of-solutions|nina2025/birdclef-2026-eos-4|pilkwang/948-birdclef-26-acoustic-time-window-rank-fusion|pilkwang/birdclef-2026-safe-ensemble|tuckerarrants/bc2026-distilled-sed,12.0,5.0,0.5,,0.5,0.4,0.4,0.3,0.4,0.6,0.948,6.0,birdclef-2026|competitions|datasets|models|notebooks|perch-meta,2.0,ashok205/tf-wheels|vyankteshdwivedi/notebook1b25083f0d,6.0,hideyukizushi/sgkfk-202604041716|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|tuckerarrants/bc2026-distilled-sed-public|tuckerarrants/birdclef-2026-waveform-cache|tuckerarrants/perch-v2-no-dft-onnx,1.0,google/bird-vocalization-classifier,birdclef-2026,sunderekkiz__birdclef-2026-exp019-eos4-rank-power-06,2.0,1.0,||Karnakbayev_PowerOptimization_LB0948,1||1.000,0.948||0.948,2.0,increased from=128→256|increased from=2→3,5.0,v9:0.948|v10:0.928|v11:0.928|v12:0.928|v13:0.928,0.0,
nina2025/birdclef-2026-eos-4,BirdCLEF+ 2026 | EoS.4,F.A.Nina,2026-05-17 01:08:38.970000,198,nina2025,nina2025,0.948,165.0,1.0,nina2025__birdclef-2026-eos-4,birdclef-2026-eos-4.ipynb,20.0,10.0,10.0,5316.0,361977.0,"&nbsp;

**Dear colleagues and friends**! &nbsp; Please listen:

In this notebook, we'll attempt to vertically divide two tests and assign slightly different weights to each half. We think we should notice something. First, we'll simply divide it into two even halves. Then we'll shift the cutoff point—first in one direction and then in the other. In short, it's about a 2-3-day journey.

First, we'l",0.948,0.9480|0.9280,2.0,0.948,1.0,0.999,0.912,9.0,0.948,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,8.0,hideyukizushi/bird26-reproduce-perch-protossm-resssm-inf-train|mtoshidesu/tedbirdclef-2026-improved|nikitababich/birdclef2025-1st-place-inference|nina2025/birdclef-2026-ensemble-of-solutions|nina2025/birdclef-2026-eos-4|pilkwang/948-birdclef-26-acoustic-time-window-rank-fusion|pilkwang/birdclef-2026-safe-ensemble|tuckerarrants/bc2026-distilled-sed,12.0,5.0,0.5,,0.4,0.4,0.4,0.3,0.4,0.6,,6.0,birdclef-2026|competitions|datasets|models|notebooks|perch-meta,2.0,ashok205/tf-wheels|vyankteshdwivedi/notebook1b25083f0d,6.0,hideyukizushi/sgkfk-202604041716|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|tuckerarrants/bc2026-distilled-sed-public|tuckerarrants/birdclef-2026-waveform-cache|tuckerarrants/perch-v2-no-dft-onnx,1.0,google/bird-vocalization-classifier,birdclef-2026,nina2025__birdclef-2026-eos-4,2.0,1.0,||Karnakbayev_PowerOptimization_LB0948,1||1.000,0.948||0.948,2.0,increased from=128→256|increased from=2→3,5.0,v9:0.948|v10:0.928|v11:0.928|v12:0.928|v13:0.928,0.0,
vyankteshdwivedi/birdclef-2026-protossm-sed-0-948,BirdCLEF+ 2026 · ProtoSSM + SED · 0.948,zorojuro,2026-05-16 17:24:51.257000,32,vyankteshdwivedi,vyankteshdwivedi,0.948,263.0,1.0,vyankteshdwivedi__birdclef-2026-protossm-sed-0-948,birdclef-2026-protossm-sed-0-948.ipynb,27.0,27.0,0.0,0.0,77617.0,,,,0.0,,0.0,,,0.0,,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,0.0,,12.0,5.0,0.4,,0.4,0.4,0.4,0.3,0.4,0.6,,4.0,competitions|datasets|models|notebooks,1.0,vyankteshdwivedi/notebook1b25083f0d,2.0,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1.0,google/bird-vocalization-classifier,birdclef-2026,vyankteshdwivedi__birdclef-2026-protossm-sed-0-948,,,,,,1.0,3=2→64,0.0,,0.0,
raunakdey07/birdclef-2026-v6,BirdCLEF+ 2026 V6,Raunak Dey,2026-05-17 08:43:15.997000,16,raunakdey07,raunakdey07,0.948,221.0,1.0,raunakdey07__birdclef-2026-v6,birdclef-2026-v6.ipynb,11.0,7.0,4.0,3814.0,79327.0,"# BirdCLEF 2026 | Acoustic Time-Window Rank Fusion

## Overview
This notebook implements an Acoustic Time-Window Rank Fusion approach for the BirdCLEF 2026 competition. The system relies on a rank-based blending strategy to integrate heterogeneous predictive models, minimizing calibration mismatches and focusing heavily on ordering quality rather than raw probability values.

## Prediction Model

",0.948,0.9480,1.0,0.948,1.0,0.999,0.948,2.0,0.948,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,3.0,karnakbaevarthur/power-optimization|nina2025/birdclef-2026-eos-4|pilkwang/948-birdclef-26-acoustic-time-window-rank-fusion,12.0,5.0,0.5,,0.4,0.4,0.4,0.3,0.4,0.6,,5.0,birdclef-2026|competitions|datasets|models|notebooks,1.0,vyankteshdwivedi/notebook1b25083f0d,1.0,jaejohn/perch-meta,1.0,google/bird-vocalization-classifier,birdclef-2026,raunakdey07__birdclef-2026-v6,1.0,1.0,Karnakbayev_PowerOptimization_LB0948,1.000,0.948,0.0,,0.0,,0.0,
safar1/lb-score-0-948,[LB] [SCORE] [0.948],Safarbek,2026-05-17 12:47:53.867000,93,safar1,safar1,0.948,365.0,1.0,safar1__lb-score-0-948,lb-score-0-948.ipynb,1.0,1.0,0.0,0.0,76221.0,,,,0.0,,0.0,,,0.0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,0.0,,12.0,5.0,0.4,,0.4,0.4,0.4,0.3,0.4,0.6,,4.0,competitions|datasets|models|notebooks,1.0,vyankteshdwivedi/notebook1b25083f0d,2.0,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1.0,google/bird-vocalization-classifier,birdclef-2026,safar1__lb-score-0-948,,,,,,2.0,3=5→0.20|2=5→0.30,0.0,,0.0,
youssefmo942009/lb-0-948,LB 0.948,youssef abukhalifa,2026-05-16 13:23:22.693000,121,youssefmo942009,youssefmo942009,0.948,180.0,1.0,youssefmo942009__lb-0-948,lb-0-948.ipynb,1.0,1.0,0.0,0.0,76221.0,,,,0.0,,0.0,,,0.0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,0.0,,12.0,5.0,0.4,,0.4,0.4,0.4,0.3,0.4,0.6,,4.0,competitions|datasets|models|notebooks,1.0,vyankteshdwivedi/notebook1b25083f0d,2.0,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1.0,google/bird-vocalization-classifier,birdclef-2026,youssefmo942009__lb-0-948,,,,,,2.0,3=5→0.20|2=5→0.30,0.0,,0.0,
pilkwang/948-birdclef-26-acoustic-time-window-rank-fusion,948- BirdCLEF+ 26 Acoustic Time-Window Rank Fusion,Pilkwang Kim,2026-05-16 22:47:44.307000,77,pilkwang,pilkwang,0.948,156.0,1.0,pilkwang__948-birdclef-26-acoustic-time-window-rank-fusion,948-birdclef-26-acoustic-time-window-rank-fusion.ipynb,12.0,7.0,5.0,3322.0,79561.0,"# BirdCLEF+ 2026 | Acoustic Time-Window Rank Fusion

References and thanks: F.A.Nina's [BirdCLEF+ 2026 | EoS.4](https://www.kaggle.com/code/nina2025/birdclef-2026-eos-4) and Karnakbayev Artur's [Power optimization](https://www.kaggle.com/code/karnakbaevarthur/power-optimization).

## Prediction Model

```text
p_final = G(0.600 * R(p_proto) + 0.400 * R(p_sed))
```

`R` is a class-wise percentile ra",0.948,0.9480,1.0,0.948,1.0,0.999,0.948,2.0,0.948,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,2.0,karnakbaevarthur/power-optimization|nina2025/birdclef-2026-eos-4,12.0,5.0,0.5,,0.4,0.4,0.4,0.3,0.4,0.6,,5.0,birdclef-2026|competitions|datasets|models|notebooks,1.0,vyankteshdwivedi/notebook1b25083f0d,1.0,jaejohn/perch-meta,1.0,google/bird-vocalization-classifier,birdclef-2026,pilkwang__948-birdclef-26-acoustic-time-window-rank-fusion,1.0,1.0,Karnakbayev_PowerOptimization_LB0948,1.000,0.948,0.0,,0.0,,0.0,
adarsh5harma/birdclef-2026-v54-lb-0948-swap,BirdCLEF 2026 v54 lb 0948 swap,Adarsh Sharma,2026-05-16 15:53:21.120000,3,adarsh5harma,adarsh5harma,0.948,342.0,1.0,adarsh5harma__birdclef-2026-v54-lb-0948-swap,birdclef-2026-v54-lb-0948-swap.ipynb,1.0,1.0,0.0,0.0,76221.0,,,,0.0,,0.0,,,0.0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,0.0,,12.0,5.0,0.4,,0.4,0.4,0.4,0.3,0.4,0.6,,4.0,competitions|datasets|models|notebooks,1.0,vyankteshdwivedi/notebook1b25083f0d,2.0,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1.0,google/bird-vocalization-classifier,birdclef-2026,adarsh5harma__birdclef-2026-v54-lb-0948-swap,,,,,,2.0,3=5→0.20|2=5→0.30,0.0,,0.0,
mtoshidesu/test-0-948,test- 0.948,m-toshi desu,2026-05-17 00:07:02.847000,14,mtoshidesu,mtoshidesu,0.948,341.0,1.0,mtoshidesu__test-0-948,test-0-948.ipynb,12.0,11.0,1.0,433.0,66559.0,"# BirdCLEF 2026 — Score Recovery Memory-Safe Commit Version

This notebook is based on the supplied 0.948-style code, with only these memory-risk parts removed or changed:

- BirdNET block removed
- TensorFlow SavedModel is not preloaded when ONNX Perch is available
- `batch_files` reduced from 16 to 8

The effective final blend remains ProtoSSM 60% + SED 40%, matching the original fallback behavi",,,0.0,,0.0,0.948,0.948,1.0,0.948,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,0.0,,12.0,5.0,0.4,,0.4,0.4,0.4,0.3,0.4,0.6,,4.0,competitions|datasets|models|notebooks,1.0,vyankteshdwivedi/notebook1b25083f0d,2.0,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1.0,google/bird-vocalization-classifier,birdclef-2026,mtoshidesu__test-0-948,,,,,,1.0,reduced from=16→8,0.0,,0.0,
zeyadmohamadezzat/birdclef-2026-eos-parity-inference,BirdCLEF+ 2026 | EOS Parity Inference,Zeyad Mohamad Ezzat,2026-05-16 21:26:29.270000,5,zeyadmohamadezzat,zeyadmohamadezzat,0.948,309.0,1.0,zeyadmohamadezzat__birdclef-2026-eos-parity-inference,birdclef-2026-eos-parity-inference.ipynb,1.0,1.0,0.0,0.0,87470.0,,,,0.0,,0.0,0.948,0.948,1.0,0.948,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,0.0,,12.0,5.0,0.4,,0.4,0.4,0.4,0.3,0.4,0.6,,6.0,birdclef-2026|competitions|datasets|models|notebooks|perch-meta,1.0,vyankteshdwivedi/notebook1b25083f0d,1.0,jaejohn/perch-meta,1.0,google/bird-vocalization-classifier,birdclef-2026,zeyadmohamadezzat__birdclef-2026-eos-parity-inference,,,,,,2.0,3=5→0.20|2=5→0.30,0.0,,0.0,
