class,class_name,common_name,perch_max,perch_mean,lab_windows,best_partner,partner_jaccard,strategy
517063,Amphibia,Southern Orange-legged Leaf Fr,0.2852,0.00397,313,65380,0.6006389776357828,USE_HOURLY_PRIOR
47158son25,Insecta,Insect sonotype25,0.3335,0.0319,84,47158son17,0.40476190476190477,USE_HOURLY_PRIOR
1491113,Amphibia,Guaraní leaf-litter frog,0.748,0.10156,79,22967,0.6582278481012658,USE_PERCH
47158son07,Insecta,Insect sonotype07,0.5347,0.01181,48,whtdov,1.0,USE_PERCH
47158son17,Insecta,Insect sonotype17,0.2195,0.01473,43,47158son25,0.7906976744186046,BROADCAST_FROM(47158son25)
47158son11,Insecta,Insect sonotype11,0.7437,0.01479,36,47158son24,0.6666666666666666,USE_PERCH
47158son13,Insecta,Insect sonotype13,0.4854,0.01536,36,47158son25,0.6666666666666666,USE_HOURLY_PRIOR
47158son03,Insecta,Insect sonotype03,0.629,0.005775,33,chacha1,0.48484848484848486,USE_HOURLY_PRIOR
47158son10,Insecta,Insect sonotype10,0.2935,0.01103,33,47158son25,1.0,BROADCAST_FROM(47158son25)
47158son23,Insecta,Insect sonotype23,0.1821,0.0047,24,47158son25,1.0,BROADCAST_FROM(47158son25)
47158son22,Insecta,Insect sonotype22,0.1859,0.00468,24,47158son25,1.0,BROADCAST_FROM(47158son25)
47158son24,Insecta,Insect sonotype24,0.5894,0.00581,24,47158son11,1.0,BROADCAST_FROM(47158son11)
47158son01,Insecta,Insect sonotype01,0.4846,0.005886,23,47158son25,0.5217391304347826,USE_HOURLY_PRIOR
47158son21,Insecta,Insect sonotype21,0.1838,0.004677,22,47158son25,1.0,BROADCAST_FROM(47158son25)
47158son06,Insecta,Insect sonotype06,0.11523,0.00408,18,47158son25,1.0,BROADCAST_FROM(47158son25)
47158son08,Insecta,Insect sonotype08,0.1024,0.001681,17,chacha1,0.7058823529411765,BROADCAST_FROM(chacha1)
47158son04,Insecta,Insect sonotype04,0.3904,0.0089,17,47158son25,0.7058823529411765,BROADCAST_FROM(47158son25)
47158son14,Insecta,Insect sonotype14,0.0628,0.002354,12,47158son25,1.0,BROADCAST_FROM(47158son25)
47158son15,Insecta,Insect sonotype15,0.0796,0.001392,12,47158son25,1.0,BROADCAST_FROM(47158son25)
25073,Amphibia,Chiasmocleis mehelyi,0.4253,0.00368,12,47158son11,1.0,BROADCAST_FROM(47158son11)
47158son20,Insecta,Insect sonotype20,0.03946,0.001312,12,47158son08,1.0,BROADCAST_FROM(47158son08)
47158son18,Insecta,Insect sonotype18,0.02875,0.001502,12,47158son03,1.0,BROADCAST_FROM(47158son03)
47158son16,Insecta,Insect sonotype16,0.07745,0.00138,12,47158son25,1.0,BROADCAST_FROM(47158son25)
47158son02,Insecta,Insect sonotype02,0.04327,0.001413,7,47158son25,1.0,BROADCAST_FROM(47158son25)
47158son09,Insecta,Insect sonotype09,0.3975,0.00147,6,47158son11,1.0,BROADCAST_FROM(47158son11)
47158son12,Insecta,Insect sonotype12,0.2482,0.00106,5,47158son11,1.0,BROADCAST_FROM(47158son11)
47158son19,Insecta,Insect sonotype19,0.02202,0.0009212,5,chacha1,1.0,BROADCAST_FROM(chacha1)
47158son05,Insecta,Insect sonotype05,0.05786,0.00179,3,47158son13,1.0,BROADCAST_FROM(47158son13)
