,0.weak_<0.900,1.low_0.900-0.925,2.mid_0.925-0.940,3.high_0.940-0.948,4.elite_0.948-0.955,5.top_0.955+
feat__uses_perch,0.21649484536082475,0.5,0.9148936170212766,0.8072289156626506,0.7899159663865546,0.25
feat__uses_perch_v2,0.1958762886597938,0.5,0.9148936170212766,0.7951807228915663,0.7983193277310925,0.25
feat__uses_birdnet,0.05154639175257732,0.0,0.0,0.0963855421686747,0.15966386554621848,0.0
feat__uses_sed,0.061855670103092786,0.045454545454545456,0.06382978723404255,0.5301204819277109,0.47058823529411764,0.75
feat__uses_protossm,0.0,0.18181818181818182,0.7446808510638298,0.6987951807228916,0.7142857142857143,0.25
feat__uses_residual_ssm,0.0,0.09090909090909091,0.7021276595744681,0.6746987951807228,0.6890756302521008,0.25
feat__uses_efficientnet,0.4020618556701031,0.2727272727272727,0.19148936170212766,0.27710843373493976,0.2689075630252101,0.75
feat__uses_hgnet,0.010309278350515464,0.09090909090909091,0.06382978723404255,0.060240963855421686,0.008403361344537815,0.0
feat__uses_convnext,0.041237113402061855,0.0,0.0,0.060240963855421686,0.0,0.0
feat__uses_resnet,0.10309278350515463,0.0,0.0,0.0,0.025210084033613446,0.0
feat__uses_passt,0.0,0.0,0.0,0.0,0.0,0.0
feat__uses_beats,0.010309278350515464,0.0,0.02127659574468085,0.024096385542168676,0.008403361344537815,0.0
feat__uses_mae,0.0,0.0,0.0,0.0,0.0,0.0
feat__uses_tucker,0.0,0.0,0.02127659574468085,0.42168674698795183,0.21008403361344538,0.25
feat__uses_mlp_probes,0.041237113402061855,0.2727272727272727,0.7446808510638298,0.6867469879518072,0.7058823529411765,0.25
feat__uses_train_audio,0.5876288659793815,0.3181818181818182,0.1276595744680851,0.3132530120481928,0.12605042016806722,0.25
feat__aug_mixup,0.1958762886597938,0.22727272727272727,0.6595744680851063,0.6746987951807228,0.6722689075630253,0.25
feat__aug_cutmix,0.05154639175257732,0.09090909090909091,0.10638297872340426,0.12048192771084337,0.19327731092436976,0.0
feat__aug_specaugment,0.17525773195876287,0.13636363636363635,0.02127659574468085,0.12048192771084337,0.05042016806722689,0.0
feat__aug_time_shift,0.07216494845360824,0.09090909090909091,0.7021276595744681,0.6024096385542169,0.680672268907563,0.25
feat__aug_flip,0.0,0.0,0.0,0.0,0.12605042016806722,0.0
feat__aug_clipping,0.0,0.0,0.0,0.0,0.0,0.0
feat__aug_gain,0.010309278350515464,0.045454545454545456,0.0,0.0,0.0,0.0
feat__loss_focal,0.12371134020618557,0.18181818181818182,0.6170212765957447,0.21686746987951808,0.2857142857142857,0.0
feat__loss_bce,0.17525773195876287,0.18181818181818182,0.0425531914893617,0.024096385542168676,0.03361344537815126,0.0
feat__loss_softauc,0.0,0.0,0.0,0.0,0.008403361344537815,0.0
feat__ssl_pseudo,0.07216494845360824,0.09090909090909091,0.0,0.03614457831325301,0.03361344537815126,0.0
feat__ssl_iterative,0.010309278350515464,0.0,0.0,0.024096385542168676,0.008403361344537815,0.0
feat__tweak_A_per_class,0.0,0.0,0.0,0.024096385542168676,0.12605042016806722,0.0
feat__tweak_C_residual,0.0,0.0,0.0,0.024096385542168676,0.15126050420168066,0.0
feat__tweak_D_hour_smooth,0.0,0.0,0.0,0.0,0.12605042016806722,0.0
feat__tweak_E_wide_mlp,0.0,0.0,0.0,0.0,0.1092436974789916,0.0
feat__tweak_F_flip_tta,0.0,0.0,0.0,0.0,0.12605042016806722,0.0
feat__tweak_G_birdnet_weight,0.0,0.0,0.0,0.012048192771084338,0.10084033613445378,0.0
feat__sonotype_mirror,0.0,0.0,0.0,0.25301204819277107,0.2605042016806723,0.25
feat__site_hour_prior,0.0,0.0,0.0425531914893617,0.4819277108433735,0.453781512605042,0.75
feat__rank_aware,0.0,0.09090909090909091,0.6382978723404256,0.5903614457831325,0.6638655462184874,0.25
feat__file_confidence,0.0,0.0,0.0425531914893617,0.4819277108433735,0.42857142857142855,0.25
feat__adaptive_delta,0.0,0.09090909090909091,0.6170212765957447,0.5662650602409639,0.6134453781512605,0.25
feat__uses_onnx,0.030927835051546393,0.18181818181818182,0.1276595744680851,0.6265060240963856,0.5126050420168067,0.25
feat__uses_torch,0.6082474226804123,0.5,0.8297872340425532,0.8554216867469879,0.8907563025210085,1.0
feat__uses_tf,0.24742268041237114,0.5,0.8297872340425532,0.6746987951807228,0.7563025210084033,0.25
feat__val_groupkfold,0.041237113402061855,0.5,0.8085106382978723,0.7108433734939759,0.7226890756302521,0.25
feat__val_stratified,0.15463917525773196,0.09090909090909091,0.02127659574468085,0.08433734939759036,0.07563025210084033,0.0
feat__ext_data,0.030927835051546393,0.09090909090909091,0.0,0.024096385542168676,0.01680672268907563,0.0
