,1161364,116570,1176823,1491113,1595929,209233,22930,22956,22961,22967,22973,22983,22985,23150,23154,23158,23176,23724,24279,24285,24287,24321,244024,25073,25092,25214,326272,41970,43435,47144,47158son01,47158son02,47158son03,47158son04,47158son05,47158son06,47158son07,47158son08,47158son09,47158son10,47158son11,47158son12,47158son13,47158son14,47158son15,47158son16,47158son17,47158son18,47158son19,47158son20,47158son21,47158son22,47158son23,47158son24,47158son25,476521,516975,517063,555123,555145,555146,64898,65377,65380,66971,67107,67252,70711,738183,74113,74580,760266,ashgre1,astcra1,bafcur1,baffal1,banana,barant1,batbel1,baymac,bbwduc,bcwfin2,bkcdon,bkhpar,blchaw1,blheag1,blttit1,bncfly,bobfly1,brcmar1,brnowl,bucmot4,bucpar,bufpar,bunibi1,burowl,camfli1,chacha1,chbmoc1,chobla1,chvcon1,cibspi1,coffal1,compau,compot1,crbthr1,crebec1,dwatin1,epaori4,eulfly1,fabwre1,fepowl,ficman1,flawar1,fotfly,fusfly1,gilhum1,giwrai1,glteme1,grasal3,greani1,greant1,greela,grekis,grepot1,gretho2,greyel,grfdov1,grhtan1,gycwor1,horscr1,houspa,hyamac1,larela1,lesela1,lesgrf1,limpki,linwoo1,litcuc2,litnig1,mabpar,magant1,magtan2,masgna1,nacnig1,ocecra1,oliwoo1,orbtro3,orwpar,osprey,pabspi1,palhor3,paltan1,phecuc1,picpig2,pirfly1,plasla1,platyr1,plcjay1,pluibi1,purjay1,pvttyr1,ragmac1,rebscy1,recfin1,redjun,relser1,rinkin1,rivwar1,roahaw,rubthr1,rufcac2,rufcas2,rufgna3,rufhor2,rufnig1,ruftho1,ruftof1,rumfly1,ruther1,rutjac1,sabspa1,saffin,saytan1,scadov1,schpar1,scther1,shcfly1,shshaw,shtnig1,sibtan2,smbani,smbtin1,sobcac1,sobtyr1,socfly1,sofspi1,souant1,soulap1,souscr1,spbant3,spispi1,sptnig1,squcuc1,stbwoo2,strcuc1,strher2,strowl1,swthum1,swtman1,tattin1,thlwre1,toctou1,trokin,trsowl,undtin1,varant1,watjac1,wesfie1,wfwduc1,whbant2,whbwar2,whiwoo1,whlspi1,whnjay1,whtdov,whwpic1,y00678,yebcar,yebela1,yecmac,yecpar,yehcar1,yeofly1
S04,0.0001757,0.03082,0.0001659,0.01243,0.00011724,0.00259,0.0001439,0.0007524,0.0004406,0.0003865,0.03552,0.0004396,0.00010556,5.01e-05,0.0001321,0.01214,0.0001448,7.38e-05,0.01024,0.001852,0.000612,0.000288,0.001122,0.00156,0.003801,8.094e-05,0.002985,0.00202,0.00243,0.06168,0.009445,0.003414,0.03099,0.02591,0.003168,0.01404,0.02542,0.005943,0.002455,0.0847,0.03036,0.001664,0.02332,0.00567,0.00824,0.00808,0.04202,0.003918,0.002872,0.004234,0.007275,0.007355,0.007328,0.0086,0.1525,8.6e-05,0.02225,0.0003793,9.7e-05,0.0001993,0.00228,9.57e-05,0.00632,0.04242,0.0008283,0.0004954,0.001976,8.43e-05,9.08e-05,0.009415,0.000442,0.0001502,0.00652,0.003353,0.0215,0.004993,0.05402,0.0428,0.01112,0.02898,0.0857,0.01377,0.01697,0.00999,0.005383,0.01499,0.002663,0.03818,0.04987,0.00869,0.05957,0.00896,0.0166,0.01482,0.02216,0.03726,0.010765,0.1576,0.0225,0.0199,0.06232,0.002764,0.04498,0.08685,0.1646,0.00975,0.0159,0.0010195,0.04053,0.0177,0.003899,0.0801,0.002516,0.02225,0.011055,0.07007,0.005547,0.009674,0.02333,0.04172,0.02158,0.024,0.02786,0.1852,0.00507,0.0463,0.0813,0.005447,0.006905,0.01843,0.006287,0.1276,0.0171,0.013756,0.01924,0.006824,0.07434,0.0341,0.010284,0.01519,0.011665,0.008675,0.00909,0.04306,0.00788,0.00215,0.03055,0.00207,0.03668,0.0954,0.02629,0.014046,0.03696,0.00398,0.0318,0.02692,0.004765,0.005463,0.03357,0.005928,0.00478,0.04108,0.01443,0.011375,0.02022,0.04678,0.00695,0.01338,0.002825,0.1398,0.05072,0.00619,0.00839,0.0184,0.1198,0.004436,0.02328,0.00707,0.02136,0.03748,0.0574,0.00409,0.0903,0.05103,0.01156,0.011,0.01945,0.00987,0.0187,0.00439,0.02948,0.0216,0.004967,0.01775,0.08057,0.0729,0.05942,0.01659,0.05045,0.01337,0.008766,0.005985,0.003168,0.041,0.01277,0.03168,0.0394,0.05014,0.01343,0.00785,0.011314,0.04895,0.00409,0.08295,0.1301,0.05533,0.01894,0.0309,0.02448,0.0537,0.001819,0.007454,0.008255,0.002296,0.003038,0.2418,0.01215,0.0199,0.005173,0.02495,0.003016,0.03555,0.02455,0.04987
S05,0.0001394,0.02475,0.000118,0.01525,0.0001041,0.0022,0.0001033,0.0003204,0.002369,0.00075,0.122,0.0002342,0.0001019,3.964e-05,0.0001122,0.06616,9.08e-05,6.324e-05,0.473,0.005547,0.005875,0.0005016,0.02159,0.003065,0.02242,6.94e-05,0.006474,0.003336,0.002878,0.03168,0.01325,0.001744,0.01846,0.02255,0.00497,0.00887,0.02428,0.00578,0.002464,0.03516,0.03397,0.001733,0.02736,0.002993,0.00405,0.00404,0.0423,0.003397,0.002445,0.00395,0.00911,0.00938,0.00952,0.00939,0.1035,8.017e-05,0.00993,0.00586,8.15e-05,0.002516,0.08453,6.78e-05,0.005623,0.1821,0.01021,0.000264,0.003794,6.825e-05,9.364e-05,0.01028,0.0003076,0.0001037,0.00352,0.00875,0.0356,0.006996,0.006878,0.04208,0.01126,0.01315,0.0321,0.001178,0.0331,0.001519,0.00981,0.01929,0.03696,0.06113,0.02417,0.00444,0.02782,0.02621,0.00529,0.02295,0.04233,0.01504,0.004723,0.1305,0.03275,0.01129,0.02354,0.001134,0.0666,0.2013,0.1749,0.0228,0.00847,0.0003545,0.02112,0.005215,0.00419,0.0901,0.001228,0.01445,0.01144,0.0721,0.005283,0.0238,0.002785,0.03683,0.0921,0.04327,0.01907,0.1163,0.03558,0.00982,0.03302,0.02177,0.003342,0.04874,0.01457,0.08075,0.01011,0.02673,0.02315,0.006935,0.1862,0.02596,0.0103,0.04443,0.001175,0.01302,0.005283,0.0212,0.00797,0.00414,0.03021,0.002052,0.03143,0.04572,0.007027,0.009125,0.013054,0.002916,0.02815,0.00706,0.00344,0.001742,0.01675,0.01639,0.002506,0.0305,0.005035,0.00725,0.005737,0.05252,0.02182,0.025,0.0044,0.1003,0.03265,0.001278,0.0064,0.012634,0.0487,0.04025,0.003057,0.03546,0.01582,0.0743,0.0544,0.000777,0.01895,0.02747,0.003492,0.0015955,0.000677,0.01277,0.00925,0.0416,0.02077,0.02473,0.00534,0.02231,0.02448,0.02443,0.0124,0.01567,0.02438,0.01712,0.0158,0.00235,0.002134,0.0568,0.01081,0.0244,0.04797,0.0552,0.002083,0.03128,0.01822,0.05933,0.02213,0.02786,0.1226,0.1418,0.01384,0.11115,0.00814,0.01828,0.001828,0.003498,0.002218,0.0007873,0.003284,0.1858,0.02104,0.03035,0.001051,0.03345,0.0008993,0.00262,0.01435,0.05615
S06,0.0008926,0.02751,0.0001299,0.06177,0.00011134,0.000776,0.0001271,0.0006356,0.002056,0.002071,0.0953,0.000855,8.98e-05,4.09e-05,9.51e-05,0.0376,8.92e-05,6.04e-05,0.06866,0.002396,0.00636,0.0003796,0.001128,0.002636,0.0288,7.76e-05,0.00716,0.007378,0.001647,0.03802,0.01472,0.002375,0.0192,0.01915,0.001047,0.007,0.02084,0.00446,0.003237,0.03577,0.0385,0.00257,0.04218,0.004112,0.005386,0.005196,0.05725,0.005547,0.002884,0.00417,0.015076,0.01521,0.01531,0.0113,0.09894,7.075e-05,0.003952,0.000878,8.106e-05,0.00596,0.1287,7.27e-05,0.01602,0.2052,0.0686,0.02615,0.00129,7.22e-05,6.51e-05,0.003296,0.0002842,0.0001102,0.002289,0.01842,0.03528,0.013115,0.006344,0.04922,0.005585,0.00582,0.01892,0.000527,0.05795,0.0005703,0.004677,0.01909,0.01423,0.0469,0.015526,0.002766,0.0596,0.03592,0.001557,0.009224,0.00222,0.02437,0.002327,0.06354,0.007645,0.003202,0.01775,0.0007443,0.07635,0.3984,0.4402,0.0128,0.00675,0.0004168,0.01059,0.008484,0.0051,0.186,0.002762,0.02673,0.005127,0.04556,0.00777,0.00892,0.003124,0.03683,0.07056,0.086,0.01814,0.04,0.09125,0.008026,0.009445,0.008194,0.003933,0.02835,0.0118,0.05777,0.0214,0.01388,0.03284,0.001292,0.07715,0.0806,0.03094,0.12213,0.0008607,0.00611,0.00662,0.01024,0.03192,0.002869,0.0359,0.000696,0.04532,0.0158,0.00637,0.004154,0.007755,0.00635,0.007385,0.00865,0.006668,0.01483,0.0046,0.00346,0.00243,0.013405,0.003582,0.01712,0.0064,0.05832,0.00891,0.007236,0.003073,0.1112,0.01279,0.000203,0.007786,0.01307,0.0202,0.0636,0.002066,0.02126,0.02313,0.0354,0.01161,0.001276,0.00842,0.003586,0.00735,0.00212,0.0003846,0.02068,0.00598,0.04868,0.00933,0.03244,0.008514,0.03967,0.02226,0.02786,0.007965,0.01347,0.01927,0.006756,0.02075,0.002768,0.00393,0.02882,0.01238,0.0465,0.02979,0.1209,0.001443,0.01477,0.0469,0.0518,0.01614,0.05298,0.387,0.2416,0.00835,0.03485,0.00474,0.004986,0.001577,0.001978,0.004692,0.001484,0.001452,0.1556,0.0208,0.0219,0.0002844,0.01814,0.0003476,0.001601,0.008995,0.05984
S07,0.001026,0.03998,0.0001051,0.07355,0.00010926,0.001166,0.0001247,0.0002126,0.00118,0.0009522,0.0757,0.0003376,8.434e-05,3.934e-05,9.18e-05,0.02313,0.0001509,5.98e-05,0.065,0.003668,0.01046,0.0003498,0.001748,0.00248,0.04373,7.05e-05,0.002575,0.003523,0.002722,0.05508,0.03555,0.002226,0.02144,0.0367,0.003782,0.012184,0.02121,0.00444,0.003603,0.0375,0.03827,0.00284,0.0585,0.003998,0.005157,0.00494,0.0718,0.005253,0.002596,0.003794,0.02785,0.02798,0.02795,0.01189,0.1088,6.49e-05,0.013405,0.000496,7.33e-05,0.002905,0.05402,6.753e-05,0.01578,0.464,0.005604,0.000301,0.001121,6.324e-05,6.26e-05,0.003061,0.0002763,0.0001118,0.001668,0.00848,0.03317,0.004166,0.007572,0.0362,0.00786,0.01804,0.01842,0.0007863,0.0774,0.0007496,0.00952,0.01942,0.0362,0.05246,0.01617,0.01718,0.04654,0.01987,0.004543,0.005405,0.00429,0.02492,0.00432,0.1134,0.01399,0.004726,0.02269,0.001087,0.09717,0.3518,0.3638,0.00852,0.004036,0.000393,0.015274,0.008835,0.00397,0.12335,0.002157,0.03662,0.0905,0.05826,0.01386,0.01403,0.00501,0.02673,0.06134,0.04492,0.02396,0.0683,0.04874,0.013336,0.00846,0.004494,0.00476,0.0378,0.00935,0.0791,0.013054,0.00836,0.011566,0.003181,0.096,0.05334,0.01435,0.04105,0.001275,0.00432,0.00932,0.01246,0.03055,0.0009136,0.02571,0.001214,0.0321,0.01949,0.006287,0.001104,0.00838,0.005135,0.00776,0.004963,0.002758,0.003525,0.02036,0.00713,0.003113,0.02808,0.00934,0.01863,0.00783,0.04852,0.00789,0.0208,0.00926,0.1117,0.01651,0.0002126,0.007935,0.01886,0.01619,0.038,0.002398,0.03375,0.02115,0.0561,0.01487,0.0008054,0.01182,0.00472,0.0094,0.0099,0.0004997,0.01952,0.00803,0.04062,0.0164,0.0363,0.004333,0.03378,0.02527,0.02895,0.007034,0.0165,0.01466,0.004333,0.01651,0.003521,0.001927,0.03754,0.00897,0.07825,0.02695,0.0988,0.00219,0.01525,0.01588,0.08765,0.00795,0.10187,0.2654,0.2954,0.0055,0.0424,0.01166,0.01283,0.00102,0.002876,0.002504,0.0008106,0.003757,0.1674,0.005085,0.01976,0.000378,0.01994,0.0008054,0.00272,0.01345,0.05432
S10,8.75e-05,0.02219,0.0001945,0.01671,9.7e-05,0.001465,7.88e-05,0.0002317,0.000505,0.0003674,0.05948,0.001115,7.33e-05,3.84e-05,9.27e-05,0.02771,9.25e-05,4.92e-05,0.005093,0.000228,0.000412,0.0002868,0.0031,0.001839,0.003551,5.09e-05,0.00789,0.001472,0.00448,0.04572,0.00611,0.002674,0.01288,0.01587,0.00248,0.00973,0.0303,0.006023,0.001848,0.03345,0.0236,0.001043,0.0174,0.00435,0.01421,0.01432,0.03882,0.003752,0.002386,0.00373,0.004646,0.00486,0.004803,0.00657,0.1143,5.93e-05,0.01613,0.0003765,6.39e-05,7.397e-05,0.006954,6.217e-05,0.00601,0.03934,0.001645,0.0002327,0.001535,5.287e-05,8.89e-05,0.007706,0.000253,0.00010014,0.01491,0.0092,0.02818,0.009094,0.0349,0.1151,0.004547,0.01225,0.1746,0.01237,0.0539,0.0944,0.00699,0.012314,0.00488,0.052,0.1425,0.02612,0.0344,0.01333,0.06744,0.0309,0.03766,0.07764,0.03284,0.10846,0.05057,0.1975,0.0659,0.003832,0.02399,0.11115,0.06128,0.04333,0.021,0.001919,0.1484,0.02348,0.007366,0.0653,0.001,0.013054,0.01628,0.1473,0.00784,0.01736,0.00682,0.1799,0.01929,0.08636,0.02267,0.5396,0.0007286,0.1514,0.0414,0.07007,0.006714,0.01749,0.014206,0.2046,0.00974,0.05075,0.0358,0.010254,0.1277,0.03687,0.01659,0.02538,0.0472,0.01883,0.02846,0.07684,0.00931,0.00344,0.03482,0.02028,0.0919,0.1044,0.07355,0.01672,0.0477,0.007156,0.06036,0.014,0.01046,0.005363,0.0582,0.009674,0.006218,0.03806,0.003233,0.01104,0.01666,0.03445,0.00746,0.02356,0.008575,0.1528,0.2793,0.0096,0.003231,0.01808,0.2842,0.003551,0.04434,0.006607,0.04712,0.03143,0.107,0.00236,0.10895,0.05884,0.006454,0.03116,0.002884,0.018,0.009895,0.003492,0.0706,0.0815,0.00842,0.06186,0.0938,0.08655,0.0628,0.013626,0.1026,0.00701,0.00838,0.004986,0.001634,0.06726,0.03156,0.1023,0.05432,0.02026,0.0111,0.011,0.01126,0.1175,0.006317,0.07574,0.07355,0.1372,0.02245,0.03625,0.00878,0.05368,0.003132,0.0053,0.02896,0.01335,0.005352,0.387,0.006042,0.02171,0.04926,0.0688,0.01561,0.1263,0.0504,0.0356
S09,0.0001384,0.00867,0.001141,0.00932,9.036e-05,0.00855,0.0001184,0.0001774,0.000398,0.0003343,0.01093,0.000495,9.15e-05,4.864e-05,0.0001146,0.07074,8.57e-05,6.98e-05,0.06027,0.002249,0.001582,0.0003285,0.001847,0.000478,0.00398,8.41e-05,0.0126,0.0449,0.1475,0.1702,0.001295,0.00309,0.00623,0.003956,0.000513,0.007328,0.01503,0.0015545,0.000551,0.0132,0.00636,0.000362,0.004436,0.00513,0.000649,0.0006356,0.005867,0.0009713,0.0005803,0.0008197,0.001252,0.001162,0.001203,0.002142,0.03247,7.683e-05,0.06464,0.0003982,0.00010365,0.000578,0.003347,8.69e-05,0.002087,0.00748,0.0003679,0.0003312,0.000275,8.786e-05,0.00010896,0.0588,0.0003355,0.0001224,0.00319,0.005783,0.01213,0.04932,0.01147,0.04065,0.0168,0.0716,0.00924,0.0005784,0.002665,0.00537,0.01362,0.00762,0.0009723,0.02332,0.0624,0.001676,0.02145,0.0371,0.01199,0.0856,0.0348,0.0227,0.005993,0.249,0.01053,0.014534,0.006817,0.0004733,0.058,0.0793,0.2279,0.01016,0.000739,0.0002959,0.00805,0.004128,0.002909,0.0865,0.000663,0.00887,0.0006194,0.01189,0.001853,0.01935,0.002161,0.012276,0.05402,0.0445,0.003548,0.225,0.0989,0.002914,0.014046,0.03069,0.00215,0.124,0.02686,0.11176,0.03023,0.002117,0.001857,0.000873,0.11414,0.02919,0.004158,0.00966,0.004856,0.01381,0.002083,0.01332,0.00807,0.007076,0.01019,0.001851,0.05048,0.0631,0.005287,0.003607,0.001899,0.003368,0.1119,0.003857,0.00725,0.001594,0.1262,0.04144,0.001413,0.00606,0.03165,0.00526,0.001087,0.04956,0.03458,0.003677,0.001028,0.03108,0.0274,0.0002768,0.001938,0.006317,0.01619,0.00915,0.001294,0.002665,0.00866,0.11584,0.01262,0.001118,0.01093,0.002321,0.00878,0.00228,0.0003545,0.004017,0.01336,0.00847,0.003975,0.007523,0.005524,0.00932,0.02777,0.02217,0.004875,0.00657,0.09125,0.0216,0.00818,0.00169,0.0002258,0.05884,0.01345,0.00765,0.03983,0.0547,0.001982,0.014854,0.00838,0.1487,0.005386,0.0178,0.1059,0.1074,0.01973,0.01352,0.00543,0.00342,0.003906,0.002937,0.004322,0.0008755,0.0104,0.3262,0.000987,0.0498,0.0006304,0.005997,0.002518,0.00629,0.02016,0.011856
S11,9.99e-05,0.01473,0.00011045,0.05444,8.24e-05,0.001505,8.565e-05,0.0004752,0.000634,0.000349,0.04355,0.0001277,7.737e-05,3.88e-05,9.17e-05,0.01416,7.92e-05,5.32e-05,0.004375,0.000258,0.0005627,0.0002756,0.001564,0.000548,0.001806,5.13e-05,0.003326,0.001199,0.000941,0.01959,0.005287,0.001263,0.0228,0.012314,0.001599,0.00512,0.06647,0.010704,0.001533,0.02571,0.02817,0.0009484,0.008354,0.00227,0.004524,0.004566,0.02682,0.00289,0.002432,0.003815,0.00232,0.002438,0.002367,0.005478,0.0765,5.85e-05,0.0126,0.0004797,6.235e-05,0.00010633,0.001832,7.147e-05,0.00733,0.0553,0.001074,0.0001912,0.000604,4.99e-05,7.4e-05,0.003407,0.0002863,9.49e-05,0.010506,0.01188,0.02188,0.02353,0.03275,0.1727,0.008385,0.0243,0.0294,0.004917,0.014305,0.005596,0.004177,0.02515,0.00849,0.2646,0.05917,0.00641,0.04126,0.01239,0.01343,0.132,0.03375,0.02367,0.01625,0.2225,0.03757,0.01498,0.0666,0.003675,0.08545,0.0947,0.1164,0.04242,0.00968,0.00642,0.0611,0.04678,0.0185,0.08453,0.00246,0.0714,0.01643,0.283,0.00674,0.03044,0.01287,0.0691,0.02036,0.06232,0.0643,0.1952,0.002676,0.05304,0.02696,0.00862,0.01083,0.05817,0.00747,0.0989,0.01531,0.02655,0.0433,0.002375,0.1232,0.06494,0.01364,0.01301,0.007156,0.02454,0.010315,0.06052,0.002645,0.001338,0.1368,0.00974,0.106,0.07227,0.02351,0.014694,0.01768,0.004284,0.01396,0.03735,0.04767,0.014984,0.0554,0.01132,0.01561,0.111,0.01654,0.0503,0.02145,0.02841,0.02048,0.01481,0.009254,0.1492,0.0921,0.00278,0.02248,0.04654,0.0962,0.0121,0.011765,0.02089,0.05182,0.04172,0.1433,0.009476,0.02608,0.0224,0.009,0.02057,0.002264,0.0672,0.02927,0.0258,0.04105,0.04248,0.008896,0.04272,0.1097,0.08044,0.0745,0.02986,0.02707,0.02103,0.0225,0.01207,0.001192,0.1273,0.0517,0.05872,0.0325,0.04196,0.007103,0.04614,0.02943,0.05487,0.0153,0.0645,0.0962,0.2162,0.2023,0.005642,0.04663,0.01176,0.04483,0.00945,0.01393,0.00799,0.01059,0.3552,0.00505,0.01709,0.003372,0.03952,0.01067,0.02988,0.02354,0.161
S01,0.0002372,0.01295,0.0001714,0.11066,9.876e-05,0.001112,0.0003483,0.005,0.00315,0.005135,0.2283,0.00173,8.5e-05,3.76e-05,8.214e-05,0.06604,0.0001083,5.52e-05,0.05786,0.00729,0.0202,0.0004168,0.03583,0.004993,0.05722,6.85e-05,0.00902,0.01293,0.002693,0.05008,0.008415,0.002174,0.007565,0.01397,0.002687,0.00675,0.013054,0.00197,0.001758,0.02095,0.01915,0.001258,0.02364,0.003593,0.00208,0.002062,0.02461,0.002155,0.001256,0.001853,0.00783,0.00785,0.00792,0.007015,0.05585,6.48e-05,0.006325,0.0009537,7.27e-05,0.002121,0.08746,6.527e-05,0.02481,0.2842,0.01639,0.001437,0.001987,6.52e-05,6.96e-05,0.00425,0.0002735,0.00010455,0.003592,0.01048,0.02574,0.01167,0.01152,0.0431,0.01447,0.012505,0.03516,0.001023,0.05743,0.001691,0.01138,0.01525,0.01465,0.0357,0.02008,0.00491,0.06244,0.03598,0.003666,0.01677,0.01758,0.02199,0.01075,0.0567,0.008766,0.007023,0.0159,0.003538,0.0527,0.391,0.424,0.01685,0.003584,0.001159,0.0145,0.01047,0.004852,0.1361,0.006054,0.01741,0.0234,0.03778,0.00552,0.011284,0.00639,0.03427,0.04822,0.03912,0.01066,0.06476,0.08466,0.01012,0.00934,0.0121,0.00567,0.0367,0.01088,0.0835,0.01846,0.008194,0.00844,0.001671,0.0704,0.06274,0.01834,0.09485,0.002724,0.005657,0.01371,0.01137,0.01651,0.0244,0.03445,0.00258,0.03053,0.01959,0.009926,0.00535,0.00969,0.007107,0.01082,0.01099,0.005386,0.00239,0.01343,0.01548,0.00363,0.01738,0.007442,0.01525,0.005795,0.05023,0.01018,0.01947,0.003899,0.06635,0.02834,0.000817,0.00414,0.01201,0.04178,0.05634,0.00412,0.02448,0.01319,0.04395,0.03214,0.000843,0.01387,0.006775,0.005657,0.003933,0.0006638,0.01522,0.005463,0.05814,0.02522,0.03394,0.0082,0.02852,0.027,0.0248,0.006298,0.006775,0.01863,0.00715,0.014,0.006752,0.001414,0.0374,0.02199,0.02829,0.02731,0.0878,0.00253,0.01088,0.01968,0.06064,0.011734,0.04373,0.2874,0.231,0.01011,0.02682,0.00939,0.009224,0.001711,0.002094,0.01009,0.001635,0.002241,0.1251,0.00676,0.01929,0.000652,0.02382,0.001134,0.004173,0.01506,0.05737
S22,0.0001471,0.003363,0.0001069,0.0878,9e-05,0.001347,0.0002506,0.002586,0.00494,0.010704,0.3372,0.000509,6.974e-05,3.38e-05,7.23e-05,0.2118,0.0001945,4.72e-05,0.1487,0.02225,0.014694,0.002161,0.02138,0.0015135,0.0574,5.72e-05,0.0268,0.006332,0.00138,0.0706,0.002075,0.0006285,0.002092,0.00273,0.0004818,0.001214,0.00373,0.000646,0.000738,0.002657,0.006187,0.0004845,0.004826,0.000984,0.000543,0.00054,0.005234,0.000735,0.000558,0.000647,0.001433,0.001421,0.001423,0.002356,0.00898,5.83e-05,0.001139,0.0083,6.08e-05,0.002285,0.2034,5.54e-05,0.00991,0.4158,0.047,0.000672,0.006084,5.126e-05,6.48e-05,0.014786,0.0002496,8.845e-05,0.00317,0.015564,0.011116,0.009155,0.01071,0.04938,0.006092,0.02194,0.01724,0.001659,0.1006,0.002111,0.02504,0.01106,0.02951,0.0535,0.015594,0.00813,0.04208,0.03336,0.003963,0.0311,0.04556,0.02174,0.01382,0.05643,0.03128,0.008354,0.006393,0.001414,0.05582,0.3542,0.322,0.01381,0.002567,0.00068,0.0263,0.00675,0.006226,0.10175,0.003407,0.03061,0.0465,0.02823,0.005634,0.01169,0.006954,0.05338,0.05887,0.0537,0.01331,0.03302,0.05563,0.01116,0.007046,0.02266,0.00746,0.0401,0.01547,0.07184,0.02959,0.0099,0.009094,0.002857,0.0469,0.0668,0.0275,0.1543,0.001891,0.00758,0.01797,0.00843,0.0236,0.005352,0.02686,0.004936,0.02937,0.01543,0.00784,0.00891,0.00927,0.004364,0.0195,0.008224,0.004242,0.001932,0.01346,0.0111,0.006382,0.03052,0.01585,0.01265,0.00678,0.06094,0.00785,0.02487,0.006363,0.08,0.02834,0.0006013,0.00382,0.013084,0.01211,0.04694,0.003883,0.04123,0.010445,0.05127,0.02266,0.000919,0.010796,0.00521,0.00839,0.00533,0.0004296,0.01439,0.003483,0.04565,0.06232,0.04248,0.012665,0.05112,0.02325,0.01968,0.00573,0.008545,0.01898,0.006702,0.013985,0.00354,0.001666,0.05655,0.01752,0.03397,0.0719,0.06683,0.00411,0.03702,0.02351,0.0569,0.02367,0.0451,0.259,0.2148,0.010475,0.05353,0.006737,0.003159,0.001144,0.002985,0.004086,0.001284,0.00493,0.1409,0.004112,0.03726,0.0006886,0.024,0.002653,0.003191,0.02208,0.06165
S12,0.0002182,0.0175,0.0001413,0.0822,0.0001237,0.001101,0.00011134,0.0007505,0.002243,0.001019,0.0736,0.0005417,9.775e-05,4.43e-05,9.316e-05,0.0411,9.525e-05,6.52e-05,0.03876,0.004017,0.0419,0.0003133,0.01616,0.007427,0.06885,8.84e-05,0.00684,0.012695,0.006214,0.071,0.010994,0.00333,0.013405,0.01304,0.00251,0.007294,0.0225,0.00379,0.00291,0.01384,0.02556,0.002396,0.02711,0.00529,0.003902,0.003826,0.02835,0.004,0.00214,0.00297,0.00847,0.0083,0.00835,0.00936,0.0558,7.27e-05,0.00817,0.001075,8.86e-05,0.06836,0.0639,7.087e-05,0.02116,0.1466,0.007088,0.002886,0.001673,8.59e-05,7.993e-05,0.00562,0.000302,0.0001268,0.00527,0.014824,0.02217,0.014465,0.00834,0.04932,0.007717,0.01576,0.01188,0.0009756,0.04312,0.001865,0.006115,0.01052,0.02423,0.0266,0.01694,0.00752,0.04764,0.04218,0.002157,0.02313,0.01439,0.02704,0.003628,0.0649,0.012,0.00688,0.02806,0.002403,0.0621,0.3474,0.516,0.013435,0.003504,0.000271,0.013214,0.01339,0.00804,0.1344,0.003067,0.02246,0.00894,0.0699,0.003647,0.01573,0.00496,0.04144,0.0769,0.07043,0.01767,0.09,0.1346,0.00909,0.00528,0.01938,0.01028,0.05536,0.02098,0.0763,0.0239,0.004272,0.008484,0.00213,0.1045,0.1584,0.03067,0.11224,0.003382,0.00937,0.00871,0.01462,0.02274,0.004135,0.02222,0.001421,0.0368,0.01443,0.006767,0.004467,0.00537,0.01013,0.0378,0.01073,0.00923,0.00111,0.02576,0.01011,0.00374,0.01639,0.008064,0.02289,0.006783,0.06775,0.01188,0.0513,0.005093,0.08344,0.02196,0.000785,0.004185,0.009155,0.0436,0.04086,0.003412,0.07495,0.00971,0.0904,0.02747,0.0008135,0.014755,0.005383,0.00996,0.003225,0.0003524,0.01712,0.002811,0.05316,0.02553,0.02312,0.00742,0.0357,0.02483,0.0171,0.00812,0.00908,0.01721,0.00809,0.01775,0.004665,0.0008407,0.06122,0.02623,0.03017,0.02953,0.108,0.001966,0.01141,0.01513,0.1012,0.00629,0.03525,0.3855,0.3315,0.00596,0.02927,0.00916,0.004654,0.001154,0.002712,0.002514,0.001495,0.00943,0.1984,0.02072,0.04758,0.0006237,0.0249,0.001134,0.004555,0.01046,0.0758
