class,probability
24279,0.847
65380,0.353
compau,0.2896
compot1,0.1895
limpki,0.1879
watjac1,0.1713
22973,0.1655
trsowl,0.1544
555146,0.1538
whtdov,0.1467
greani1,0.146
23158,0.1409
ruther1,0.10693
litnig1,0.10095
chacha1,0.1008
grekis,0.09973
roahaw,0.09485
thlwre1,0.08057
yeofly1,0.07825
fepowl,0.0724
bncfly,0.06964
houspa,0.0673
undtin1,0.0667
strowl1,0.0653
grepot1,0.05954
strher2,0.05862
ruftof1,0.0579
squcuc1,0.05777
rutjac1,0.05756
greant1,0.05685
25092,0.05484
fusfly1,0.05353
bkcdon,0.05222
bunibi1,0.05206
yebela1,0.05084
chbmoc1,0.05054
swtman1,0.05017
grasal3,0.04974
blttit1,0.04938
redjun,0.0484
larela1,0.04514
barant1,0.04428
rufnig1,0.04425
coffal1,0.04153
saytan1,0.04138
1491113,0.0392
244024,0.03903
pvttyr1,0.03693
picpig2,0.03436
rubthr1,0.0342
bbwduc,0.03333
lesela1,0.03278
bucmot4,0.03198
grfdov1,0.03198
rinkin1,0.03108
y00678,0.03065
crbthr1,0.03029
whwpic1,0.03009
sobcac1,0.02943
smbani,0.02922
47144,0.02872
saffin,0.0285
trokin,0.02805
epaori4,0.02782
rufhor2,0.02762
socfly1,0.0259
fotfly,0.02347
toctou1,0.02289
pluibi1,0.02243
tattin1,0.02159
brnowl,0.0213
horscr1,0.02025
66971,0.02016
orwpar,0.01996
sobtyr1,0.01932
strcuc1,0.01851
sibtan2,0.01776
rumfly1,0.0175
greela,0.01721
sofspi1,0.01685
soulap1,0.01674
shcfly1,0.01657
paltan1,0.01639
magant1,0.01624
blheag1,0.01598
plcjay1,0.01593
giwrai1,0.01569
bobfly1,0.01563
osprey,0.01521
blchaw1,0.015144
oliwoo1,0.01503
47158son25,0.01434
linwoo1,0.013824
326272,0.0135
chobla1,0.013275
24287,0.01293
yehcar1,0.01278
crebec1,0.01264
palhor3,0.01242
masgna1,0.01178
517063,0.01148
gycwor1,0.011154
litcuc2,0.01108
67252,0.011
chvcon1,0.01093
souscr1,0.01047
astcra1,0.010185
burowl,0.00988
stbwoo2,0.009735
bafcur1,0.00917
flawar1,0.00906
74113,0.00862
greyel,0.00839
pabspi1,0.0083
47158son07,0.00802
22961,0.00801
baffal1,0.00801
gretho2,0.007797
lesgrf1,0.007713
wfwduc1,0.00741
47158son11,0.007195
shtnig1,0.00695
nacnig1,0.00692
spbant3,0.0067
wesfie1,0.006535
magtan2,0.006374
brcmar1,0.006123
rufgna3,0.005775
ocecra1,0.005592
baymac,0.0054
65377,0.005245
gilhum1,0.005085
varant1,0.005016
47158son03,0.005005
fabwre1,0.00498
banana,0.004925
555145,0.004776
pirfly1,0.004776
relser1,0.00474
smbtin1,0.004673
hyamac1,0.0046
bufpar,0.00443
516975,0.003998
recfin1,0.00395
whbwar2,0.00392
rebscy1,0.003778
sptnig1,0.00359
116570,0.003532
whnjay1,0.003525
24285,0.003494
shshaw,0.003426
grhtan1,0.003382
22967,0.003345
scadov1,0.003222
glteme1,0.002935
eulfly1,0.002876
ashgre1,0.002737
whiwoo1,0.002419
47158son24,0.002296
41970,0.002274
43435,0.002256
47158son10,0.002167
plasla1,0.002136
47158son17,0.002121
25073,0.002102
22956,0.002083
phecuc1,0.002008
ruftho1,0.00199
rufcac2,0.001953
bkhpar,0.0018635
209233,0.001777
47158son05,0.001724
yecpar,0.001712
platyr1,0.001704
rivwar1,0.001658
ragmac1,0.0016365
ficman1,0.001616
spispi1,0.001591
cibspi1,0.001488
rufcas2,0.001386
camfli1,0.001367
47158son08,0.001361
47158son14,0.001288
schpar1,0.001264
47158son20,0.001194
47158son18,0.001074
purjay1,0.001063
bucpar,0.001051
yebcar,0.001032
swthum1,0.0009193
47158son16,0.0008755
47158son15,0.0008526
47158son19,0.0008435
47158son02,0.0007586
scther1,0.0007024
24321,0.0006866
bcwfin2,0.00065
mabpar,0.00063
orbtro3,0.0006084
whlspi1,0.00059
47158son09,0.0005703
dwatin1,0.0005465
yecmac,0.0005174
whbant2,0.0004907
67107,0.0003703
47158son12,0.0003371
22983,0.0002201
74580,0.0002081
sabspa1,0.0001693
1176823,9.35e-05
1161364,9.227e-05
22985,8.935e-05
1595929,8.863e-05
22930,8.726e-05
738183,8.54e-05
23154,7.993e-05
760266,7.147e-05
476521,6.53e-05
23176,6.396e-05
555123,6.17e-05
70711,5.41e-05
25214,5.34e-05
23724,4.75e-05
64898,4.673e-05
23150,2.72e-05
47158son23,0.0
47158son22,0.0
47158son21,0.0
batbel1,0.0
47158son04,0.0
souant1,0.0
47158son13,0.0
47158son06,0.0
47158son01,0.0
