users,best_score,best_rank,n_teams
aaalicez,0.865,2485,1
aabhaygirwalkar,0.784,2870,1
aadarshmukundan,0.898,2291,1
aadigupta1601,0.949,133,1
aadijoshi19,0.947,524,1
aaelter,0.844,2585,1
aakashthatte,0.5,3507,1
aal2311,0.907,2182,1
aaravlala,0.947,672,1
aaronbussche,0.905,2207,1
aaryanpawar16,0.543,3312,1
aaryansbohra,0.5,3399,1
aashanvitjanbandhu,0.738,3039,1
abdallahwagih,0.897,2304,1
abdelfattahtoulaoui,0.82,2731,1
abdelhamedmoustafa,0.927,1649,1
abdelrhmanelhelaly,0.749,3009,1
abdonasser,0.931,1456,1
abdoubenromdhane,0.948,230,1
abdulhadizawawi,0.825,2702,1
abdulrahmansu10,0.937,1364,1
abdulwahab2321,0.944,1045,1
abdurrahmantelli,0.946,763,1
abh001,0.943,1103,1
abhimanyukarki0,0.929,1489,1
abhirajsingh5747,0.793,2836,1
abhivadan1,0.762,2966,1
abhiwasabi,0.927,1701,1
abidaakbarrusyadin,0.92,1978,1
abirubanr,0.5,3493,1
abisheksrivastav,0.936,1367,1
abishpius,0.713,3103,1
abiy27,0.694,3138,1
abowesam,0.844,2586,1
abscond,0.948,204,1
abuhanif05,0.923,1887,1
acccdc,0.927,1664,1
accelerater2048,0.5,3516,1
account1243,0.947,542,1
acmiyaguchi,0.804,2797,1
acraevschi,0.843,2596,1
adam2go,0.902,2238,1
adamasbairadboud,0.905,2207,1
adamconan,0.923,1893,1
adamdebbah,0.767,2939,1
adamreeson24,0.874,2435,1
adarsh5harma,0.948,342,1
adarshanavena,0.869,2461,1
addismeshu,0.5,3544,1
adelelsayed,0.845,2576,1
adesolanke,0.946,761,1
adiithape,0.948,263,1
adikusum4,0.5,3535,1
adilkaygin,0.647,3208,1
adithadi,0.947,529,1
aditya099,0.941,1312,1
adityakumarsinha,0.947,642,1
adityaraghuvanshi999,0.948,277,1
adityargavimath,0.947,606,1
adityasinghsengar122,0.904,2226,1
adityaxx,0.928,1635,1
adkasd,0.947,460,1
adlihasan6315,0.907,2174,1
adnankarem,0.907,2184,1
adonisleu,0.745,3028,1
adoredwhale,0.654,3196,1
adrianaarizaga,0.943,1176,1
adrianjustdoit,0.676,3170,1
adrianmoralespastor,0.738,3041,1
aelbrecht,0.762,2967,1
aenggg,0.737,3045,1
aerooooo,0.52,3334,1
afanasyeva656,0.603,3258,1
afoxwithastock,0.915,2046,1
afr1ste,0.948,193,1
agatsssssma,0.942,1257,1
agcsdedf,0.902,2240,1
agentzz,0.927,1657,1
agingcurve,0.947,559,1
agnieszkasobala,0.717,3096,1
ags299,0.759,2982,1
aguado,0.925,1797,1
ahmad1423,0.592,3267,1
ahmadzulfiqar001,0.5,3404,1
ahmedabrartahseen,0.892,2329,1
ahmedelyoussefi,0.895,2314,1
ahmedhaytham,0.814,2752,1
ahmedkhudair121,0.936,1368,1
ahmedsamir1598,0.947,587,1
ahmedshafi9900,0.637,3219,1
ahmedsherif382,0.804,2795,1
ahmedyacinlacheheb,0.843,2590,1
ahmet2727,0.518,3341,1
ahmetyilmaz2579,0.948,243,1
ahqianlu,0.943,1112,1
ahqianwu,0.943,1197,1
ahxiangluo,0.943,1186,1
aichangeworld,0.798,2817,1
aidannowakowski,0.912,2098,1
aidensong123,0.946,867,1
aifortao,0.765,2955,1
aikhmelnytskyy,0.947,584,1
aikyatansinha,0.949,133,1
ailurus1991,0.923,1873,1
aira666,0.899,2269,1
aishaa13,0.737,3046,1
aishwaryaiyer119,0.943,1142,1
aiue0kaki,0.907,2180,1
aiwody,0.927,1673,1
aixonvittle,0.947,438,1
ajayasaithambi,0.931,1438,1
ajayjha1010,0.749,3014,1
ajaymoladiya,0.553,3298,1
ajayuchana,0.872,2441,1
ajinomoto132,0.943,1093,1
ajith0001,0.547,3304,1
akaired,0.66,3184,1
akakii,0.947,545,1
akalyyanahmed,0.935,1382,1
akasamai,0.949,81,1
akashadsare,0.761,2973,1
akashavvaru,0.924,1830,1
akashdeepo,0.5,3510,1
akihiroishibashi,0.949,85,1
akimaru,0.945,938,1
akingink,0.944,1026,1
akirahirohashi,0.942,1219,1
akiraishikawa,0.949,64,1
aknithin,0.948,356,1
aks05410,0.938,1349,1
akshankrithick,0.944,1036,1
akshatsparsh,0.946,702,1
akshayajaishankar,0.944,1062,1
akshitagarwal01,0.643,3214,1
akshittyagisjsu,0.845,2578,1
alabibojesomo,0.943,1129,1
alanchoo,0.928,1594,1
alanmuldashev,0.861,2505,1
alanyyds,0.811,2766,1
alapin,0.908,2151,1
albantiacoh,0.948,344,1
albertomarengo,0.767,2941,1
albertwibisono01,0.547,3303,1
aldi1i,0.799,2811,1
aldisued,0.92,1971,1
alehandreus,0.918,2001,1
alejandromichavila,0.557,3296,1
aleksandrlutskiy,0.948,300,1
alekseyschukin,0.945,936,1
alessandropelosi03,0.944,945,1
alex142857,0.641,3218,1
alex23535,0.947,565,1
alexander956,0.839,2617,1
alexandergremyakov,0.95,43,1
alexandersuzdal2,0.924,1858,1
alexanderwanstrath,0.895,2313,1
alexanderzaretzki,0.929,1545,1
alexanderzv,0.856,2529,1
alexandrefacione,0.573,3287,1
alexandruaioanei,0.888,2371,1
alexanterkapai,0.825,2709,1
alexeypanov,0.7,3124,1
alexkorshunov,0.838,2624,1
alexli1998,0.732,3057,1
alexroubinchtein,0.948,160,1
alexxanderlarko,0.948,280,1
alexycactus,0.897,2295,1
alexyy,0.945,939,1
alfaxadeyembe,0.815,2746,1
algebraictopology,0.948,233,1
alhasanabdellatif123,0.835,2642,1
aliafzal9323,0.948,269,1
alibaba19,0.815,2744,1
alicexyz,0.547,3305,1
alidogankaya,0.932,1427,1
aliffauzan2921,0.802,2800,1
alikanbar,0.644,3212,1
alilaudza,0.903,2231,1
alimohammadi9,0.5,3513,1
aliozanmemetoglu,0.958,4,1
